Dates,Infected,Vaccinated,Recovered,Deaths
1/15/2021,417528.0,13488.0,221961.0,6030.0
1/16/2021,420681.0,13488.0,221961.0,6119.0
1/17/2021,422598.0,13488.0,221961.0,6120.0
1/18/2021,424028.0,13488.0,221961.0,6121.0
1/19/2021,426543.0,16346.0,221961.0,6126.0
1/20/2021,429655.0,17956.0,233211.0,6283.0
1/21/2021,432536.0,21345.0,233211.0,6379.0
1/22/2021,436087.0,24840.0,233211.0,6486.0
1/23/2021,439442.0,27422.0,233211.0,6657.0
1/24/2021,441170.0,29736.0,233211.0,6660.0
1/25/2021,443009.0,29978.0,233211.0,6662.0
1/26/2021,445909.0,30933.0,233211.0,6896.0
1/27/2021,449086.0,33595.0,233211.0,7172.0
1/28/2021,452734.0,37431.0,242143.0,7340.0
1/29/2021,455582.0,44073.0,242143.0,7566.0
1/30/2021,455582.0,53742.0,242143.0,7566.0
1/31/2021,459639.0,55331.0,242143.0,7688.0
2/1/2021,460860.0,56308.0,242143.0,7688.0
2/2/2021,462938.0,58825.0,242143.0,7894.0
2/3/2021,465056.0,62990.0,242143.0,8203.0
2/4/2021,467823.0,69155.0,252880.0,8365.0
2/5/2021,469319.0,76603.0,252880.0,8449.0
2/6/2021,471311.0,84278.0,252880.0,8513.0
2/7/2021,472423.0,86141.0,252880.0,8515.0
2/8/2021,473348.0,88453.0,252880.0,8523.0
2/9/2021,474666.0,95033.0,252880.0,8579.0
2/10/2021,476067.0,102520.0,264621.0,8888.0
