Dates,Infected,Tested,Recovered,Deaths
2020-02-24T18:00:00,221,0,1,7
2020-02-25T18:00:00,311,0,1,10
2020-02-26T18:00:00,385,0,3,12
2020-02-27T18:00:00,588,0,45,17
2020-02-28T18:00:00,821,0,46,21
2020-02-29T17:00:00,1049,0,50,29
2020-03-01T17:00:00,1577,0,83,34
2020-03-02T18:00:00,1835,0,149,52
2020-03-03T18:00:00,2263,0,160,79
2020-03-04T17:00:00,2706,0,276,107
2020-03-05T17:00:00,3296,0,414,148
2020-03-06T17:00:00,3916,0,523,197
2020-03-07T18:00:00,5061,0,589,233
2020-03-08T18:00:00,6387,0,622,366
2020-03-09T18:00:00,7985,0,724,463
2020-03-10T18:00:00,8514,0,1004,631
2020-03-11T17:00:00,10590,0,1045,827
2020-03-12T17:00:00,12839,0,1258,1016
2020-03-13T17:00:00,14955,0,1439,1266
2020-03-14T17:00:00,17750,0,1966,1441
2020-03-15T17:00:00,20603,0,2335,1809
2020-03-16T17:00:00,23073,0,2749,2158
2020-03-17T17:00:00,26062,0,2941,2503
2020-03-18T17:00:00,28710,0,4025,2978
2020-03-19T17:00:00,33190,0,4440,3405
2020-03-20T17:00:00,37860,0,5129,4032
2020-03-21T17:00:00,42681,0,6072,4825
2020-03-22T17:00:00,46638,0,7024,5476
2020-03-23T17:00:00,50418,0,7432,6077
2020-03-24T17:00:00,54030,0,8326,6820
2020-03-25T17:00:00,57521,0,9362,7503
2020-03-26T17:00:00,62013,0,10361,8165
2020-03-27T17:00:00,66414,0,10950,9134
2020-03-28T17:00:00,70065,0,12384,10023
2020-03-29T17:00:00,73880,0,13030,10779
2020-03-30T17:00:00,75528,0,14620,11591
2020-03-31T17:00:00,77635,0,15729,12428
2020-04-01T17:00:00,80572,0,16847,13155
2020-04-02T17:00:00,83049,0,18278,13915
2020-04-03T17:00:00,85388,0,19758,14681
2020-04-04T17:00:00,88274,0,20996,15362
2020-04-05T17:00:00,91246,0,21815,15887
2020-04-06T17:00:00,93187,0,22837,16523
2020-04-07T17:00:00,94067,0,24392,17127
2020-04-08T17:00:00,95262,0,26491,17669
2020-04-09T17:00:00,96877,0,28470,18279
2020-04-10T17:00:00,98273,0,30455,18849
2020-04-11T17:00:00,100269,0,32534,19468
2020-04-12T17:00:00,102253,0,34211,19899
2020-04-13T17:00:00,103616,0,35435,20465
2020-04-14T17:00:00,104291,0,37130,21067
2020-04-15T17:00:00,105418,0,38092,21645
2020-04-16T17:00:00,106607,0,40164,22170
2020-04-17T17:00:00,106962,0,42727,22745
2020-04-18T17:00:00,107771,0,44927,23227
2020-04-19T17:00:00,108257,935310,47055,23660
2020-04-20T17:00:00,108237,943151,48877,24114
2020-04-21T17:00:00,107709,971246,51600,24648
2020-04-22T17:00:00,107699,1015494,54543,25085
2020-04-23T17:00:00,106848,1052577,57576,25549
2020-04-24T17:00:00,106527,1147850,60498,25969
2020-04-25T17:00:00,105847,1186526,63120,26384
2020-04-26T17:00:00,106103,1210639,64928,26644
2020-04-27T17:00:00,105813,1237317,66624,26977
2020-04-28T17:00:00,105205,1274871,68941,27359
2020-04-29T17:00:00,104657,1313460,71252,27682
2020-04-30T17:00:00,101551,1354901,75945,27967
2020-05-01T17:00:00,100943,1398633,78249,28236
2020-05-02T17:00:00,100704,1429864,79914,28710
2020-05-03T17:00:00,100179,1456911,81654,28884
2020-05-04T17:00:00,99980,1479910,82879,29079
2020-05-05T17:00:00,98467,1512121,85231,29315
2020-05-06T17:00:00,91528,1549892,93245,29684
2020-05-07T17:00:00,89624,1563557,96276,29958
2020-05-08T17:00:00,87961,1608985,99023,30201
2020-05-09T17:00:00,84842,1645076,103031,30395
2020-05-10T17:00:00,83324,1676460,105186,30560
2020-05-11T17:00:00,82488,1702283,106587,30739
2020-05-12T17:00:00,81266,1741903,109039,30911
2020-05-13T17:00:00,78457,1778952,112541,31106
2020-05-14T17:00:00,76440,1820083,115288,31368
2020-05-15T17:00:00,72070,1859110,120205,31610
2020-05-16T17:00:00,70187,1899767,122810,31763
2020-05-17T17:00:00,68351,1933272,125176,31908
2020-05-18T17:00:00,66553,1959373,127326,32007
2020-05-19T17:00:00,65129,1999599,129401,32169
2020-05-20T17:00:00,62752,2038216,132282,32330
2020-05-21T17:00:00,60960,2078860,134560,32486
2020-05-22T17:00:00,59322,2121847,136720,32616
2020-05-23T17:00:00,57752,2164426,138840,32735
2020-05-24T17:00:00,56594,2198632,140479,32785
2020-05-25T17:00:00,55300,2219308,141981,32877
2020-05-26T17:00:00,52942,2253252,144658,32955
2020-05-27T17:00:00,50966,2290551,147101,33072
2020-05-28T17:00:00,47986,2330389,150604,33142
2020-05-29T17:00:00,46175,2368622,152844,33229
2020-05-30T17:00:00,43691,2404673,155633,33340
2020-05-31T17:00:00,42097,2433621,157507,33415
2020-06-01T17:00:00,41367,2451674,158355,33475
2020-06-02T17:00:00,39893,2477302,160092,33530
2020-06-03T17:00:00,39297,2497337,160938,33601
2020-06-04T17:00:00,38429,2524788,161895,33689
2020-06-05T17:00:00,36976,2565258,163781,33774
2020-06-06T17:00:00,35877,2599294,165078,33846
2020-06-07T17:00:00,35262,2627188,165837,33899
2020-06-08T17:00:00,34730,2643489,166584,33964
2020-06-09T17:00:00,32872,2675689,168646,34043
2020-06-10T17:00:00,31710,2713554,169939,34114
2020-06-11T17:00:00,30637,2746545,171338,34167
2020-06-12T17:00:00,28997,2784196,173085,34223
2020-06-13T17:00:00,27485,2817076,174865,34301
2020-06-14T17:00:00,26274,2846621,176370,34345
2020-06-15T17:00:00,25909,2864084,177010,34371
2020-06-16T17:00:00,24569,2891846,178526,34405
2020-06-17T17:00:00,23925,2925803,179455,34448
2020-06-18T17:00:00,23101,2958724,180544,34514
2020-06-19T17:00:00,21543,2987294,181907,34561
2020-06-20T17:00:00,21212,3017169,182453,34610
2020-06-21T17:00:00,20972,3041750,182893,34634
2020-06-22T17:00:00,20637,3057902,183426,34657
2020-06-23T17:00:00,19573,3081127,184585,34675
2020-06-24T17:00:00,18655,3111364,186111,34644
2020-06-25T17:00:00,18303,3140785,186725,34678
