Dates,Infected,Tested,Recovered,Deaths
2020-02-24T18:00:00,32,0,0,1
2020-02-25T18:00:00,42,0,0,1
2020-02-26T18:00:00,69,0,0,2
2020-02-27T18:00:00,109,0,0,2
2020-02-28T18:00:00,149,0,0,2
2020-02-29T17:00:00,189,0,0,2
2020-03-01T17:00:00,261,0,0,2
2020-03-02T18:00:00,271,0,0,2
2020-03-03T18:00:00,297,0,7,3
2020-03-04T17:00:00,345,0,9,6
2020-03-05T17:00:00,380,0,17,10
2020-03-06T17:00:00,454,0,22,12
2020-03-07T18:00:00,505,0,25,13
2020-03-08T18:00:00,623,0,29,18
2020-03-09T18:00:00,694,0,30,20
2020-03-10T18:00:00,783,0,47,26
2020-03-11T17:00:00,940,0,54,29
2020-03-12T17:00:00,1297,0,55,32
2020-03-13T17:00:00,1453,0,100,42
2020-03-14T17:00:00,1775,0,107,55
2020-03-15T17:00:00,1989,0,120,63
2020-03-16T17:00:00,2274,0,130,69
2020-03-17T17:00:00,2488,0,136,80
2020-03-18T17:00:00,2953,0,167,94
2020-03-19T17:00:00,3169,0,200,115
2020-03-20T17:00:00,3677,0,223,131
2020-03-21T17:00:00,4214,0,257,146
2020-03-22T17:00:00,4644,0,309,169
2020-03-23T17:00:00,4986,0,327,192
2020-03-24T17:00:00,5351,0,381,216
2020-03-25T17:00:00,5745,0,439,258
2020-03-26T17:00:00,6140,0,508,287
2020-03-27T17:00:00,6648,0,536,313
2020-03-28T17:00:00,6913,0,655,362
2020-03-29T17:00:00,7251,0,715,392
2020-03-30T17:00:00,7564,0,747,413
2020-03-31T17:00:00,7850,0,828,477
2020-04-01T17:00:00,8224,0,902,499
2020-04-02T17:00:00,8578,0,1001,532
2020-04-03T17:00:00,8861,0,1031,572
2020-04-04T17:00:00,9093,0,1124,607
2020-04-05T17:00:00,9409,0,1186,631
2020-04-06T17:00:00,9722,0,1204,662
2020-04-07T17:00:00,9965,0,1265,695
2020-04-08T17:00:00,10171,0,1503,736
2020-04-09T17:00:00,10449,0,1728,756
2020-04-10T17:00:00,10647,0,1981,793
2020-04-11T17:00:00,10749,0,2188,831
2020-04-12T17:00:00,10729,0,2492,856
2020-04-13T17:00:00,10766,0,2603,882
2020-04-14T17:00:00,10736,0,2790,906
2020-04-15T17:00:00,10789,0,2895,940
2020-04-16T17:00:00,10800,0,3209,981
2020-04-17T17:00:00,10618,0,3730,1026
2020-04-18T17:00:00,10444,0,4189,1059
2020-04-19T17:00:00,10210,161231,4638,1087
2020-04-20T17:00:00,10061,163757,4954,1112
2020-04-21T17:00:00,10077,167129,5173,1154
2020-04-22T17:00:00,9991,171735,5566,1181
2020-04-23T17:00:00,9925,177154,5750,1206
2020-04-24T17:00:00,9679,181473,6306,1244
2020-04-25T17:00:00,9432,186426,6671,1288
2020-04-26T17:00:00,9138,183513,7018,1315
2020-04-27T17:00:00,8860,192751,7375,1344
2020-04-28T17:00:00,8601,196864,7699,1408
2020-04-29T17:00:00,8369,200737,8019,1437
2020-04-30T17:00:00,8147,206347,8354,1459
2020-05-01T17:00:00,7779,212706,8840,1479
2020-05-02T17:00:00,7431,216997,9291,1502
2020-05-03T17:00:00,7299,220598,9503,1516
2020-05-04T17:00:00,7234,223968,9611,1528
2020-05-05T17:00:00,7116,227579,9741,1545
2020-05-06T17:00:00,6789,231469,10122,1568
2020-05-07T17:00:00,6534,236281,10430,1589
2020-05-08T17:00:00,6187,240535,10804,1627
2020-05-09T17:00:00,5877,244930,11151,1643
2020-05-10T17:00:00,5591,247617,11474,1657
2020-05-11T17:00:00,5460,250175,11615,1666
2020-05-12T17:00:00,5190,253374,11906,1686
2020-05-13T17:00:00,5020,257017,12081,1712
2020-05-14T17:00:00,4718,260706,12384,1743
2020-05-15T17:00:00,4439,264091,12688,1762
2020-05-16T17:00:00,4162,269003,12983,1783
