Dates,Infected,Hospitalized,Recovered,Deaths
1/13/2020,0.0,0.0,0.0,0.0
1/14/2020,0.0,0.0,0.0,0.0
1/15/2020,0.0,0.0,0.0,0.0
1/16/2020,0.0,0.0,0.0,0.0
1/17/2020,0.0,0.0,0.0,0.0
1/18/2020,0.0,0.0,0.0,0.0
1/19/2020,1.0,0.0,0.0,0.0
1/20/2020,1.0,0.0,0.0,0.0
1/21/2020,2.0,0.0,0.0,0.0
1/22/2020,2.0,0.0,0.0,0.0
1/23/2020,2.0,0.0,0.0,0.0
1/24/2020,2.0,0.0,0.0,0.0
1/25/2020,2.0,0.0,0.0,0.0
1/26/2020,2.0,0.0,0.0,0.0
1/27/2020,2.0,0.0,0.0,0.0
1/28/2020,2.0,0.0,0.0,0.0
1/29/2020,2.0,0.0,0.0,0.0
1/30/2020,2.0,0.0,0.0,0.0
1/31/2020,2.0,0.0,0.0,0.0
2/1/2020,2.0,0.0,0.0,0.0
2/2/2020,2.0,0.0,0.0,0.0
2/3/2020,3.0,0.0,0.0,0.0
2/4/2020,3.0,0.0,0.0,0.0
2/5/2020,3.0,0.0,0.0,0.0
2/6/2020,5.0,0.0,0.0,0.0
2/7/2020,5.0,0.0,0.0,0.0
2/8/2020,5.0,0.0,0.0,0.0
2/9/2020,5.0,0.0,0.0,0.0
2/10/2020,5.0,0.0,0.0,0.0
2/11/2020,5.0,0.0,0.0,0.0
2/12/2020,5.0,0.0,0.0,0.0
2/13/2020,6.0,0.0,0.0,0.0
2/14/2020,7.0,0.0,0.0,0.0
2/15/2020,7.0,0.0,0.0,0.0
2/16/2020,7.0,0.0,0.0,0.0
2/17/2020,7.0,0.0,0.0,0.0
2/18/2020,7.0,0.0,0.0,0.0
2/19/2020,7.0,0.0,0.0,0.0
2/20/2020,7.0,0.0,0.0,0.0
2/21/2020,7.0,0.0,0.0,0.0
2/22/2020,7.0,0.0,0.0,0.0
2/23/2020,8.0,0.0,0.0,0.0
2/24/2020,9.0,0.0,0.0,0.0
2/25/2020,10.0,0.0,0.0,0.0
2/26/2020,12.0,0.0,0.0,2.0
2/27/2020,13.0,0.0,0.0,2.0
2/28/2020,15.0,0.0,0.0,4.0
2/29/2020,18.0,0.0,0.0,5.0
3/1/2020,26.0,0.0,0.0,8.0
3/2/2020,43.0,0.0,0.0,11.0
3/3/2020,59.0,0.0,0.0,14.0
3/4/2020,93.0,0.0,0.0,16.0
3/5/2020,117.0,0.0,0.0,20.0
3/6/2020,155.0,0.0,0.0,26.0
3/7/2020,206.0,0.0,0.0,27.0
3/10/2020,343.0,0.0,0.0,37.0
3/11/2020,405.0,0.0,0.0,40.0
3/12/2020,515.0,0.0,0.0,44.0
3/13/2020,648.0,0.0,0.0,47.0
3/14/2020,827.0,0.0,0.0,51.0
3/15/2020,1041.0,0.0,0.0,57.0
3/16/2020,1197.0,0.0,0.0,69.0
3/17/2020,1305.0,0.0,0.0,78.0
3/18/2020,1605.0,0.0,0.0,82.0
3/19/2020,1873.0,0.0,0.0,92.0
3/20/2020,2163.0,0.0,0.0,104.0
3/21/2020,2497.0,0.0,0.0,111.0
3/22/2020,2801.0,0.0,0.0,126.0
3/23/2020,2998.0,0.0,0.0,137.0
3/24/2020,3190.0,0.0,0.0,146.0
3/25/2020,3653.0,0.0,0.0,159.0
3/26/2020,4091.0,0.0,0.0,183.0
3/27/2020,4532.0,0.0,0.0,199.0
3/28/2020,4967.0,0.0,0.0,220.0
3/29/2020,5429.0,0.0,0.0,237.0
3/30/2020,5716.0,0.0,0.0,248.0
3/31/2020,5957.0,0.0,0.0,262.0
10/1/2020,90372.0,7533.0,0.0,2126.0
10/2/2020,90990.0,7573.0,0.0,2132.0
10/3/2020,91570.0,7586.0,0.0,2143.0
10/4/2020,92198.0,7611.0,0.0,2142.0
10/5/2020,92601.0,7628.0,0.0,2142.0
10/6/2020,92853.0,7622.0,0.0,2158.0
10/7/2020,93759.0,7673.0,0.0,2165.0
10/8/2020,94482.0,7703.0,0.0,2177.0
10/9/2020,95205.0,7733.0,0.0,2183.0
10/10/2020,95931.0,7762.0,0.0,2190.0
10/11/2020,96632.0,7786.0,0.0,2190.0
10/12/2020,97015.0,7786.0,0.0,2190.0
10/13/2020,97268.0,7874.0,0.0,2211.0
10/14/2020,98135.0,7874.0,0.0,2211.0
10/15/2020,98903.0,7883.0,0.0,2221.0
10/16/2020,99674.0,7956.0,0.0,2232.0
10/17/2020,100444.0,7971.0,0.0,2239.0
10/18/2020,101108.0,7994.0,0.0,2239.0
10/19/2020,101517.0,8018.0,0.0,2239.0
10/20/2020,101815.0,8077.0,0.0,2258.0
10/21/2020,102728.0,8124.0,0.0,2282.0
10/22/2020,103646.0,8149.0,0.0,2286.0
10/23/2020,104431.0,8183.0,0.0,2289.0
10/24/2020,105280.0,8231.0,0.0,2296.0
10/25/2020,106115.0,8280.0,0.0,2296.0
10/26/2020,106704.0,8280.0,0.0,2296.0
10/27/2020,107052.0,8322.0,0.0,2321.0
10/28/2020,108185.0,8358.0,0.0,2337.0
10/29/2020,109260.0,8383.0,0.0,2353.0
10/30/2020,110362.0,8467.0,0.0,2359.0
10/31/2020,111607.0,8522.0,0.0,2366.0
11/1/2020,112754.0,8571.0,0.0,2366.0
11/2/2020,113541.0,8611.0,0.0,2366.0
11/3/2020,114084.0,8634.0,0.0,2378.0
11/4/2020,115790.0,8675.0,0.0,2400.0
11/5/2020,117385.0,8735.0,0.0,2416.0
11/6/2020,119257.0,8784.0,0.0,2431.0
11/7/2020,121381.0,8791.0,0.0,2439.0
11/8/2020,123312.0,8795.0,0.0,2439.0
11/9/2020,124719.0,8803.0,0.0,2439.0
11/10/2020,125496.0,9031.0,0.0,2460.0
11/11/2020,128209.0,9092.0,0.0,2482.0
11/12/2020,130593.0,9092.0,0.0,2482.0
11/13/2020,132756.0,9178.0,0.0,2507.0
11/14/2020,135666.0,9266.0,0.0,2519.0
11/15/2020,138276.0,9281.0,0.0,2519.0
11/16/2020,140157.0,9425.0,0.0,2519.0
11/17/2020,141326.0,9518.0,0.0,2548.0
11/18/2020,144780.0,9573.0,0.0,2571.0
11/19/2020,147996.0,9622.0,0.0,2592.0
11/20/2020,151066.0,9653.0,0.0,2603.0
11/21/2020,154148.0,9717.0,0.0,2619.0
11/22/2020,157341.0,9765.0,0.0,2619.0
11/23/2020,159231.0,9765.0,0.0,2619.0
11/24/2020,160636.0,10096.0,0.0,2655.0
11/25/2020,164314.0,10166.0,0.0,2690.0
11/26/2020,167471.0,10242.0,0.0,2704.0
11/27/2020,170407.0,10242.0,0.0,2704.0
11/28/2020,170937.0,10496.0,0.0,2703.0
11/29/2020,173561.0,10663.0,0.0,2703.0
11/30/2020,175740.0,10759.0,0.0,2703.0
12/1/2020,177054.0,10895.0,0.0,2774.0
12/2/2020,181756.0,10920.0,0.0,2805.0
12/3/2020,185157.0,10954.0,0.0,2850.0
12/4/2020,188469.0,11195.0,0.0,2900.0
12/5/2020,191607.0,11273.0,0.0,2925.0
12/6/2020,194687.0,11475.0,0.0,2925.0
12/7/2020,196460.0,11544.0,0.0,2925.0
12/8/2020,197642.0,11696.0,0.0,2941.0
12/9/2020,201292.0,11841.0,0.0,2967.0
12/10/2020,204269.0,11996.0,0.0,3016.0
12/11/2020,206826.0,12084.0,0.0,2850.0
12/12/2020,209247.0,12237.0,0.0,2879.0
12/13/2020,211475.0,12368.0,0.0,2879.0
12/14/2020,212885.0,12525.0,0.0,2879.0
12/15/2020,213537.0,12649.0,0.0,2918.0
12/16/2020,214204.0,12773.0,0.0,2953.0
12/17/2020,214265.0,13074.0,0.0,3042.0
12/18/2020,217205.0,13235.0,0.0,3117.0
12/19/2020,220268.0,13291.0,0.0,3104.0
12/20/2020,222600.0,13391.0,0.0,3104.0
12/21/2020,222600.0,13391.0,0.0,3104.0
12/22/2020,226635.0,13515.0,0.0,3106.0
12/23/2020,227887.0,13590.0,0.0,3131.0
12/24/2020,230202.0,13617.0,0.0,3162.0
12/25/2020,233093.0,13908.0,0.0,3184.0
12/26/2020,233093.0,13908.0,0.0,3184.0
12/27/2020,236719.0,14096.0,0.0,3184.0
12/28/2020,236719.0,14096.0,0.0,3184.0
12/29/2020,238672.0,14276.0,0.0,3195.0
12/30/2020,240846.0,14445.0,0.0,3369.0
12/31/2020,242330.0,14571.0,0.0,3420.0
1/2/2021,246752.0,14748.0,0.0,3461.0
1/3/2021,246752.0,14748.0,0.0,3461.0
1/4/2021,255396.0,15111.0,0.0,3459.0
1/5/2021,256435.0,15160.0,0.0,3482.0
1/6/2021,258767.0,15327.0,0.0,3541.0
1/7/2021,260752.0,15415.0,0.0,3605.0
1/8/2021,264012.0,15568.0,0.0,3634.0
1/9/2021,268607.0,15557.0,0.0,3699.0
1/13/2021,278544.0,16068.0,0.0,3789.0
1/14/2021,281202.0,16080.0,0.0,3838.0
1/15/2021,283777.0,16080.0,0.0,3876.0
1/16/2021,285970.0,16370.0,0.0,3903.0
1/17/2021,285970.0,16370.0,0.0,3903.0
1/18/2021,289939.0,16558.0,0.0,3903.0
1/19/2021,289939.0,16558.0,0.0,3903.0
1/20/2021,291989.0,16642.0,0.0,3940.0
1/21/2021,294017.0,16848.0,0.0,3940.0
1/22/2021,296087.0,16939.0,0.0,4065.0
1/23/2021,298249.0,17037.0,0.0,4114.0
1/24/2021,300198.0,17129.0,0.0,4114.0
1/25/2021,300198.0,17129.0,0.0,4114.0
1/26/2021,302141.0,17259.0,0.0,4148.0
1/27/2021,303482.0,17354.0,0.0,4167.0
1/28/2021,305289.0,17449.0,0.0,4211.0
1/29/2021,307809.0,17517.0,0.0,4243.0
1/30/2021,309801.0,17543.0,0.0,4285.0
1/31/2021,311597.0,17706.0,0.0,4285.0
2/1/2021,311597.0,17706.0,0.0,4285.0
2/2/2021,313335.0,17812.0,0.0,4318.0
2/3/2021,314692.0,17892.0,0.0,4316.0
2/4/2021,316294.0,17987.0,0.0,4388.0
2/5/2021,317878.0,18071.0,0.0,4416.0
2/6/2021,319371.0,18156.0,0.0,4449.0
2/7/2021,320146.0,18283.0,0.0,4449.0
2/8/2021,320146.0,18283.0,0.0,4449.0
2/9/2021,323214.0,18480.0,0.0,4451.0
2/10/2021,324025.0,18530.0,0.0,4558.0
2/11/2021,324706.0,18516.0,0.0,4603.0
2/12/2021,326159.0,18531.0,0.0,4633.0
2/13/2021,327167.0,18604.0,0.0,4675.0
2/14/2021,328047.0,18643.0,0.0,4675.0
2/15/2021,328047.0,18643.0,0.0,4675.0
2/16/2021,328047.0,18643.0,0.0,4675.0
2/17/2021,329746.0,18764.0,0.0,4709.0
2/18/2021,330807.0,18861.0,0.0,4759.0
2/19/2021,332007.0,18934.0,0.0,4803.0
2/20/2021,332904.0,18969.0,0.0,4822.0
2/21/2021,333794.0,19033.0,0.0,4822.0
2/22/2021,333794.0,19033.0,0.0,4822.0
2/23/2021,334962.0,19110.0,0.0,4857.0
2/24/2021,335693.0,19160.0,0.0,4881.0
2/25/2021,336565.0,19211.0,0.0,4912.0
2/26/2021,337653.0,19224.0,0.0,4942.0
2/27/2021,338822.0,19275.0,0.0,4956.0
2/28/2021,339773.0,19319.0,0.0,4956.0
3/1/2021,339773.0,19319.0,0.0,4956.0
3/2/2021,340708.0,19372.0,0.0,4969.0
3/3/2021,341441.0,19433.0,0.0,4988.0
3/4/2021,342236.0,19466.0,0.0,5012.0
3/5/2021,343090.0,19500.0,0.0,5032.0
3/6/2021,343868.0,19556.0,0.0,5041.0
3/7/2021,344532.0,19599.0,0.0,5041.0
