Population in the states of the U.S. 2020,
"Resident population of the U.S. in 2020, by state (including the District of Columbia)  (in millions)",
,
California,39.37
Texas,29.36
Florida,21.73
New York,19.34
Pennsylvania,12.78
Illinois,12.59
Ohio,11.69
Georgia,10.71
North Carolina,10.6
Michigan,9.97
New Jersey,8.88
Virginia,8.59
Washington,7.69
Arizona,7.42
Tennessee,6.89
Massachusetts,6.89
Indiana,6.75
Missouri,6.15
Maryland,6.06
Wisconsin,5.83
Colorado,5.81
Minnesota,5.66
South Carolina,5.22
Alabama,4.92
Louisiana,4.65
Kentucky,4.48
Oregon,4.24
Oklahoma,3.98
Connecticut,3.56
Utah,3.25
Iowa,3.16
Nevada,3.14
Arkansas,3.03
Mississippi,2.97
Kansas,2.91
New Mexico,2.11
Nebraska,1.94
Idaho,1.83
West Virginia,1.78
Hawaii,1.41
New Hampshire,1.37
Maine,1.35
Montana,1.08
Rhode Island,1.06
Delaware,0.99
South Dakota,0.89
North Dakota,0.77
Alaska,0.73
District of Columbia,0.71
Vermont,0.62
Wyoming,0.58
