Dates,Infected,Vaccinated,Recovered,Deaths
3/4/2020,2,4,0,0
3/5/2020,2,5,0,0
3/6/2020,3,6,0,0
3/7/2020,5,6,0,0
3/8/2020,5,6,0,0
3/9/2020,5,8,0,0
3/10/2020,6,8,0,0
3/11/2020,9,11,0,0
3/12/2020,9,16,0,0
3/13/2020,9,22,0,0
3/14/2020,12,26,0,0
3/15/2020,12,36,0,0
3/16/2020,18,42,0,0
3/17/2020,20,55,0,0
3/18/2020,28,67,0,0
3/19/2020,44,85,0,0
3/20/2020,65,108,0,0
3/21/2020,104,128,0,1
3/22/2020,152,145,0,2
3/23/2020,265,189,0,2
3/24/2020,357,219,0,5
3/25/2020,450,264,0,6
3/26/2020,577,303,0,8
3/27/2020,736,343,0,13
3/28/2020,873,386,0,15
3/29/2020,919,427,0,17
3/30/2020,1157,478,0,20
3/31/2020,1289,534,0,24
4/1/2020,1413,582,0,29
4/2/2020,1598,616,0,32
4/3/2020,1769,667,0,41
4/4/2020,2019,711,0,52
4/5/2020,2269,760,0,64
4/6/2020,2456,819,0,65
4/7/2020,2575,853,0,73
4/8/2020,2726,906,0,80
4/9/2020,3018,950,0,89
4/10/2020,3112,995,0,97
4/11/2020,3393,1037,0,108
4/12/2020,3539,1074,0,115
4/13/2020,3702,1122,0,122
4/14/2020,3806,1171,0,131
4/15/2020,3962,1213,0,142
4/16/2020,4234,1258,0,150
4/17/2020,4507,1289,0,169
4/18/2020,4719,1341,0,177
4/19/2020,4929,1387,0,184
4/20/2020,5064,1454,0,187
4/21/2020,5251,1484,0,208
4/22/2020,5459,1528,0,229
4/23/2020,5769,1572,0,249
4/24/2020,6045,1626,0,266
4/25/2020,6280,1672,0,266
4/26/2020,6526,1716,0,275
4/27/2020,6716,1772,0,275
4/28/2020,6948,1824,0,293
4/29/2020,7202,1884,0,304
4/30/2020,7648,1937,0,320
5/1/2020,7962,1986,0,330
5/2/2020,8364,2033,0,348
5/3/2020,8640,2089,0,362
5/4/2020,8919,2135,0,362
5/5/2020,9305,2192,0,395
5/6/2020,9707,2244,0,426
5/7/2020,9945,2292,0,450
5/8/2020,10526,2350,0,517
5/9/2020,10960,2386,0,532
5/10/2020,11119,2421,0,536
5/11/2020,11380,2462,0,542
5/12/2020,11736,2504,0,562
5/13/2020,12176,2543,0,594
5/14/2020,12674,2595,0,624
5/15/2020,13169,2636,0,651
5/16/2020,13631,2673,0,679
5/17/2020,13937,2703,0,680
5/18/2020,14170,2757,0,686
5/19/2020,14566,2800,0,704
5/20/2020,14897,2836,0,747
5/21/2020,15315,2885,0,763
5/22/2020,15608,2943,0,775
5/23/2020,16039,2984,0,799
5/24/2020,16339,3026,0,800
5/25/2020,16561,3077,0,806
5/26/2020,16783,3122,0,807
5/27/2020,17262,3172,0,831
5/28/2020,17763,3223,0,857
5/29/2020,18465,3281,0,885
5/30/2020,19255,3334,0,903
5/31/2020,19936,3379,0,906
6/1/2020,20123,3445,0,917
6/2/2020,21250,3520,0,941
6/3/2020,22233,3589,0,981
6/4/2020,22753,3642,0,996
6/5/2020,24332,3712,0,1012
6/6/2020,25451,3777,0,1042
6/7/2020,26889,3847,0,1044
6/8/2020,27678,3911,0,1047
6/9/2020,28296,3959,0,1070
6/10/2020,29852,4000,0,1095
6/11/2020,31264,4041,0,1127
6/12/2020,32918,4079,0,1144
6/13/2020,34458,4115,0,1183
6/14/2020,35691,4148,0,1186
6/15/2020,36705,4182,0,1194
6/16/2020,39097,4209,0,1219
6/17/2020,40924,4224,0,1239
6/18/2020,43443,4241,0,1271
6/19/2020,46689,4246,0,1312
6/20/2020,49798,4252,0,1338
6/21/2020,52390,4255,0,1339
6/22/2020,54586,4255,0,1342
6/23/2020,58179,4255,0,1384
6/24/2020,59974,4313,0,1463
6/25/2020,63030,4406,0,1490
6/26/2020,66548,4514,0,1535
6/27/2020,70051,4595,0,1579
6/28/2020,73908,4617,0,1588
6/29/2020,74533,4634,0,1588
6/30/2020,79215,4736,0,1632
7/1/2020,84092,4837,0,1720
7/2/2020,87425,4916,0,1757
7/3/2020,91858,5018,0,1788
7/4/2020,94553,5068,0,1805
7/5/2020,98089,5161,0,1809
7/6/2020,101441,5188,0,1810
7/7/2020,105094,5272,0,1927
7/8/2020,108614,5387,0,1963
7/9/2020,112671,5526,0,2038
7/10/2020,116892,5659,0,2082
7/11/2020,119930,5750,0,2151
7/12/2020,122467,5795,0,2237
7/13/2020,123824,5839,0,2245
7/14/2020,128097,5942,0,2337
7/15/2020,131354,6103,0,2434
7/16/2020,134613,6296,0,2492
7/17/2020,138523,6402,0,2583
7/18/2020,141265,6567,0,2730
7/19/2020,143624,6632,0,2761
7/20/2020,145183,6698,0,2784
7/21/2020,148683,6894,0,2918
7/22/2020,150609,7047,0,2974
7/23/2020,152944,7236,0,3063
7/24/2020,156301,7461,0,3142
7/25/2020,160041,7627,0,3286
7/26/2020,162014,7706,0,3305
7/27/2020,163827,7751,0,3304
7/28/2020,165934,9394,0,3408
7/29/2020,168273,10060,0,3454
7/30/2020,170798,11172,0,3626
7/31/2020,174010,11260,0,3694
8/1/2020,177002,11346,0,3747
8/2/2020,178467,11371,0,3765
8/3/2020,179497,11400,0,3779
8/4/2020,180505,13294,0,3845
8/5/2020,182203,13559,0,3932
8/6/2020,183647,14068,0,4002
8/7/2020,185053,19241,0,4081
8/8/2020,186107,19244,0,4137
8/9/2020,186923,19268,0,4150
8/10/2020,187523,19277,0,4154
8/11/2020,188737,19292,0,4199
8/12/2020,189443,19821,0,4347
8/13/2020,190794,20503,0,4383
8/14/2020,191721,20515,0,4423
8/15/2020,192654,20795,0,4492
8/16/2020,193537,20755,0,4506
8/17/2020,194005,20756,0,4506
8/18/2020,194920,20878,0,4529
8/19/2020,195557,21020,0,4634
8/20/2020,196280,21143,0,4684
8/21/2020,196899,21210,0,4688
8/22/2020,197895,21271,0,4756
8/23/2020,198103,21241,0,4771
8/24/2020,198414,21219,0,4771
8/25/2020,199273,21365,0,4792
8/26/2020,199459,21376,0,4896
8/27/2020,200139,21426,0,4929
8/28/2020,200658,21428,0,4978
8/29/2020,201287,21433,0,5007
8/30/2020,201661,21421,0,5030
8/31/2020,201835,21405,0,5029
9/1/2020,202342,21405,0,5044
9/2/2020,202861,21449,0,5065
9/3/2020,203953,21474,0,5130
9/4/2020,204681,21498,0,5171
9/5/2020,205516,21520,0,5207
9/6/2020,205766,21527,0,5221
9/7/2020,205964,21525,0,5219
9/8/2020,206045,21522,0,5221
9/9/2020,206541,21593,0,5251
9/10/2020,207002,21611,0,5273
9/11/2020,207523,21747,0,5288
9/12/2020,208128,21773,0,5315
9/13/2020,208512,21773,0,5322
9/14/2020,208725,21774,0,5322
9/15/2020,209209,21800,0,5344
9/16/2020,209907,21825,0,5371
9/17/2020,211660,21821,0,5409
9/18/2020,212942,21865,0,5451
9/19/2020,213551,21882,0,5467
9/20/2020,214018,21876,0,5476
9/21/2020,214251,21878,0,5478
9/22/2020,214846,21900,0,5498
9/23/2020,215284,21925,0,5525
9/24/2020,215852,21942,0,5559
9/25/2020,216367,21972,0,5587
9/26/2020,216826,22005,0,5622
9/27/2020,217237,22015,0,5623
9/28/2020,217510,22019,0,5623
9/29/2020,218184,22047,0,5632
9/30/2020,218507,22119,0,5650
10/1/2020,219212,22226,0,5674
10/2/2020,219763,22240,0,5693
10/3/2020,220399,22280,0,5705
10/4/2020,220754,22294,0,5706
10/5/2020,221070,22303,0,5707
10/6/2020,221934,19987,0,5713
10/7/2020,222538,20050,0,5733
10/8/2020,223401,20171,0,5743
10/9/2020,224084,20199,0,5746
10/10/2020,224978,20229,0,5759
10/11/2020,225575,20253,0,5759
10/12/2020,226050,20257,0,5759
10/13/2020,226734,20312,0,5767
10/14/2020,227635,20366,0,5772
10/15/2020,228748,20462,0,5789
10/16/2020,229486,20491,0,5806
10/17/2020,230407,20618,0,5824
10/18/2020,231149,20640,0,5827
10/19/2020,231897,20648,0,5830
10/20/2020,232937,20719,0,5837
10/21/2020,233912,20820,0,5854
10/22/2020,234906,20938,0,5859
10/23/2020,235882,20967,0,5865
10/24/2020,236772,21043,0,5869
10/25/2020,238163,21086,0,5874
10/26/2020,238964,21097,0,5875
10/27/2020,240122,21172,0,5891
10/28/2020,241165,21247,0,5905
10/29/2020,242480,21260,0,5918
10/30/2020,244045,21424,0,5934
10/31/2020,245946,21492,0,5979
11/1/2020,247473,21558,0,5981
11/2/2020,248139,21573,0,5982
11/3/2020,249818,21626,0,6020
11/4/2020,250633,21786,0,6059
11/5/2020,252768,21831,0,6087
11/6/2020,254764,22018,0,6109
11/7/2020,257384,22170,0,6147
11/8/2020,259264,22202,0,6164
11/9/2020,259699,22211,0,6164
11/10/2020,263133,22428,0,6192
11/11/2020,265163,22494,0,6228
11/12/2020,266562,22576,0,6240
11/13/2020,269577,22820,0,6257
11/14/2020,273053,22937,0,6300
11/15/2020,275436,23049,0,6302
11/16/2020,276912,23122,0,6302
11/17/2020,279896,23243,0,6312
11/18/2020,283102,23473,0,6365
11/19/2020,287225,23871,0,6384
11/20/2020,291696,24052,0,6427
11/21/2020,295334,24181,0,6457
11/22/2020,299665,24412,0,6464
11/23/2020,302324,24461,0,6464
11/24/2020,306868,24666,0,6515
11/25/2020,310850,24952,0,6524
11/26/2020,314326,25163,0,6568
11/27/2020,318638,25296,0,6588
11/28/2020,322774,25348,0,6624
11/29/2020,325995,25568,0,6634
11/30/2020,326817,25786,0,6639
12/1/2020,337139,26072,0,6687
12/2/2020,340979,26312,0,6739
12/3/2020,346421,27456,0,6821
12/4/2020,352101,27738,0,6885
12/5/2020,358900,28006,0,6925
12/6/2020,364276,28248,0,6950
12/7/2020,365843,28273,0,6950
12/8/2020,378157,28525,0,6973
12/9/2020,382601,28880,0,7081
12/10/2020,387529,29335,0,7154
12/11/2020,394512,30302,0,7245
12/12/2020,402589,30687,0,7322
12/13/2020,408442,30949,0,7357
12/14/2020,420248,31142,0,7358
12/15/2020,424382,31266,0,7422
12/16/2020,429219,31468,0,7530
12/17/2020,435036,31851,0,7677
12/18/2020,442671,32293,0,7819
12/19/2020,448231,32676,0,7937
12/20/2020,453597,33037,0,7971
12/21/2020,461345,33195,0,7972
12/22/2020,467215,33619,0,8125
12/23/2020,473273,34112,0,8179
12/24/2020,480319,34520,0,8294
12/25/2020,486935,34977,0,8409
12/26/2020,493041,35337,0,8424
12/27/2020,494337,35390,0,8427
12/28/2020,504423,35630,0,8469
12/29/2020,507222,36075,0,8640
12/30/2020,512489,36784,0,8718
12/31/2020,520207,37257,0,8864
1/1/2021,530267,38846,0,9015
1/2/2021,539150,39439,0,9061
1/3/2021,556384,39728,0,9061
1/4/2021,561542,39897,0,9064
1/5/2021,567474,40303,0,9317
1/6/2021,574680,41063,0,9444
1/7/2021,584593,42112,0,9741
1/8/2021,596251,42718,0,9938
1/9/2021,607345,43095,0,10036
1/10/2021,618546,43582,0,10141
1/11/2021,627541,43636,0,10147
1/12/2021,636100,44389,0,10482
1/13/2021,641729,44863,0,10673
1/14/2021,649040,45260,0,10855
1/15/2021,658186,45665,0,11040
1/16/2021,666901,46648,0,11248
1/17/2021,673882,47081,0,11266
1/18/2021,679282,47195,0,11265
1/19/2021,685699,47721,0,11266
1/20/2021,690544,48207,0,11528
1/21/2021,699942,48604,0,11772
1/22/2021,708041,49602,0,12001
1/23/2021,715357,49963,0,12170
1/24/2021,722574,50264,0,12238
1/25/2021,727895,50483,0,12239
1/26/2021,732643,50657,0,12448
1/27/2021,738561,51037,0,12643
1/28/2021,743232,51349,0,12819
1/29/2021,748260,51571,0,13022
1/30/2021,753379,52006,0,13098
1/31/2021,758404,52764,0,13120
2/1/2021,762145,52986,0,13124
2/2/2021,765083,53149,0,13362
2/3/2021,767379,53432,0,13576
2/4/2021,771796,54091,0,13752
2/5/2021,775622,54309,0,13948
2/6/2021,779093,54507,0,14011
2/7/2021,780637,54657,0,14048
2/8/2021,782887,54713,0,14055
2/9/2021,787268,54967,0,14286
2/10/2021,789245,55088,0,14462
2/11/2021,791106,55272,0,14662
2/12/2021,793532,55413,0,14834
2/13/2021,795323,55559,0,14948
2/14/2021,797270,55667,0,14978
2/15/2021,798608,55777,0,14978
2/16/2021,799740,55865,0,14981
2/17/2021,801055,55983,0,15063
2/18/2021,802198,56090,0,15276
2/19/2021,804116,56732,0,15421
2/20/2021,806163,56872,0,15480
2/21/2021,807967,56946,0,15505
2/22/2021,809474,56994,0,15502
2/23/2021,810658,57072,0,15650
2/24/2021,811968,57156,0,15693
2/25/2021,812907,57390,0,15814
2/26/2021,814528,57460,0,15897
2/27/2021,815707,57508,0,15967
2/28/2021,816782,57599,0,15980
3/1/2021,817821,57589,0,15979
3/2/2021,818670,57591,0,16060
3/3/2021,819954,57697,0,16089
3/4/2021,821108,57747,0,16185
3/5/2021,823384,57819,0,16269
3/6/2021,825119,57863,0,16323
3/7/2021,826454,57907,0,16328
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
