Dates,Infected,Deaths,Tested,Population
2/1/2020,3.0,0.0,606.0,39370000.0
2/2/2020,3.0,0.0,674.0,39370000.0
2/3/2020,496.0,226.0,732.0,39370000.0
2/4/2020,503.0,226.0,794.0,39370000.0
2/5/2020,507.0,226.0,880.0,39370000.0
2/6/2020,509.0,226.0,904.0,39370000.0
2/7/2020,513.0,226.0,1808.0,39370000.0
2/8/2020,520.0,227.0,1922.0,39370000.0
2/9/2020,553.0,227.0,1964.0,39370000.0
2/10/2020,561.0,227.0,1996.0,39370000.0
2/11/2020,570.0,227.0,2076.0,39370000.0
2/12/2020,578.0,227.0,2082.0,39370000.0
2/13/2020,583.0,227.0,2102.0,39370000.0
2/14/2020,588.0,227.0,2124.0,39370000.0
2/15/2020,591.0,227.0,2204.0,39370000.0
2/16/2020,604.0,227.0,2332.0,39370000.0
2/17/2020,616.0,227.0,2502.0,39370000.0
2/18/2020,623.0,227.0,2534.0,39370000.0
2/19/2020,639.0,228.0,2554.0,39370000.0
2/20/2020,651.0,228.0,2606.0,39370000.0
2/21/2020,663.0,228.0,2636.0,39370000.0
2/22/2020,687.0,228.0,2690.0,39370000.0
2/23/2020,709.0,228.0,2764.0,39370000.0
2/24/2020,724.0,228.0,2804.0,39370000.0
2/25/2020,743.0,228.0,2828.0,39370000.0
2/26/2020,783.0,228.0,2874.0,39370000.0
2/27/2020,809.0,228.0,3030.0,39370000.0
2/28/2020,852.0,228.0,3270.0,39370000.0
2/29/2020,877.0,228.0,3448.0,39370000.0
3/1/2020,931.0,228.0,3604.0,39370000.0
3/2/2020,971.0,228.0,3958.0,39370000.0
3/3/2020,1072.0,228.0,4242.0,39370000.0
3/4/2020,1148.0,228.0,4714.0,39370000.0
3/5/2020,1233.0,229.0,5448.0,39370000.0
3/6/2020,1328.0,230.0,6270.0,39370000.0
3/7/2020,1437.0,230.0,7278.0,39370000.0
3/8/2020,1593.0,231.0,7920.0,39370000.0
3/9/2020,1754.0,231.0,9972.0,39370000.0
3/10/2020,1935.0,231.0,12344.0,39370000.0
3/11/2020,2262.0,234.0,16062.0,39370000.0
3/12/2020,2615.0,234.0,22980.0,39370000.0
3/13/2020,3035.0,235.0,31916.0,39370000.0
3/14/2020,3537.0,235.0,37478.0,39370000.0
3/15/2020,4110.0,236.0,43006.0,39370000.0
3/16/2020,4613.0,237.0,58528.0,39370000.0
3/17/2020,5213.0,239.0,76412.0,39370000.0
3/18/2020,6073.0,244.0,94262.0,39370000.0
3/19/2020,6894.0,250.0,112312.0,39370000.0
3/20/2020,7648.0,250.0,132380.0,39370000.0
3/21/2020,8413.0,257.0,142546.0,39370000.0
3/22/2020,9352.0,264.0,151828.0,39370000.0
3/23/2020,10037.0,274.0,176988.0,39370000.0
3/24/2020,10788.0,288.0,200856.0,39370000.0
3/25/2020,11793.0,306.0,224300.0,39370000.0
3/26/2020,12631.0,324.0,247858.0,39370000.0
3/27/2020,13675.0,344.0,272998.0,39370000.0
3/28/2020,14639.0,359.0,288992.0,39370000.0
3/29/2020,15632.0,381.0,299474.0,39370000.0
3/30/2020,16576.0,407.0,327388.0,39370000.0
3/31/2020,17400.0,432.0,354874.0,39370000.0
4/1/2020,18769.0,461.0,384820.0,39370000.0
4/2/2020,20018.0,503.0,415028.0,39370000.0
4/3/2020,21518.0,544.0,445638.0,39370000.0
4/4/2020,22890.0,600.0,461652.0,39370000.0
4/5/2020,24400.0,653.0,473798.0,39370000.0
4/6/2020,25522.0,691.0,501168.0,39370000.0
4/7/2020,26664.0,748.0,531628.0,39370000.0
4/8/2020,28016.0,784.0,563580.0,39370000.0
4/9/2020,29432.0,846.0,599318.0,39370000.0
4/10/2020,30894.0,910.0,635610.0,39370000.0
4/11/2020,32289.0,969.0,654012.0,39370000.0
4/12/2020,33751.0,1031.0,665502.0,39370000.0
4/13/2020,34800.0,1085.0,696134.0,39370000.0
4/14/2020,35776.0,1153.0,729562.0,39370000.0
4/15/2020,37288.0,1232.0,769364.0,39370000.0
4/16/2020,38773.0,1321.0,808688.0,39370000.0
4/17/2020,40434.0,1389.0,850108.0,39370000.0
4/18/2020,42095.0,1488.0,876052.0,39370000.0
4/19/2020,43680.0,1563.0,893354.0,39370000.0
4/20/2020,44878.0,1632.0,937632.0,39370000.0
4/21/2020,45947.0,1699.0,988100.0,39370000.0
4/22/2020,47845.0,1786.0,1036262.0,39370000.0
4/23/2020,49512.0,1858.0,1087180.0,39370000.0
4/24/2020,51261.0,1943.0,1146498.0,39370000.0
4/25/2020,53096.0,2032.0,1186358.0,39370000.0
4/26/2020,55104.0,2111.0,1209330.0,39370000.0
4/27/2020,56705.0,2178.0,1278918.0,39370000.0
4/28/2020,57961.0,2249.0,1350086.0,39370000.0
4/29/2020,60196.0,2316.0,1421866.0,39370000.0
4/30/2020,62292.0,2409.0,1503744.0,39370000.0
5/1/2020,64316.0,2487.0,1593826.0,39370000.0
5/2/2020,66233.0,2566.0,1647062.0,39370000.0
5/3/2020,68454.0,2640.0,1678182.0,39370000.0
5/4/2020,69839.0,2736.0,1768710.0,39370000.0
5/5/2020,70984.0,2806.0,1865108.0,39370000.0
5/6/2020,73399.0,2882.0,1977790.0,39370000.0
5/7/2020,75998.0,2949.0,2084754.0,39370000.0
