Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,1.0,0.0,0.0
3/10/2020,0.0,1.0,0.0,0.0
3/11/2020,0.0,1.0,0.0,0.0
3/12/2020,0.0,1.0,0.0,0.0
3/13/2020,0.0,1.0,0.0,0.0
3/14/2020,0.0,1.0,0.0,0.0
3/15/2020,0.0,1.0,0.0,0.0
3/16/2020,0.0,1.0,0.0,0.0
3/17/2020,3.0,1.0,0.0,0.0
3/18/2020,8.0,1.0,0.0,0.0
3/19/2020,11.0,1.0,0.0,0.0
3/20/2020,14.0,1.0,0.0,0.0
3/21/2020,15.0,1.0,0.0,0.0
3/22/2020,25.0,1.0,0.0,0.0
3/23/2020,38.0,1.0,0.0,0.0
3/24/2020,42.0,2.0,0.0,0.0
3/25/2020,49.0,3.0,0.0,1.0
3/26/2020,63.0,4.0,0.0,1.0
3/27/2020,74.0,6.0,0.0,1.0
3/28/2020,91.0,10.0,0.0,2.0
3/29/2020,110.0,10.0,0.0,2.0
3/30/2020,118.0,10.0,0.0,3.0
3/31/2020,128.0,12.0,0.0,3.0
4/1/2020,141.0,15.0,0.0,3.0
4/2/2020,149.0,16.0,0.0,3.0
4/3/2020,160.0,17.0,0.0,3.0
4/4/2020,171.0,17.0,0.0,5.0
4/5/2020,185.0,21.0,0.0,6.0
4/6/2020,191.0,25.0,0.0,6.0
4/7/2020,213.0,26.0,29.0,6.0
4/8/2020,226.0,28.0,32.0,7.0
4/9/2020,235.0,30.0,49.0,7.0
4/10/2020,246.0,30.0,55.0,7.0
4/11/2020,257.0,32.0,63.0,8.0
4/12/2020,272.0,33.0,66.0,8.0
4/13/2020,277.0,33.0,85.0,8.0
4/14/2020,285.0,33.0,98.0,9.0
4/15/2020,293.0,33.0,106.0,9.0
4/16/2020,300.0,36.0,110.0,9.0
4/17/2020,309.0,37.0,128.0,9.0
4/18/2020,314.0,37.0,147.0,9.0
4/19/2020,319.0,37.0,153.0,9.0
4/20/2020,321.0,37.0,161.0,9.0
4/21/2020,329.0,37.0,168.0,9.0
4/22/2020,335.0,37.0,196.0,9.0
4/23/2020,337.0,37.0,209.0,9.0
4/24/2020,339.0,37.0,208.0,9.0
4/25/2020,339.0,37.0,217.0,9.0
4/26/2020,341.0,37.0,217.0,9.0
4/27/2020,345.0,37.0,218.0,9.0
4/28/2020,351.0,38.0,228.0,9.0
4/29/2020,355.0,38.0,240.0,9.0
4/30/2020,355.0,38.0,252.0,9.0
5/1/2020,364.0,39.0,254.0,9.0
5/2/2020,365.0,39.0,261.0,9.0
5/3/2020,368.0,39.0,262.0,9.0
5/4/2020,370.0,39.0,263.0,9.0
5/5/2020,371.0,40.0,277.0,9.0
5/6/2020,372.0,41.0,284.0,10.0
5/7/2020,374.0,41.0,291.0,10.0
5/8/2020,377.0,41.0,305.0,10.0
5/9/2020,378.0,41.0,318.0,10.0
5/10/2020,379.0,41.0,324.0,10.0
5/11/2020,381.0,41.0,328.0,10.0
5/12/2020,383.0,41.0,334.0,10.0
5/13/2020,384.0,41.0,338.0,10.0
5/14/2020,389.0,42.0,339.0,10.0
5/15/2020,390.0,43.0,343.0,10.0
5/16/2020,394.0,45.0,344.0,10.0
5/17/2020,398.0,46.0,344.0,10.0
5/18/2020,401.0,46.0,345.0,10.0
5/19/2020,401.0,46.0,348.0,10.0
5/20/2020,404.0,46.0,352.0,10.0
5/21/2020,404.0,47.0,356.0,10.0
5/22/2020,406.0,49.0,356.0,10.0
5/23/2020,410.0,49.0,358.0,10.0
5/24/2020,410.0,49.0,358.0,10.0
5/25/2020,411.0,49.0,361.0,10.0
5/26/2020,413.0,49.0,362.0,10.0
5/27/2020,414.0,49.0,364.0,10.0
5/28/2020,427.0,49.0,366.0,10.0
5/29/2020,432.0,50.0,367.0,10.0
5/30/2020,435.0,50.0,368.0,10.0
