Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,0.0,0.0,0.0,0.0
3/13/2020,1.0,0.0,0.0,0.0
3/14/2020,6.0,0.0,0.0,0.0
3/15/2020,12.0,0.0,0.0,0.0
3/16/2020,28.0,0.0,0.0,0.0
3/17/2020,36.0,0.0,0.0,0.0
3/18/2020,46.0,0.0,0.0,0.0
3/19/2020,68.0,0.0,0.0,0.0
3/20/2020,81.0,0.0,0.0,0.0
3/21/2020,124.0,0.0,0.0,0.0
3/22/2020,138.0,0.0,0.0,0.0
3/23/2020,167.0,0.0,0.0,0.0
3/24/2020,215.0,0.0,0.0,0.0
3/25/2020,283.0,0.0,0.0,0.0
3/26/2020,506.0,0.0,0.0,1.0
3/27/2020,587.0,0.0,0.0,3.0
3/28/2020,696.0,0.0,0.0,3.0
3/29/2020,806.0,0.0,0.0,4.0
3/30/2020,859.0,0.0,0.0,6.0
3/31/2020,981.0,0.0,0.0,13.0
4/1/2020,1077.0,0.0,0.0,26.0
4/2/2020,1233.0,0.0,0.0,32.0
4/3/2020,1432.0,0.0,0.0,35.0
4/4/2020,1580.0,212.0,0.0,43.0
4/5/2020,1796.0,231.0,0.0,45.0
4/6/2020,1968.0,240.0,0.0,50.0
4/7/2020,2119.0,271.0,0.0,56.0
4/8/2020,2369.0,314.0,0.0,66.0
4/9/2020,2769.0,333.0,0.0,74.0
4/10/2020,2968.0,368.0,0.0,80.0
4/11/2020,3191.0,402.0,0.0,91.0
4/12/2020,3525.0,437.0,0.0,93.0
4/13/2020,3734.0,457.0,0.0,99.0
4/14/2020,3876.0,493.0,0.0,110.0
4/15/2020,4113.0,525.0,0.0,121.0
4/16/2020,4345.0,553.0,0.0,133.0
4/17/2020,4530.0,594.0,0.0,144.0
4/18/2020,4655.0,620.0,0.0,146.0
4/19/2020,4837.0,641.0,0.0,154.0
4/20/2020,5025.0,641.0,0.0,167.0
4/21/2020,5231.0,699.0,0.0,177.0
4/22/2020,5465.0,730.0,0.0,194.0
4/23/2020,5778.0,768.0,0.0,197.0
4/24/2020,5832.0,768.0,0.0,197.0
4/25/2020,6137.0,839.0,0.0,212.0
4/26/2020,6270.0,845.0,0.0,216.0
4/27/2020,6499.0,872.0,0.0,222.0
4/28/2020,6687.0,911.0,0.0,242.0
4/29/2020,6842.0,945.0,0.0,245.0
4/30/2020,7019.0,978.0,0.0,269.0
5/1/2020,7158.0,1008.0,0.0,279.0
5/2/2020,7434.0,1023.0,0.0,288.0
5/3/2020,7725.0,1035.0,0.0,290.0
5/4/2020,8025.0,1064.0,0.0,296.0
5/5/2020,8285.0,1107.0,0.0,313.0
5/6/2020,8581.0,1158.0,0.0,340.0
5/7/2020,8898.0,1178.0,0.0,349.0
5/8/2020,9221.0,1207.0,0.0,375.0
5/9/2020,9567.0,1228.0,0.0,388.0
5/10/2020,9777.0,1240.0,0.0,393.0
5/11/2020,10009.0,1256.0,0.0,401.0
5/12/2020,10310.0,1287.0,0.0,429.0
5/13/2020,10617.0,1317.0,0.0,449.0
5/14/2020,10968.0,1350.0,0.0,467.0
5/15/2020,11216.0,1377.0,0.0,476.0
5/16/2020,11523.0,1387.0,0.0,485.0
5/17/2020,11771.0,1392.0,0.0,488.0
5/18/2020,12086.0,1416.0,0.0,489.0
5/19/2020,12376.0,1453.0,0.0,504.0
5/20/2020,12744.0,1493.0,0.0,517.0
5/21/2020,13119.0,1528.0,0.0,529.0
5/22/2020,13563.0,1561.0,7951.0,537.0
5/23/2020,13938.0,1589.0,7951.0,546.0
5/24/2020,14327.0,1612.0,7951.0,551.0
5/25/2020,14730.0,1629.0,7951.0,562.0
5/26/2020,15396.0,1671.0,7951.0,575.0
