Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,6.0,0.0,0.0,0.0
3/13/2020,9.0,0.0,0.0,0.0
3/14/2020,12.0,0.0,0.0,0.0
3/15/2020,16.0,0.0,0.0,0.0
3/16/2020,22.0,0.0,0.0,0.0
3/17/2020,22.0,0.0,0.0,0.0
3/18/2020,33.0,0.0,0.0,0.0
3/19/2020,46.0,0.0,0.0,0.0
3/20/2020,96.0,0.0,0.0,0.0
3/21/2020,118.0,0.0,0.0,0.0
3/22/2020,165.0,0.0,0.0,0.0
3/23/2020,174.0,0.0,0.0,0.0
3/24/2020,218.0,0.0,0.0,0.0
3/25/2020,280.0,0.0,11.0,2.0
3/26/2020,335.0,0.0,13.0,3.0
3/27/2020,381.0,0.0,19.0,3.0
3/28/2020,404.0,0.0,24.0,5.0
3/29/2020,426.0,0.0,28.0,6.0
3/30/2020,473.0,0.0,29.0,7.0
3/31/2020,523.0,0.0,35.0,8.0
4/1/2020,584.0,90.0,42.0,10.0
4/2/2020,643.0,100.0,47.0,12.0
4/3/2020,704.0,105.0,60.0,12.0
4/4/2020,743.0,106.0,79.0,14.0
4/5/2020,830.0,130.0,97.0,16.0
4/6/2020,875.0,137.0,102.0,16.0
4/7/2020,946.0,148.0,142.0,16.0
4/8/2020,1000.0,130.0,208.0,18.0
4/9/2020,1119.0,130.0,288.0,21.0
4/10/2020,1171.0,130.0,312.0,23.0
4/11/2020,1226.0,130.0,340.0,24.0
4/12/2020,1280.0,130.0,367.0,27.0
4/13/2020,1410.0,130.0,391.0,30.0
4/14/2020,1480.0,130.0,427.0,30.0
4/15/2020,1569.0,130.0,489.0,33.0
4/16/2020,1620.0,130.0,548.0,37.0
4/17/2020,1695.0,130.0,593.0,37.0
4/18/2020,1739.0,291.0,703.0,38.0
4/19/2020,1781.0,291.0,721.0,40.0
4/20/2020,1923.0,291.0,749.0,42.0
4/21/2020,2227.0,291.0,809.0,43.0
4/22/2020,2276.0,291.0,863.0,42.0
4/23/2020,2465.0,291.0,902.0,45.0
4/24/2020,2741.0,291.0,929.0,45.0
4/25/2020,2829.0,291.0,964.0,47.0
4/26/2020,2941.0,291.0,985.0,49.0
4/27/2020,3017.0,291.0,987.0,50.0
4/28/2020,3111.0,291.0,1146.0,52.0
4/29/2020,3192.0,389.0,1249.0,59.0
4/30/2020,3255.0,402.0,1305.0,61.0
5/1/2020,3321.0,414.0,1973.0,64.0
5/2/2020,3372.0,414.0,1987.0,73.0
5/3/2020,3431.0,427.0,1999.0,76.0
5/4/2020,3458.0,438.0,2016.0,81.0
5/5/2020,3496.0,453.0,2041.0,83.0
5/6/2020,3568.0,453.0,2109.0,85.0
5/7/2020,3611.0,462.0,2123.0,87.0
5/8/2020,3694.0,466.0,2159.0,88.0
5/9/2020,3747.0,471.0,2968.0,88.0
5/10/2020,3747.0,471.0,2968.0,88.0
5/11/2020,4034.0,480.0,3149.0,94.0
5/12/2020,4164.0,485.0,3220.0,95.0
5/13/2020,4164.0,497.0,3220.0,95.0
5/14/2020,4236.0,509.0,3277.0,97.0
5/15/2020,4463.0,520.0,3390.0,98.0
5/16/2020,4578.0,520.0,3472.0,98.0
5/17/2020,4759.0,520.0,3590.0,98.0
5/18/2020,4813.0,530.0,3645.0,100.0
5/19/2020,4923.0,535.0,3739.0,102.0
5/20/2020,5003.0,535.0,3852.0,107.0
5/21/2020,5458.0,535.0,3915.0,110.0
5/22/2020,5612.0,584.0,4029.0,113.0
5/23/2020,5612.0,590.0,4029.0,113.0
5/24/2020,5922.0,598.0,4148.0,116.0
5/25/2020,6029.0,605.0,4249.0,117.0
5/26/2020,6180.0,617.0,4332.0,119.0
5/27/2020,6277.0,627.0,4424.0,120.0
