Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,5.0,6.0,0.0,0.0
3/8/2020,5.0,6.0,0.0,0.0
3/9/2020,5.0,8.0,0.0,0.0
3/10/2020,6.0,8.0,0.0,0.0
3/11/2020,9.0,11.0,0.0,0.0
3/12/2020,9.0,16.0,0.0,0.0
3/13/2020,9.0,22.0,0.0,0.0
3/14/2020,12.0,26.0,0.0,0.0
3/15/2020,12.0,36.0,0.0,0.0
3/16/2020,18.0,42.0,0.0,0.0
3/17/2020,20.0,55.0,0.0,0.0
3/18/2020,28.0,67.0,0.0,0.0
3/19/2020,44.0,85.0,0.0,0.0
3/20/2020,65.0,108.0,0.0,0.0
3/21/2020,104.0,128.0,0.0,1.0
3/22/2020,152.0,145.0,0.0,2.0
3/23/2020,265.0,189.0,0.0,2.0
3/24/2020,357.0,219.0,0.0,5.0
3/25/2020,450.0,264.0,0.0,6.0
3/26/2020,577.0,303.0,0.0,8.0
3/27/2020,736.0,343.0,0.0,13.0
3/28/2020,873.0,386.0,0.0,15.0
3/29/2020,919.0,427.0,0.0,17.0
3/30/2020,1157.0,478.0,0.0,20.0
3/31/2020,1289.0,534.0,0.0,24.0
4/1/2020,1413.0,582.0,0.0,29.0
4/2/2020,1598.0,616.0,0.0,32.0
4/3/2020,1769.0,667.0,0.0,41.0
4/4/2020,2019.0,711.0,0.0,52.0
4/5/2020,2269.0,760.0,0.0,64.0
4/6/2020,2456.0,819.0,0.0,65.0
4/7/2020,2575.0,853.0,0.0,73.0
4/8/2020,2726.0,906.0,0.0,80.0
4/9/2020,3018.0,950.0,0.0,89.0
4/10/2020,3112.0,995.0,0.0,97.0
4/11/2020,3393.0,1037.0,0.0,108.0
4/12/2020,3539.0,1074.0,0.0,115.0
4/13/2020,3702.0,1122.0,0.0,122.0
4/14/2020,3806.0,1171.0,0.0,131.0
4/15/2020,3962.0,1213.0,0.0,142.0
4/16/2020,4234.0,1258.0,0.0,150.0
4/17/2020,4507.0,1289.0,0.0,169.0
4/18/2020,4719.0,1341.0,0.0,177.0
4/19/2020,4929.0,1387.0,0.0,184.0
4/20/2020,5064.0,1454.0,0.0,187.0
4/21/2020,5251.0,1484.0,0.0,208.0
4/22/2020,5459.0,1528.0,0.0,229.0
4/23/2020,5769.0,1572.0,0.0,249.0
4/24/2020,6045.0,1626.0,0.0,266.0
4/25/2020,6280.0,1672.0,0.0,266.0
4/26/2020,6526.0,1716.0,0.0,275.0
4/27/2020,6716.0,1772.0,0.0,275.0
4/28/2020,6948.0,1824.0,0.0,293.0
4/29/2020,7202.0,1884.0,0.0,304.0
4/30/2020,7648.0,1937.0,0.0,320.0
5/1/2020,7962.0,1986.0,0.0,330.0
5/2/2020,8364.0,2033.0,0.0,348.0
5/3/2020,8640.0,2089.0,0.0,362.0
5/4/2020,8919.0,2135.0,0.0,362.0
5/5/2020,9305.0,2192.0,0.0,395.0
5/6/2020,9707.0,2244.0,0.0,426.0
5/7/2020,9945.0,2292.0,0.0,450.0
5/8/2020,10526.0,2350.0,0.0,517.0
5/9/2020,10960.0,2386.0,0.0,532.0
5/10/2020,11119.0,2421.0,0.0,536.0
5/11/2020,11380.0,2462.0,0.0,542.0
5/12/2020,11736.0,2504.0,0.0,562.0
5/13/2020,12176.0,2543.0,0.0,594.0
5/14/2020,12674.0,2595.0,0.0,624.0
5/15/2020,13169.0,2636.0,0.0,651.0
5/16/2020,13631.0,2673.0,0.0,679.0
5/17/2020,13937.0,2703.0,0.0,680.0
5/18/2020,14170.0,2757.0,0.0,686.0
5/19/2020,14566.0,2800.0,0.0,704.0
5/20/2020,14897.0,2836.0,0.0,747.0
5/21/2020,15315.0,2885.0,0.0,763.0
5/22/2020,15608.0,2943.0,0.0,775.0
5/23/2020,16039.0,2984.0,0.0,799.0
5/24/2020,16339.0,3026.0,0.0,800.0
5/25/2020,16561.0,3077.0,0.0,806.0
5/26/2020,16783.0,3122.0,0.0,807.0
5/27/2020,17262.0,3172.0,0.0,831.0
5/28/2020,17763.0,3223.0,0.0,857.0
5/29/2020,18465.0,3281.0,0.0,885.0
5/30/2020,19255.0,3334.0,0.0,903.0
5/31/2020,19936.0,3379.0,0.0,906.0
6/1/2020,20123.0,3445.0,0.0,917.0
6/2/2020,21250.0,3520.0,0.0,941.0
6/3/2020,22233.0,3589.0,0.0,981.0
6/4/2020,22753.0,3642.0,0.0,996.0
6/5/2020,24332.0,3712.0,0.0,1012.0
6/6/2020,25451.0,3777.0,0.0,1042.0
6/7/2020,26889.0,3847.0,0.0,1044.0
6/8/2020,27678.0,3911.0,0.0,1047.0
6/9/2020,28296.0,3959.0,0.0,1070.0
6/10/2020,29852.0,4000.0,0.0,1095.0
6/11/2020,31264.0,4041.0,0.0,1127.0
6/12/2020,32918.0,4079.0,0.0,1144.0
6/13/2020,34458.0,4115.0,0.0,1183.0
6/14/2020,35691.0,4148.0,0.0,1186.0
6/15/2020,36705.0,4182.0,0.0,1194.0
6/16/2020,39097.0,4209.0,0.0,1219.0
6/17/2020,40924.0,4224.0,0.0,1239.0
6/18/2020,43443.0,4241.0,0.0,1271.0
6/19/2020,46689.0,4246.0,0.0,1312.0
6/20/2020,49798.0,4252.0,0.0,1338.0
6/21/2020,52390.0,4255.0,0.0,1339.0
6/22/2020,54586.0,4255.0,0.0,1342.0
6/23/2020,58179.0,4255.0,0.0,1384.0
6/24/2020,59974.0,4313.0,0.0,1463.0
6/25/2020,63030.0,4406.0,0.0,1490.0
6/26/2020,66548.0,4514.0,0.0,1535.0
6/27/2020,70051.0,4595.0,0.0,1579.0
6/28/2020,73908.0,4617.0,0.0,1588.0
6/29/2020,74533.0,4634.0,0.0,1588.0
6/30/2020,79215.0,4736.0,0.0,1632.0
7/1/2020,84092.0,4837.0,0.0,1720.0
7/2/2020,87425.0,4916.0,0.0,1757.0
7/3/2020,91858.0,5018.0,0.0,1788.0
7/4/2020,94553.0,5068.0,0.0,1805.0
7/5/2020,98089.0,5161.0,0.0,1809.0
7/6/2020,101441.0,5188.0,0.0,1810.0
7/7/2020,105094.0,5272.0,0.0,1927.0
7/8/2020,108614.0,5387.0,0.0,1963.0
7/9/2020,112671.0,5526.0,0.0,2038.0
7/10/2020,116892.0,5659.0,0.0,2082.0
7/11/2020,119930.0,5750.0,0.0,2151.0
7/12/2020,122467.0,5795.0,0.0,2237.0
7/13/2020,123824.0,5839.0,0.0,2245.0
7/14/2020,128097.0,5942.0,0.0,2337.0
7/15/2020,131354.0,6103.0,0.0,2434.0
7/16/2020,134613.0,6296.0,0.0,2492.0
7/17/2020,138523.0,6402.0,0.0,2583.0
7/18/2020,141265.0,6567.0,0.0,2730.0
7/19/2020,143624.0,6632.0,0.0,2761.0
7/20/2020,145183.0,6698.0,0.0,2784.0
7/21/2020,148683.0,6894.0,0.0,2918.0
7/22/2020,150609.0,7047.0,0.0,2974.0
7/23/2020,152944.0,7236.0,0.0,3063.0
7/24/2020,156301.0,7461.0,0.0,3142.0
7/25/2020,160041.0,7627.0,0.0,3286.0
7/26/2020,162014.0,7706.0,0.0,3305.0
7/27/2020,163827.0,7751.0,0.0,3304.0
7/28/2020,165934.0,9394.0,0.0,3408.0
7/29/2020,168273.0,10060.0,0.0,3454.0
7/30/2020,170798.0,11172.0,0.0,3626.0
7/31/2020,174010.0,11260.0,0.0,3694.0
8/1/2020,177002.0,11346.0,0.0,3747.0
8/2/2020,178467.0,11371.0,0.0,3765.0
8/3/2020,179497.0,11400.0,0.0,3779.0
8/4/2020,180505.0,13294.0,0.0,3845.0
8/5/2020,182203.0,13559.0,0.0,3932.0
8/6/2020,183647.0,14068.0,0.0,4002.0
8/7/2020,185053.0,19241.0,0.0,4081.0
8/8/2020,186107.0,19244.0,0.0,4137.0
8/9/2020,186923.0,19268.0,0.0,4150.0
8/10/2020,187523.0,19277.0,0.0,4154.0
8/11/2020,188737.0,19292.0,0.0,4199.0
8/12/2020,189443.0,19821.0,0.0,4347.0
8/13/2020,190794.0,20503.0,0.0,4383.0
8/14/2020,191721.0,20515.0,0.0,4423.0
8/15/2020,192654.0,20795.0,0.0,4492.0
8/16/2020,193537.0,20755.0,0.0,4506.0
8/17/2020,194005.0,20756.0,0.0,4506.0
8/18/2020,194920.0,20878.0,0.0,4529.0
8/19/2020,195557.0,21020.0,0.0,4634.0
8/20/2020,196280.0,21143.0,0.0,4684.0
8/21/2020,196899.0,21210.0,0.0,4688.0
8/22/2020,197895.0,21271.0,0.0,4756.0
8/23/2020,198103.0,21241.0,0.0,4771.0
8/24/2020,198414.0,21219.0,0.0,4771.0
8/25/2020,199273.0,21365.0,0.0,4792.0
8/26/2020,199459.0,21376.0,0.0,4896.0
8/27/2020,200139.0,21426.0,0.0,4929.0
8/28/2020,200658.0,21428.0,0.0,4978.0
8/29/2020,201287.0,21433.0,0.0,5007.0
8/30/2020,201661.0,21421.0,0.0,5030.0
8/31/2020,201835.0,21405.0,0.0,5029.0
9/1/2020,202342.0,21405.0,0.0,5044.0
9/2/2020,202861.0,21449.0,0.0,5065.0
9/3/2020,203953.0,21474.0,0.0,5130.0
9/4/2020,204681.0,21498.0,0.0,5171.0
9/5/2020,205516.0,21520.0,0.0,5207.0
9/6/2020,205766.0,21527.0,0.0,5221.0
9/7/2020,205964.0,21525.0,0.0,5219.0
9/8/2020,206045.0,21522.0,0.0,5221.0
9/9/2020,206541.0,21593.0,0.0,5251.0
9/10/2020,207002.0,21611.0,0.0,5273.0
9/11/2020,207523.0,21747.0,0.0,5288.0
9/12/2020,208128.0,21773.0,0.0,5315.0
9/13/2020,208512.0,21773.0,0.0,5322.0
9/14/2020,208725.0,21774.0,0.0,5322.0
9/15/2020,209209.0,21800.0,0.0,5344.0
9/16/2020,209907.0,21825.0,0.0,5371.0
9/17/2020,211660.0,21821.0,0.0,5409.0
9/18/2020,212942.0,21865.0,0.0,5451.0
9/19/2020,213551.0,21882.0,0.0,5467.0
9/20/2020,214018.0,21876.0,0.0,5476.0
9/21/2020,214251.0,21878.0,0.0,5478.0
9/22/2020,214846.0,21900.0,0.0,5498.0
9/23/2020,215284.0,21925.0,0.0,5525.0
9/24/2020,215852.0,21942.0,0.0,5559.0
9/25/2020,216367.0,21972.0,0.0,5587.0
9/26/2020,216826.0,22005.0,0.0,5622.0
9/27/2020,217237.0,22015.0,0.0,5623.0
9/28/2020,217510.0,22019.0,0.0,5623.0
9/29/2020,218184.0,22047.0,0.0,5632.0
9/30/2020,218507.0,22119.0,0.0,5650.0
10/1/2020,219212.0,22226.0,0.0,5674.0
10/2/2020,219763.0,22240.0,0.0,5693.0
10/3/2020,220399.0,22280.0,0.0,5705.0
10/4/2020,220754.0,22294.0,0.0,5706.0
10/5/2020,221070.0,22303.0,0.0,5707.0
10/6/2020,221934.0,19987.0,0.0,5713.0
10/7/2020,222538.0,20050.0,0.0,5733.0
10/8/2020,223401.0,20171.0,0.0,5743.0
10/9/2020,224084.0,20199.0,0.0,5746.0
10/10/2020,224978.0,20229.0,0.0,5759.0
10/11/2020,225575.0,20253.0,0.0,5759.0
10/12/2020,226050.0,20257.0,0.0,5759.0
10/13/2020,226734.0,20312.0,0.0,5767.0
10/14/2020,227635.0,20366.0,0.0,5772.0
10/15/2020,228748.0,20462.0,0.0,5789.0
10/16/2020,229486.0,20491.0,0.0,5806.0
10/17/2020,230407.0,20618.0,0.0,5824.0
10/18/2020,231149.0,20640.0,0.0,5827.0
10/19/2020,231897.0,20648.0,0.0,5830.0
10/20/2020,232937.0,20719.0,0.0,5837.0
10/21/2020,233912.0,20820.0,0.0,5854.0
10/22/2020,234906.0,20938.0,0.0,5859.0
10/23/2020,235882.0,20967.0,0.0,5865.0
10/24/2020,236772.0,21043.0,0.0,5869.0
10/25/2020,238163.0,21086.0,0.0,5874.0
10/26/2020,238964.0,21097.0,0.0,5875.0
10/27/2020,240122.0,21172.0,0.0,5891.0
10/28/2020,241165.0,21247.0,0.0,5905.0
10/29/2020,242480.0,21260.0,0.0,5918.0
10/30/2020,244045.0,21424.0,0.0,5934.0
10/31/2020,245946.0,21492.0,0.0,5979.0
11/1/2020,247473.0,21558.0,0.0,5981.0
11/2/2020,248139.0,21573.0,0.0,5982.0
11/3/2020,249818.0,21626.0,0.0,6020.0
11/4/2020,250633.0,21786.0,0.0,6059.0
11/5/2020,252768.0,21831.0,0.0,6087.0
11/6/2020,254764.0,22018.0,0.0,6109.0
11/7/2020,257384.0,22170.0,0.0,6147.0
11/8/2020,259264.0,22202.0,0.0,6164.0
11/9/2020,259699.0,22211.0,0.0,6164.0
11/10/2020,263133.0,22428.0,0.0,6192.0
11/11/2020,265163.0,22494.0,0.0,6228.0
11/12/2020,266562.0,22576.0,0.0,6240.0
11/13/2020,269577.0,22820.0,0.0,6257.0
11/14/2020,273053.0,22937.0,0.0,6300.0
11/15/2020,275436.0,23049.0,0.0,6302.0
11/16/2020,276912.0,23122.0,0.0,6302.0
11/17/2020,279896.0,23243.0,0.0,6312.0
11/18/2020,283102.0,23473.0,0.0,6365.0
11/19/2020,287225.0,23871.0,0.0,6384.0
11/20/2020,291696.0,24052.0,0.0,6427.0
11/21/2020,295334.0,24181.0,0.0,6457.0
11/22/2020,299665.0,24412.0,0.0,6464.0
11/23/2020,302324.0,24461.0,0.0,6464.0
11/24/2020,306868.0,24666.0,0.0,6515.0
11/25/2020,310850.0,24952.0,0.0,6524.0
11/26/2020,314326.0,25163.0,0.0,6568.0
11/27/2020,318638.0,25296.0,0.0,6588.0
11/28/2020,322774.0,25348.0,0.0,6624.0
11/29/2020,325995.0,25568.0,0.0,6634.0
11/30/2020,326817.0,25786.0,0.0,6639.0
