Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,69.0,0.0,0.0,0.0
3/8/2020,88.0,0.0,0.0,0.0
3/9/2020,114.0,0.0,0.0,0.0
3/10/2020,133.0,0.0,0.0,0.0
3/11/2020,157.0,0.0,0.0,0.0
3/12/2020,202.0,0.0,0.0,4.0
3/13/2020,202.0,0.0,0.0,4.0
3/14/2020,252.0,0.0,0.0,5.0
3/15/2020,293.0,0.0,0.0,5.0
3/16/2020,335.0,0.0,0.0,6.0
3/17/2020,483.0,0.0,0.0,11.0
3/18/2020,611.0,0.0,0.0,13.0
3/19/2020,924.0,0.0,0.0,18.0
3/20/2020,1063.0,0.0,0.0,20.0
3/21/2020,1279.0,0.0,0.0,24.0
3/22/2020,1536.0,0.0,0.0,27.0
3/23/2020,1733.0,0.0,0.0,27.0
3/24/2020,2102.0,0.0,0.0,40.0
3/25/2020,2355.0,0.0,0.0,53.0
3/26/2020,3006.0,0.0,0.0,65.0
3/27/2020,3879.0,0.0,0.0,78.0
3/28/2020,4643.0,0.0,0.0,101.0
3/29/2020,5708.0,0.0,0.0,123.0
3/30/2020,6447.0,0.0,0.0,133.0
3/31/2020,7482.0,0.0,0.0,153.0
4/1/2020,8155.0,0.0,0.0,171.0
4/2/2020,9191.0,0.0,0.0,203.0
4/3/2020,10701.0,0.0,0.0,237.0
4/4/2020,12026.0,0.0,0.0,276.0
4/5/2020,13438.0,0.0,0.0,319.0
4/6/2020,14336.0,0.0,0.0,343.0
4/7/2020,15865.0,0.0,0.0,374.0
4/8/2020,16957.0,0.0,0.0,442.0
4/9/2020,18309.0,0.0,0.0,492.0
4/10/2020,19472.0,0.0,0.0,541.0
4/11/2020,20615.0,0.0,0.0,609.0
4/12/2020,21794.0,0.0,0.0,651.0
4/13/2020,22348.0,0.0,0.0,687.0
4/14/2020,23338.0,0.0,0.0,758.0
4/15/2020,24424.0,0.0,0.0,821.0
4/16/2020,26182.0,0.0,0.0,890.0
4/17/2020,27528.0,0.0,0.0,985.0
4/18/2020,28963.0,0.0,0.0,1072.0
4/19/2020,30333.0,0.0,0.0,1166.0
4/20/2020,30978.0,0.0,0.0,1208.0
4/21/2020,33261.0,0.0,0.0,1268.0
4/22/2020,35396.0,0.0,0.0,1354.0
4/23/2020,37369.0,0.0,0.0,1469.0
4/24/2020,39254.0,0.0,0.0,1562.0
4/25/2020,41137.0,0.0,0.0,1651.0
4/26/2020,42164.0,0.0,0.0,1710.0
4/27/2020,43464.0,0.0,0.0,1755.0
4/28/2020,45031.0,0.0,0.0,1809.0
4/29/2020,46500.0,0.0,0.0,1887.0
