Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,8.0,0.0,0.0,0.0
3/8/2020,9.0,0.0,0.0,0.0
3/9/2020,12.0,0.0,0.0,0.0
3/10/2020,28.0,0.0,0.0,0.0
3/11/2020,45.0,0.0,0.0,0.0
3/12/2020,72.0,0.0,0.0,0.0
3/13/2020,101.0,0.0,0.0,1.0
3/14/2020,131.0,0.0,0.0,1.0
3/15/2020,131.0,0.0,0.0,1.0
3/16/2020,160.0,0.0,0.0,1.0
3/17/2020,183.0,20.0,0.0,2.0
3/18/2020,216.0,26.0,0.0,2.0
3/19/2020,277.0,42.0,0.0,2.0
3/20/2020,363.0,44.0,0.0,4.0
3/21/2020,475.0,49.0,0.0,5.0
3/22/2020,591.0,58.0,0.0,6.0
3/23/2020,720.0,72.0,0.0,7.0
3/24/2020,912.0,84.0,0.0,11.0
3/25/2020,1086.0,148.0,0.0,19.0
3/26/2020,1430.0,184.0,0.0,24.0
3/27/2020,1734.0,239.0,0.0,31.0
3/28/2020,2061.0,274.0,0.0,44.0
3/29/2020,2307.0,326.0,0.0,47.0
3/30/2020,2627.0,414.0,0.0,51.0
3/31/2020,2966.0,509.0,0.0,69.0
4/1/2020,3342.0,620.0,0.0,80.0
4/2/2020,3728.0,710.0,0.0,97.0
4/3/2020,4173.0,823.0,0.0,111.0
4/4/2020,4565.0,875.0,0.0,126.0
4/5/2020,4950.0,924.0,0.0,140.0
4/6/2020,5172.0,994.0,0.0,150.0
4/7/2020,5429.0,1079.0,0.0,179.0
4/8/2020,5655.0,1162.0,0.0,193.0
4/9/2020,6202.0,1221.0,0.0,226.0
4/10/2020,6510.0,1312.0,0.0,250.0
4/11/2020,6893.0,1376.0,0.0,274.0
4/12/2020,7303.0,1417.0,0.0,290.0
4/13/2020,7691.0,1493.0,0.0,308.0
4/14/2020,7941.0,1556.0,0.0,329.0
4/15/2020,8280.0,1636.0,0.0,357.0
4/16/2020,8675.0,1693.0,0.0,374.0
4/17/2020,9047.0,1755.0,0.0,391.0
4/18/2020,9433.0,1797.0,0.0,411.0
4/19/2020,9730.0,1813.0,0.0,422.0
4/20/2020,10106.0,1880.0,0.0,449.0
4/21/2020,10447.0,2003.0,0.0,486.0
4/22/2020,10878.0,2123.0,0.0,508.0
4/23/2020,11262.0,2237.0,0.0,552.0
4/24/2020,12255.0,2366.0,0.0,674.0
4/25/2020,12968.0,2410.0,0.0,672.0
4/26/2020,13441.0,2438.0,0.0,680.0
4/27/2020,13879.0,2485.0,0.0,706.0
4/28/2020,14316.0,2571.0,0.0,736.0
4/29/2020,14758.0,2621.0,0.0,766.0
4/30/2020,15284.0,2697.0,0.0,777.0
5/1/2020,15768.0,2747.0,0.0,820.0
5/2/2020,16225.0,2793.0,0.0,832.0
5/3/2020,16635.0,2799.0,0.0,842.0
5/4/2020,16907.0,2838.0,0.0,851.0
5/5/2020,17364.0,2919.0,0.0,903.0
5/6/2020,17830.0,2986.0,0.0,921.0
5/7/2020,18371.0,3557.0,0.0,944.0
5/8/2020,18827.0,3600.0,0.0,960.0
5/9/2020,19375.0,3623.0,0.0,967.0
5/10/2020,19703.0,3631.0,0.0,971.0
5/11/2020,19879.0,3663.0,0.0,987.0
5/12/2020,20157.0,3695.0,0.0,1009.0
5/13/2020,20475.0,3735.0,0.0,1062.0
5/14/2020,20838.0,3789.0,0.0,1091.0
5/15/2020,21232.0,3842.0,0.0,1150.0
5/16/2020,21633.0,3866.0,0.0,1192.0
5/17/2020,21938.0,3872.0,0.0,1215.0
5/18/2020,22202.0,3899.0,0.0,1224.0
5/19/2020,22482.0,3955.0,0.0,1257.0
5/20/2020,22797.0,3990.0,0.0,1299.0
5/21/2020,23191.0,4037.0,0.0,1310.0
5/22/2020,23487.0,4082.0,0.0,1324.0
5/23/2020,23964.0,4105.0,0.0,1327.0
5/24/2020,24174.0,4119.0,0.0,1332.0
5/25/2020,24269.0,4128.0,0.0,1333.0
5/26/2020,24565.0,4160.0,0.0,1352.0
5/27/2020,24767.0,4196.0,0.0,1392.0
5/28/2020,25121.0,4254.0,0.0,1421.0
5/29/2020,25613.0,4307.0,0.0,1436.0
5/30/2020,26098.0,4333.0,0.0,1443.0
5/31/2020,26378.0,4347.0,0.0,1445.0
6/1/2020,26577.0,4372.0,0.0,1458.0
6/2/2020,26788.0,4419.0,0.0,1474.0
6/3/2020,27060.0,4443.0,0.0,1494.0
6/4/2020,27360.0,4460.0,0.0,1512.0
6/5/2020,27615.0,4472.0,0.0,1524.0
6/6/2020,27848.0,4480.0,0.0,1527.0
6/7/2020,28001.0,4485.0,0.0,1527.0
6/8/2020,28183.0,4859.0,0.0,1543.0
6/9/2020,28347.0,5025.0,0.0,1553.0
6/10/2020,28499.0,5035.0,0.0,1573.0
6/11/2020,28647.0,5057.0,0.0,1583.0
6/12/2020,28822.0,5234.0,0.0,1595.0
6/13/2020,29017.0,5244.0,0.0,1598.0
6/14/2020,29130.0,5244.0,0.0,1599.0
6/15/2020,29299.0,5269.0,0.0,1605.0
6/16/2020,29442.0,5272.0,0.0,1617.0
6/17/2020,29673.0,5294.0,0.0,1631.0
6/18/2020,29901.0,5308.0,0.0,1638.0
6/19/2020,30187.0,5318.0,0.0,1643.0
6/20/2020,30349.0,5323.0,0.0,1647.0
6/21/2020,30539.0,5327.0,0.0,1647.0
6/22/2020,30705.0,5343.0,0.0,1651.0
6/23/2020,30893.0,5366.0,0.0,1665.0
6/24/2020,31155.0,5375.0,0.0,1667.0
6/25/2020,31479.0,5386.0,0.0,1669.0
6/26/2020,31796.0,5392.0,0.0,1673.0
6/27/2020,32022.0,5399.0,0.0,1674.0
6/28/2020,32307.0,5401.0,0.0,1676.0
6/29/2020,32511.0,5442.0,0.0,1682.0
6/30/2020,32715.0,5489.0,0.0,1690.0
7/1/2020,33029.0,5513.0,0.0,1697.0
7/2/2020,33352.0,5527.0,0.0,1701.0
7/3/2020,33619.0,5537.0,0.0,1701.0
7/4/2020,33866.0,5550.0,0.0,1701.0
7/5/2020,34065.0,5565.0,0.0,1701.0
7/6/2020,34257.0,5591.0,0.0,1691.0
7/7/2020,34664.0,5741.0,0.0,1696.0
7/8/2020,35116.0,5820.0,0.0,1704.0
7/9/2020,35525.0,5831.0,0.0,1706.0
7/10/2020,36191.0,5864.0,0.0,1724.0
7/11/2020,36591.0,5885.0,0.0,1725.0
7/12/2020,36913.0,5895.0,0.0,1725.0
7/13/2020,37242.0,5941.0,0.0,1727.0
7/14/2020,37686.0,5963.0,0.0,1738.0
7/15/2020,38155.0,5950.0,0.0,1744.0
7/16/2020,38726.0,5966.0,0.0,1745.0
7/17/2020,39344.0,5994.0,0.0,1751.0
7/18/2020,39788.0,6019.0,0.0,1752.0
7/19/2020,40142.0,6032.0,0.0,1752.0
7/20/2020,40566.0,6057.0,0.0,1758.0
7/21/2020,41059.0,6110.0,0.0,1763.0
7/22/2020,41698.0,6133.0,0.0,1771.0
7/23/2020,42314.0,6149.0,0.0,1786.0
7/24/2020,42980.0,6227.0,0.0,1790.0
7/25/2020,43789.0,6261.0,0.0,1794.0
7/26/2020,44336.0,6268.0,0.0,1794.0
7/27/2020,44565.0,6271.0,0.0,1799.0
7/28/2020,45314.0,6319.0,0.0,1807.0
7/29/2020,45796.0,6398.0,0.0,1822.0
7/30/2020,46204.0,6413.0,0.0,1822.0
7/31/2020,46809.0,6441.0,0.0,1838.0
8/1/2020,47267.0,6465.0,0.0,1844.0
8/2/2020,47716.0,6474.0,0.0,1844.0
8/3/2020,47968.0,6487.0,0.0,1844.0
8/4/2020,48394.0,6516.0,0.0,1849.0
8/5/2020,48988.0,6536.0,0.0,1851.0
8/6/2020,49436.0,6572.0,0.0,1852.0
8/7/2020,49893.0,6582.0,0.0,1857.0
8/8/2020,50324.0,6602.0,0.0,1857.0
8/9/2020,50660.0,6616.0,0.0,1858.0
8/10/2020,51039.0,6627.0,0.0,1863.0
8/11/2020,51441.0,6679.0,0.0,1875.0
8/12/2020,51756.0,6685.0,0.0,1875.0
8/13/2020,52219.0,6700.0,0.0,1882.0
