Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,1.0,0.0,0.0,0.0
3/12/2020,4.0,0.0,0.0,0.0
3/13/2020,4.0,0.0,0.0,0.0
3/14/2020,6.0,0.0,0.0,0.0
3/15/2020,6.0,0.0,0.0,0.0
3/16/2020,8.0,0.0,0.0,0.0
3/17/2020,16.0,0.0,0.0,0.0
3/18/2020,25.0,0.0,0.0,0.0
3/19/2020,30.0,0.0,0.0,0.0
3/20/2020,38.0,0.0,0.0,0.0
3/21/2020,45.0,0.0,0.0,0.0
3/22/2020,56.0,0.0,0.0,0.0
3/23/2020,68.0,0.0,0.0,0.0
3/24/2020,91.0,0.0,0.0,1.0
3/25/2020,115.0,0.0,0.0,2.0
3/26/2020,130.0,0.0,4.0,3.0
3/27/2020,163.0,0.0,9.0,5.0
3/28/2020,214.0,0.0,9.0,9.0
3/29/2020,232.0,0.0,9.0,10.0
3/30/2020,264.0,0.0,9.0,11.0
3/31/2020,319.0,0.0,22.0,12.0
4/1/2020,368.0,0.0,49.0,13.0
4/2/2020,393.0,0.0,49.0,16.0
4/3/2020,450.0,0.0,71.0,17.0
4/4/2020,593.0,0.0,71.0,17.0
4/5/2020,673.0,0.0,71.0,19.0
4/6/2020,673.0,0.0,71.0,24.0
4/7/2020,928.0,0.0,144.0,28.0
4/8/2020,928.0,0.0,144.0,32.0
4/9/2020,1207.0,0.0,173.0,34.0
4/10/2020,1326.0,0.0,177.0,36.0
4/11/2020,1479.0,0.0,191.0,43.0
4/12/2020,1479.0,0.0,191.0,48.0
4/13/2020,1625.0,0.0,213.0,53.0
4/14/2020,1761.0,0.0,277.0,60.0
4/15/2020,2014.0,0.0,354.0,67.0
4/16/2020,2075.0,0.0,378.0,70.0
4/17/2020,2323.0,0.0,423.0,76.0
4/18/2020,2323.0,0.0,423.0,86.0
4/19/2020,2538.0,0.0,466.0,90.0
4/20/2020,2745.0,0.0,495.0,99.0
4/21/2020,2931.0,0.0,565.0,104.0
4/22/2020,3200.0,0.0,599.0,117.0
4/23/2020,3308.0,0.0,643.0,131.0
4/24/2020,3442.0,0.0,703.0,147.0
4/25/2020,3576.0,0.0,809.0,155.0
4/26/2020,4034.0,0.0,911.0,168.0
4/27/2020,4162.0,0.0,996.0,181.0
4/28/2020,4575.0,0.0,1096.0,192.0
4/29/2020,4655.0,0.0,1173.0,204.0
4/30/2020,4734.0,0.0,1275.0,210.0
5/1/2020,4918.0,0.0,1403.0,222.0
5/2/2020,5038.0,0.0,1546.0,235.0
5/3/2020,5208.0,0.0,1640.0,246.0
5/4/2020,5288.0,0.0,1716.0,255.0
5/5/2020,5371.0,0.0,1847.0,266.0
5/6/2020,5778.0,0.0,2008.0,269.0
5/7/2020,5939.0,0.0,2110.0,285.0
5/8/2020,6111.0,0.0,2288.0,297.0
5/9/2020,6277.0,0.0,2450.0,301.0
5/10/2020,6447.0,0.0,2537.0,312.0
5/11/2020,6565.0,0.0,2619.0,324.0
5/12/2020,6741.0,0.0,2802.0,334.0
5/13/2020,6952.0,0.0,2942.0,351.0
5/14/2020,7223.0,0.0,3080.0,362.0
5/15/2020,7373.0,0.0,3210.0,373.0
5/16/2020,7547.0,0.0,3367.0,383.0
5/17/2020,7670.0,0.0,3478.0,392.0
5/18/2020,7869.0,0.0,3545.0,399.0
5/19/2020,8037.0,0.0,3760.0,408.0
5/20/2020,8194.0,0.0,3965.0,414.0
5/21/2020,8386.0,0.0,4130.0,417.0
5/22/2020,8529.0,0.0,4296.0,420.0
5/23/2020,8690.0,0.0,4454.0,425.0
5/24/2020,8809.0,0.0,4598.0,431.0
5/25/2020,8965.0,0.0,4693.0,436.0
5/26/2020,9066.0,0.0,4802.0,444.0
5/27/2020,9096.0,0.0,4909.0,453.0
