Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,8.0,0.0,0.0,0.0
3/8/2020,12.0,0.0,0.0,0.0
3/9/2020,13.0,0.0,0.0,0.0
3/10/2020,18.0,0.0,0.0,0.0
3/11/2020,20.0,0.0,0.0,2.0
3/12/2020,26.0,0.0,0.0,2.0
3/13/2020,31.0,0.0,0.0,2.0
3/14/2020,51.0,0.0,0.0,3.0
3/15/2020,91.0,0.0,0.0,4.0
3/16/2020,122.0,0.0,0.0,4.0
3/17/2020,149.0,0.0,0.0,6.0
3/18/2020,211.0,0.0,0.0,7.0
3/19/2020,310.0,0.0,0.0,8.0
3/20/2020,386.0,0.0,0.0,10.0
3/21/2020,528.0,158.0,0.0,12.0
3/22/2020,731.0,185.0,0.0,13.0
3/23/2020,1029.0,217.0,0.0,14.0
3/24/2020,1205.0,259.0,0.0,18.0
3/25/2020,1488.0,316.0,0.0,22.0
3/26/2020,1985.0,406.0,0.0,28.0
3/27/2020,2520.0,456.0,0.0,34.0
3/28/2020,3179.0,526.0,0.0,54.0
3/29/2020,3884.0,594.0,0.0,56.0
3/30/2020,4760.0,652.0,0.0,63.0
3/31/2020,5612.0,823.0,0.0,77.0
4/1/2020,6516.0,949.0,0.0,87.0
4/2/2020,7548.0,1123.0,0.0,128.0
4/3/2020,8816.0,1287.0,0.0,163.0
4/4/2020,10097.0,1462.0,0.0,191.0
4/5/2020,11245.0,1572.0,0.0,218.0
4/6/2020,12008.0,1682.0,0.0,236.0
4/7/2020,13167.0,1999.0,0.0,296.0
4/8/2020,14173.0,2062.0,0.0,309.0
4/9/2020,15219.0,2268.0,0.0,354.0
4/10/2020,16252.0,2487.0,0.0,390.0
4/11/2020,17340.0,2661.0,0.0,438.0
4/12/2020,18404.0,2772.0,0.0,465.0
4/13/2020,19213.0,2833.0,0.0,483.0
4/14/2020,20135.0,3060.0,0.0,537.0
4/15/2020,20727.0,3344.0,0.0,609.0
4/16/2020,21624.0,3460.0,0.0,646.0
4/17/2020,22823.0,3665.0,0.0,699.0
4/18/2020,23906.0,3842.0,0.0,754.0
4/19/2020,24647.0,3930.0,0.0,781.0
4/20/2020,25360.0,4010.0,0.0,806.0
4/21/2020,26106.0,4235.0,0.0,856.0
4/22/2020,26965.0,4469.0,0.0,910.0
4/23/2020,27662.0,4693.0,0.0,979.0
4/24/2020,28876.0,4888.0,0.0,1031.0
4/25/2020,29610.0,5045.0,0.0,1075.0
4/26/2020,30405.0,5155.0,0.0,1094.0
4/27/2020,30924.0,5211.0,0.0,1101.0
4/28/2020,31672.0,5266.0,0.0,1154.0
4/29/2020,32015.0,5624.0,0.0,1240.0
4/30/2020,32529.0,5795.0,0.0,1290.0
5/1/2020,33506.0,5795.0,0.0,1314.0
5/2/2020,34209.0,5945.0,0.0,1388.0
5/3/2020,34841.0,6244.0,0.0,1403.0
5/4/2020,35609.0,6329.0,0.0,1423.0
5/5/2020,36183.0,6546.0,0.0,1536.0
5/6/2020,36764.0,6776.0,0.0,1605.0
5/7/2020,37389.0,6990.0,0.0,1667.0
5/8/2020,37733.0,7157.0,0.0,1738.0
5/9/2020,38498.0,7325.0,0.0,1785.0
5/10/2020,39179.0,7404.0,0.0,1791.0
5/11/2020,39562.0,7458.0,0.0,1805.0
5/12/2020,40168.0,7654.0,0.0,1849.0
5/13/2020,40967.0,7835.0,0.0,1898.0
5/14/2020,41759.0,7993.0,0.0,1948.0
5/15/2020,42545.0,7993.0,0.0,1991.0
5/16/2020,43025.0,8393.0,0.0,2040.0
5/17/2020,44161.0,8478.0,0.0,2049.0
5/18/2020,44815.0,8553.0,0.0,2073.0
5/19/2020,45427.0,8744.0,0.0,2129.0
