Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,6.0,0.0,0.0,0.0
3/8/2020,7.0,0.0,0.0,0.0
3/9/2020,12.0,0.0,0.0,0.0
3/10/2020,17.0,0.0,0.0,0.0
3/11/2020,22.0,0.0,0.0,0.0
3/12/2020,31.0,0.0,0.0,0.0
3/13/2020,42.0,0.0,0.0,1.0
3/14/2020,66.0,0.0,0.0,1.0
3/15/2020,99.0,0.0,0.0,1.0
3/16/2020,121.0,0.0,0.0,1.0
3/17/2020,146.0,0.0,0.0,1.0
3/18/2020,197.0,0.0,0.0,1.0
3/19/2020,287.0,0.0,0.0,10.0
3/20/2020,420.0,0.0,0.0,13.0
3/21/2020,507.0,0.0,0.0,14.0
3/22/2020,600.0,0.0,0.0,23.0
3/23/2020,772.0,0.0,0.0,25.0
3/24/2020,1026.0,0.0,0.0,32.0
3/25/2020,1247.0,394.0,0.0,40.0
3/26/2020,1525.0,473.0,0.0,48.0
3/27/2020,2001.0,566.0,0.0,64.0
3/28/2020,2366.0,617.0,0.0,69.0
3/29/2020,2651.0,666.0,0.0,80.0
3/30/2020,2809.0,707.0,0.0,87.0
3/31/2020,3929.0,833.0,0.0,111.0
4/1/2020,4638.0,952.0,0.0,139.0
4/2/2020,5348.0,1056.0,0.0,163.0
4/3/2020,5831.0,1158.0,0.0,184.0
4/4/2020,6160.0,1239.0,0.0,201.0
4/5/2020,6647.0,1283.0,0.0,211.0
4/6/2020,7314.0,1332.0,0.0,229.0
4/7/2020,8818.0,1774.0,0.0,329.0
4/8/2020,9901.0,1993.0,0.0,362.0
4/9/2020,10566.0,2159.0,0.0,379.0
4/10/2020,11483.0,2351.0,0.0,416.0
4/11/2020,12159.0,2479.0,0.0,428.0
4/12/2020,12452.0,2505.0,0.0,433.0
4/13/2020,13315.0,2589.0,0.0,464.0
4/14/2020,14223.0,2769.0,0.0,501.0
4/15/2020,14987.0,2922.0,0.0,552.0
4/16/2020,15669.0,3108.0,0.0,587.0
4/17/2020,17194.0,3324.0,0.0,650.0
4/18/2020,17669.0,3420.0,0.0,673.0
4/19/2020,18301.0,3464.0,0.0,687.0
4/20/2020,18947.0,3550.0,0.0,733.0
4/21/2020,19881.0,3779.0,0.0,799.0
4/22/2020,20740.0,3959.0,0.0,836.0
4/23/2020,21512.0,4069.0,0.0,872.0
4/24/2020,22147.0,4221.0,0.0,892.0
4/25/2020,22695.0,4326.0,0.0,904.0
