Dates,Infected,Hospitalized,Recovered,Deaths
3/16/2020,3.0,0.0,0.0,0.0
3/17/2020,5.0,0.0,0.0,0.0
3/18/2020,8.0,0.0,0.0,0.0
3/19/2020,12.0,0.0,0.0,0.0
3/20/2020,14.0,0.0,0.0,0.0
3/21/2020,15.0,0.0,0.0,0.0
3/22/2020,27.0,0.0,0.0,1.0
3/23/2020,29.0,0.0,0.0,1.0
3/24/2020,32.0,0.0,0.0,1.0
3/25/2020,37.0,0.0,0.0,1.0
3/26/2020,45.0,0.0,0.0,1.0
3/27/2020,51.0,0.0,0.0,1.0
3/28/2020,55.0,0.0,7.0,1.0
3/29/2020,56.0,0.0,7.0,1.0
3/30/2020,58.0,0.0,7.0,1.0
3/31/2020,69.0,0.0,7.0,2.0
4/1/2020,77.0,0.0,9.0,3.0
4/2/2020,82.0,0.0,12.0,3.0
4/3/2020,84.0,0.0,14.0,4.0
4/4/2020,93.0,0.0,20.0,4.0
4/5/2020,112.0,0.0,23.0,4.0
4/6/2020,113.0,0.0,25.0,4.0
4/7/2020,121.0,0.0,27.0,4.0
4/8/2020,125.0,0.0,31.0,4.0
4/9/2020,128.0,0.0,33.0,4.0
4/10/2020,130.0,0.0,41.0,4.0
4/11/2020,133.0,0.0,58.0,5.0
4/12/2020,133.0,0.0,58.0,5.0
4/13/2020,133.0,0.0,58.0,5.0
4/14/2020,133.0,0.0,66.0,5.0
4/15/2020,133.0,0.0,73.0,5.0
4/16/2020,133.0,0.0,86.0,5.0
4/17/2020,133.0,0.0,97.0,5.0
4/18/2020,133.0,0.0,110.0,5.0
4/19/2020,133.0,0.0,112.0,5.0
4/20/2020,133.0,0.0,112.0,5.0
4/21/2020,133.0,0.0,114.0,5.0
4/22/2020,134.0,0.0,119.0,5.0
4/23/2020,138.0,0.0,126.0,5.0
4/24/2020,140.0,0.0,126.0,5.0
4/25/2020,141.0,0.0,128.0,5.0
4/26/2020,141.0,0.0,128.0,5.0
4/27/2020,142.0,0.0,128.0,5.0
4/28/2020,144.0,0.0,129.0,5.0
4/29/2020,145.0,0.0,130.0,5.0
4/30/2020,146.0,0.0,131.0,5.0
5/1/2020,146.0,0.0,131.0,5.0
5/2/2020,148.0,0.0,131.0,5.0
5/3/2020,150.0,0.0,126.0,5.0
5/4/2020,149.0,0.0,125.0,5.0
5/5/2020,149.0,0.0,124.0,5.0
5/6/2020,151.0,0.0,123.0,5.0
5/7/2020,151.0,0.0,123.0,5.0
5/8/2020,151.0,0.0,122.0,5.0
5/9/2020,151.0,0.0,124.0,5.0
5/10/2020,151.0,0.0,124.0,5.0
5/11/2020,151.0,0.0,124.0,5.0
5/12/2020,152.0,0.0,124.0,5.0
5/13/2020,152.0,0.0,124.0,5.0
5/14/2020,153.0,0.0,124.0,5.0
5/15/2020,154.0,0.0,124.0,5.0
5/16/2020,154.0,0.0,126.0,5.0
5/17/2020,154.0,0.0,126.0,5.0
5/18/2020,154.0,0.0,126.0,5.0
5/19/2020,154.0,0.0,126.0,5.0
5/20/2020,165.0,0.0,125.0,5.0
5/21/2020,165.0,0.0,125.0,5.0
5/22/2020,165.0,0.0,125.0,5.0
5/23/2020,165.0,0.0,134.0,5.0
5/24/2020,166.0,0.0,138.0,5.0
5/25/2020,166.0,0.0,138.0,5.0
5/26/2020,169.0,0.0,139.0,5.0
5/27/2020,170.0,0.0,143.0,5.0
5/28/2020,172.0,0.0,143.0,5.0
5/29/2020,172.0,0.0,144.0,5.0
5/30/2020,173.0,0.0,144.0,5.0
5/31/2020,173.0,0.0,144.0,5.0
6/1/2020,175.0,0.0,145.0,5.0
6/2/2020,177.0,0.0,148.0,5.0
6/3/2020,178.0,0.0,151.0,5.0
6/4/2020,179.0,0.0,162.0,5.0
6/5/2020,179.0,0.0,162.0,5.0
6/6/2020,179.0,0.0,162.0,5.0
6/7/2020,179.0,0.0,162.0,5.0
6/8/2020,179.0,0.0,163.0,5.0
6/9/2020,180.0,0.0,163.0,5.0
6/10/2020,182.0,0.0,164.0,5.0
6/11/2020,183.0,0.0,168.0,5.0
6/12/2020,184.0,0.0,168.0,5.0
6/13/2020,185.0,0.0,168.0,5.0
6/14/2020,185.0,0.0,168.0,5.0
6/15/2020,185.0,0.0,169.0,5.0
6/16/2020,186.0,0.0,169.0,5.0
6/17/2020,188.0,0.0,170.0,5.0
6/18/2020,193.0,0.0,170.0,5.0
6/19/2020,200.0,0.0,173.0,5.0
6/20/2020,222.0,0.0,173.0,5.0
6/21/2020,222.0,0.0,173.0,5.0
6/22/2020,224.0,0.0,173.0,5.0
6/23/2020,225.0,0.0,174.0,5.0
6/24/2020,231.0,0.0,174.0,5.0
6/25/2020,245.0,0.0,174.0,5.0
6/26/2020,248.0,0.0,179.0,5.0
6/27/2020,248.0,0.0,179.0,5.0
6/28/2020,248.0,0.0,179.0,5.0
6/29/2020,255.0,0.0,179.0,5.0
6/30/2020,259.0,0.0,179.0,5.0
7/1/2020,267.0,0.0,179.0,5.0
7/2/2020,280.0,0.0,179.0,5.0
7/3/2020,286.0,0.0,179.0,5.0
7/4/2020,288.0,0.0,179.0,5.0
7/5/2020,288.0,0.0,179.0,5.0
7/6/2020,301.0,0.0,179.0,5.0
7/7/2020,303.0,0.0,184.0,5.0
7/8/2020,307.0,0.0,202.0,5.0
7/9/2020,309.0,0.0,202.0,5.0
7/10/2020,310.0,0.0,202.0,5.0
7/11/2020,312.0,0.0,202.0,5.0
7/12/2020,312.0,0.0,202.0,5.0
7/13/2020,312.0,0.0,202.0,5.0
7/14/2020,312.0,0.0,210.0,5.0
7/15/2020,313.0,0.0,213.0,5.0
7/16/2020,314.0,0.0,214.0,5.0
7/17/2020,314.0,0.0,214.0,5.0
7/18/2020,315.0,0.0,222.0,5.0
7/19/2020,315.0,0.0,222.0,5.0
7/20/2020,319.0,0.0,235.0,5.0
7/21/2020,327.0,0.0,235.0,5.0
7/22/2020,330.0,0.0,242.0,5.0
7/23/2020,332.0,0.0,244.0,5.0
7/24/2020,337.0,0.0,244.0,5.0
7/25/2020,337.0,0.0,244.0,5.0
7/26/2020,337.0,0.0,244.0,5.0
7/27/2020,346.0,0.0,291.0,5.0
7/28/2020,349.0,0.0,291.0,5.0
7/29/2020,351.0,0.0,297.0,5.0
7/30/2020,354.0,0.0,297.0,5.0
7/31/2020,356.0,0.0,304.0,5.0
8/1/2020,367.0,0.0,304.0,5.0
8/2/2020,367.0,0.0,304.0,5.0
8/3/2020,368.0,0.0,305.0,5.0
8/4/2020,375.0,0.0,318.0,5.0
8/5/2020,389.0,0.0,319.0,5.0
8/6/2020,397.0,0.0,321.0,5.0
8/7/2020,411.0,0.0,321.0,5.0
8/8/2020,412.0,0.0,321.0,5.0
8/9/2020,412.0,0.0,321.0,5.0
8/10/2020,418.0,0.0,325.0,5.0
8/11/2020,434.0,0.0,325.0,5.0
8/12/2020,449.0,0.0,341.0,5.0
8/13/2020,477.0,0.0,343.0,5.0
8/14/2020,502.0,0.0,345.0,5.0
8/15/2020,502.0,0.0,345.0,5.0
8/16/2020,516.0,0.0,345.0,5.0
8/17/2020,558.0,0.0,352.0,5.0
8/18/2020,577.0,0.0,353.0,5.0
8/19/2020,599.0,0.0,363.0,5.0
8/20/2020,704.0,0.0,381.0,6.0
8/21/2020,767.0,0.0,394.0,7.0
8/22/2020,767.0,0.0,394.0,7.0
8/23/2020,820.0,0.0,394.0,7.0
8/24/2020,907.0,0.0,428.0,7.0
8/25/2020,984.0,0.0,429.0,7.0
8/26/2020,1120.0,0.0,435.0,9.0
8/27/2020,1232.0,0.0,456.0,10.0
8/28/2020,1287.0,0.0,488.0,10.0
8/29/2020,1347.0,0.0,488.0,10.0
8/30/2020,1347.0,0.0,488.0,10.0
8/31/2020,1395.0,0.0,533.0,10.0
9/1/2020,1447.0,0.0,568.0,13.0
9/2/2020,1494.0,0.0,653.0,13.0
9/3/2020,1560.0,0.0,716.0,13.0
9/4/2020,1619.0,0.0,744.0,14.0
9/5/2020,1671.0,0.0,744.0,15.0
9/6/2020,1671.0,0.0,744.0,16.0
9/7/2020,1671.0,0.0,744.0,18.0
9/8/2020,1713.0,0.0,951.0,19.0
9/9/2020,1758.0,0.0,1042.0,21.0
9/10/2020,1846.0,0.0,1081.0,21.0
9/11/2020,1863.0,0.0,1118.0,23.0
9/12/2020,1891.0,0.0,1118.0,25.0
9/13/2020,1891.0,0.0,1118.0,26.0
9/14/2020,1927.0,0.0,1274.0,26.0
9/15/2020,1966.0,0.0,1312.0,28.0
9/16/2020,2013.0,0.0,1406.0,29.0
9/17/2020,2045.0,0.0,1427.0,31.0
9/18/2020,2074.0,0.0,1450.0,33.0
9/19/2020,2117.0,0.0,1450.0,34.0
9/20/2020,2117.0,0.0,1450.0,34.0
9/21/2020,2147.0,0.0,1505.0,35.0
9/22/2020,2190.0,0.0,1507.0,37.0
9/23/2020,2235.0,0.0,1543.0,37.0
9/24/2020,2263.0,0.0,1568.0,38.0
9/25/2020,2286.0,0.0,1668.0,41.0
9/26/2020,2354.0,0.0,1668.0,43.0
9/27/2020,2354.0,0.0,1668.0,43.0
