Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,2.0,0.0,0.0,0.0
3/10/2020,2.0,0.0,0.0,0.0
3/11/2020,2.0,0.0,0.0,0.0
3/12/2020,2.0,0.0,0.0,0.0
3/13/2020,2.0,0.0,0.0,0.0
3/14/2020,2.0,0.0,0.0,0.0
3/15/2020,2.0,0.0,0.0,0.0
3/16/2020,7.0,0.0,0.0,0.0
3/17/2020,10.0,0.0,0.0,0.0
3/18/2020,14.0,0.0,0.0,0.0
3/19/2020,16.0,0.0,0.0,0.0
3/20/2020,26.0,0.0,0.0,0.0
3/21/2020,37.0,0.0,0.0,0.0
3/22/2020,48.0,0.0,0.0,0.0
3/23/2020,56.0,0.0,0.0,0.0
3/24/2020,77.0,4.0,0.0,0.0
3/25/2020,90.0,6.0,0.0,0.0
3/26/2020,95.0,5.0,0.0,0.0
3/27/2020,106.0,7.0,0.0,0.0
3/28/2020,120.0,8.0,0.0,0.0
3/29/2020,151.0,12.0,0.0,0.0
3/30/2020,175.0,12.0,0.0,0.0
3/31/2020,204.0,12.0,49.0,0.0
4/1/2020,208.0,13.0,58.0,1.0
4/2/2020,258.0,15.0,69.0,1.0
4/3/2020,285.0,15.0,72.0,2.0
4/4/2020,319.0,18.0,78.0,3.0
4/5/2020,351.0,19.0,82.0,4.0
4/6/2020,371.0,21.0,85.0,4.0
4/7/2020,387.0,26.0,89.0,5.0
4/8/2020,410.0,42.0,113.0,5.0
4/9/2020,435.0,42.0,113.0,5.0
4/10/2020,442.0,42.0,251.0,6.0
4/11/2020,465.0,43.0,284.0,8.0
4/12/2020,486.0,44.0,300.0,8.0
4/13/2020,499.0,44.0,310.0,9.0
4/14/2020,504.0,44.0,315.0,9.0
4/15/2020,517.0,45.0,333.0,9.0
4/16/2020,530.0,45.0,359.0,9.0
4/17/2020,541.0,45.0,374.0,9.0
4/18/2020,553.0,48.0,390.0,9.0
4/19/2020,574.0,51.0,410.0,9.0
4/20/2020,580.0,52.0,414.0,10.0
4/21/2020,584.0,55.0,423.0,10.0
4/22/2020,586.0,56.0,437.0,12.0
4/23/2020,592.0,63.0,444.0,12.0
4/24/2020,596.0,63.0,455.0,12.0
4/25/2020,601.0,67.0,463.0,13.0
4/26/2020,603.0,68.0,482.0,14.0
4/27/2020,606.0,68.0,488.0,14.0
4/28/2020,607.0,68.0,493.0,16.0
4/29/2020,609.0,69.0,505.0,16.0
4/30/2020,613.0,69.0,516.0,16.0
5/1/2020,618.0,70.0,526.0,16.0
5/2/2020,619.0,72.0,532.0,16.0
5/3/2020,620.0,72.0,541.0,16.0
5/4/2020,620.0,73.0,544.0,17.0
5/5/2020,621.0,73.0,548.0,17.0
5/6/2020,625.0,73.0,551.0,17.0
5/7/2020,626.0,74.0,558.0,17.0
5/8/2020,629.0,74.0,565.0,17.0
5/9/2020,629.0,81.0,566.0,17.0
5/10/2020,631.0,81.0,551.0,17.0
5/11/2020,632.0,81.0,561.0,17.0
5/12/2020,634.0,81.0,561.0,17.0
5/13/2020,635.0,81.0,563.0,17.0
5/14/2020,638.0,81.0,563.0,17.0
5/15/2020,637.0,81.0,564.0,17.0
5/16/2020,638.0,81.0,565.0,17.0
5/17/2020,639.0,82.0,572.0,17.0
5/18/2020,640.0,82.0,573.0,17.0
5/19/2020,640.0,82.0,574.0,17.0
5/20/2020,641.0,82.0,578.0,17.0
5/21/2020,643.0,82.0,578.0,17.0
5/22/2020,647.0,83.0,579.0,17.0
5/23/2020,642.0,84.0,585.0,17.0
5/24/2020,643.0,84.0,589.0,17.0
5/25/2020,643.0,84.0,591.0,17.0
5/26/2020,643.0,84.0,592.0,17.0
5/27/2020,643.0,83.0,593.0,17.0
