Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,3.0,0.0,0.0,0.0
3/10/2020,8.0,0.0,0.0,0.0
3/11/2020,13.0,0.0,0.0,0.0
3/12/2020,14.0,0.0,0.0,0.0
3/13/2020,16.0,0.0,0.0,0.0
3/14/2020,17.0,0.0,0.0,0.0
3/15/2020,18.0,0.0,0.0,0.0
3/16/2020,22.0,0.0,0.0,0.0
3/17/2020,23.0,0.0,0.0,0.0
3/18/2020,29.0,0.0,0.0,0.0
3/19/2020,38.0,0.0,0.0,0.0
3/20/2020,45.0,0.0,0.0,0.0
3/21/2020,68.0,0.0,0.0,0.0
3/22/2020,90.0,0.0,0.0,0.0
3/23/2020,105.0,0.0,0.0,0.0
3/24/2020,124.0,27.0,0.0,0.0
3/25/2020,145.0,36.0,0.0,1.0
3/26/2020,179.0,46.0,15.0,1.0
3/27/2020,235.0,50.0,18.0,3.0
3/28/2020,298.0,61.0,15.0,3.0
3/29/2020,336.0,68.0,17.0,4.0
3/30/2020,424.0,74.0,23.0,6.0
3/31/2020,497.0,94.0,33.0,7.0
4/1/2020,549.0,99.0,118.0,9.0
4/2/2020,614.0,120.0,46.0,11.0
4/3/2020,699.0,138.0,188.0,11.0
4/4/2020,786.0,153.0,188.0,14.0
4/5/2020,868.0,165.0,188.0,22.0
4/6/2020,946.0,179.0,284.0,25.0
4/7/2020,1048.0,193.0,341.0,26.0
4/8/2020,1145.0,193.0,431.0,27.0
4/9/2020,1270.0,0.0,476.0,29.0
4/10/2020,1388.0,0.0,506.0,31.0
4/11/2020,1510.0,0.0,585.0,34.0
4/12/2020,1587.0,0.0,674.0,41.0
4/13/2020,1710.0,0.0,741.0,43.0
4/14/2020,1899.0,0.0,741.0,49.0
4/15/2020,1995.0,0.0,908.0,53.0
4/16/2020,2141.0,0.0,987.0,60.0
4/17/2020,2332.0,0.0,1007.0,64.0
4/18/2020,2513.0,0.0,1095.0,74.0
4/19/2020,2902.0,0.0,1171.0,75.0
4/20/2020,3159.0,0.0,1235.0,79.0
4/21/2020,3641.0,0.0,1293.0,83.0
4/22/2020,3748.0,0.0,1428.0,90.0
4/23/2020,3924.0,0.0,1492.0,96.0
4/24/2020,4445.0,0.0,1604.0,107.0
4/25/2020,5092.0,0.0,1723.0,112.0
4/26/2020,5476.0,0.0,1900.0,118.0
4/27/2020,5868.0,0.0,2021.0,127.0
4/28/2020,6376.0,0.0,2164.0,136.0
4/29/2020,6843.0,0.0,2428.0,148.0
4/30/2020,7145.0,0.0,2697.0,162.0
5/1/2020,7884.0,0.0,2899.0,170.0
5/2/2020,8641.0,0.0,3156.0,175.0
5/3/2020,9169.0,0.0,3325.0,184.0
5/4/2020,9703.0,0.0,3486.0,188.0
5/5/2020,10111.0,0.0,3572.0,207.0
5/6/2020,10404.0,0.0,3803.0,219.0
5/7/2020,11059.0,0.0,4266.0,231.0
5/8/2020,11457.0,0.0,4685.0,243.0
5/9/2020,11671.0,0.0,5011.0,252.0
5/10/2020,11959.0,0.0,5154.0,265.0
5/11/2020,12373.0,0.0,5249.0,271.0
5/12/2020,12912.0,0.0,5618.0,289.0
5/13/2020,13289.0,0.0,5954.0,306.0
5/14/2020,13675.0,0.0,6231.0,318.0
5/15/2020,14049.0,0.0,6561.0,336.0
5/16/2020,14328.0,0.0,6927.0,346.0
5/17/2020,14651.0,0.0,7154.0,351.0
5/18/2020,14955.0,0.0,7324.0,355.0
5/19/2020,15349.0,0.0,8130.0,372.0
5/20/2020,15614.0,0.0,8362.0,388.0
5/21/2020,16170.0,0.0,8672.0,406.0
5/22/2020,16504.0,0.0,9079.0,425.0
5/23/2020,16893.0,0.0,9254.0,444.0
5/24/2020,17252.0,0.0,9318.0,454.0
5/25/2020,17577.0,0.0,9377.0,459.0
5/26/2020,17703.0,0.0,9791.0,478.0
