Dates,Infected,Vaccinated,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,0.0,0.0,0.0,0.0
3/13/2020,0.0,0.0,0.0,0.0
3/14/2020,2.0,0.0,0.0,0.0
3/15/2020,5.0,0.0,0.0,0.0
3/16/2020,6.0,0.0,0.0,0.0
3/17/2020,11.0,0.0,0.0,0.0
3/18/2020,14.0,0.0,0.0,0.0
3/19/2020,20.0,0.0,0.0,0.0
3/20/2020,31.0,0.0,0.0,0.0
3/21/2020,40.0,0.0,0.0,0.0
3/22/2020,47.0,0.0,0.0,0.0
3/23/2020,50.0,0.0,0.0,0.0
3/24/2020,82.0,0.0,0.0,0.0
3/25/2020,104.0,0.0,0.0,0.0
3/26/2020,150.0,0.0,0.0,0.0
3/27/2020,210.0,0.0,0.0,3.0
3/28/2020,248.0,25.0,0.0,4.0
3/29/2020,264.0,36.0,0.0,5.0
3/30/2020,309.0,39.0,0.0,6.0
3/31/2020,414.0,45.0,0.0,7.0
4/1/2020,524.0,46.0,0.0,9.0
4/2/2020,668.0,49.0,0.0,9.0
4/3/2020,890.0,56.0,0.0,9.0
4/4/2020,1012.0,62.0,0.0,10.0
4/5/2020,1076.0,66.0,0.0,10.0
4/6/2020,1100.0,77.0,0.0,10.0
4/7/2020,1169.0,83.0,0.0,13.0
4/8/2020,1209.0,93.0,0.0,15.0
4/9/2020,1231.0,113.0,0.0,18.0
4/10/2020,1365.0,127.0,0.0,24.0
4/11/2020,1423.0,128.0,0.0,25.0
4/12/2020,1437.0,131.0,0.0,27.0
4/13/2020,1458.0,132.0,0.0,27.0
4/14/2020,1499.0,135.0,0.0,33.0
4/15/2020,1538.0,141.0,0.0,39.0
4/16/2020,1587.0,143.0,0.0,41.0
4/17/2020,1609.0,148.0,390.0,41.0
4/18/2020,1655.0,151.0,453.0,43.0
4/19/2020,1668.0,151.0,520.0,44.0
4/20/2020,1672.0,151.0,585.0,45.0
4/21/2020,1736.0,157.0,660.0,48.0
4/22/2020,1766.0,158.0,710.0,51.0
4/23/2020,1802.0,162.0,767.0,54.0
4/24/2020,1836.0,166.0,822.0,54.0
4/25/2020,1870.0,168.0,867.0,54.0
4/26/2020,1887.0,169.0,938.0,56.0
4/27/2020,1897.0,169.0,983.0,56.0
4/28/2020,1917.0,172.0,1039.0,58.0
4/29/2020,1952.0,173.0,1087.0,60.0
4/30/2020,1984.0,175.0,1121.0,60.0
5/1/2020,2015.0,178.0,1175.0,63.0
5/2/2020,2035.0,178.0,1215.0,63.0
5/3/2020,2061.0,200.0,1267.0,63.0
5/4/2020,2061.0,200.0,1267.0,64.0
5/5/2020,2106.0,201.0,1358.0,64.0
5/6/2020,2127.0,203.0,1379.0,65.0
5/7/2020,2158.0,205.0,1399.0,66.0
5/8/2020,2178.0,206.0,1420.0,67.0
5/9/2020,2205.0,206.0,1442.0,67.0
5/10/2020,2230.0,207.0,1473.0,67.0
5/11/2020,2230.0,207.0,1473.0,67.0
5/12/2020,2260.0,210.0,1508.0,70.0
5/13/2020,2293.0,214.0,1536.0,69.0
5/14/2020,2324.0,212.0,1557.0,69.0
5/15/2020,2351.0,212.0,1573.0,72.0
5/16/2020,2389.0,213.0,1588.0,73.0
5/17/2020,2419.0,213.0,1612.0,73.0
5/18/2020,2419.0,213.0,1612.0,73.0
5/19/2020,2455.0,213.0,1649.0,74.0
5/20/2020,2476.0,215.0,1668.0,77.0
5/21/2020,2506.0,221.0,1688.0,77.0
5/22/2020,2534.0,223.0,1720.0,77.0
5/23/2020,2595.0,225.0,1735.0,79.0
5/24/2020,2626.0,225.0,1755.0,79.0
5/25/2020,2626.0,225.0,1755.0,79.0
5/26/2020,2626.0,225.0,1755.0,79.0
5/27/2020,2699.0,231.0,2100.0,81.0
