Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,2.0,0.0,0.0,0.0
3/9/2020,2.0,0.0,0.0,0.0
3/10/2020,6.0,0.0,0.0,0.0
3/11/2020,10.0,0.0,0.0,0.0
3/12/2020,12.0,0.0,0.0,0.0
3/13/2020,12.0,0.0,0.0,0.0
3/14/2020,15.0,0.0,0.0,0.0
3/15/2020,19.0,0.0,0.0,0.0
3/16/2020,24.0,0.0,0.0,1.0
3/17/2020,30.0,0.0,0.0,2.0
3/18/2020,39.0,0.0,0.0,2.0
3/19/2020,56.0,0.0,0.0,2.0
3/20/2020,79.0,0.0,0.0,2.0
3/21/2020,126.0,0.0,0.0,4.0
3/22/2020,201.0,0.0,0.0,6.0
3/23/2020,259.0,0.0,0.0,7.0
3/24/2020,365.0,0.0,0.0,12.0
3/25/2020,477.0,0.0,0.0,14.0
3/26/2020,645.0,0.0,0.0,17.0
3/27/2020,981.0,0.0,0.0,24.0
3/28/2020,1232.0,0.0,0.0,31.0
3/29/2020,1514.0,0.0,0.0,32.0
3/30/2020,1786.0,0.0,0.0,35.0
3/31/2020,2159.0,0.0,0.0,49.0
4/1/2020,2565.0,0.0,0.0,65.0
4/2/2020,3039.0,0.0,0.0,78.0
4/3/2020,3437.0,0.0,0.0,102.0
4/4/2020,3953.0,0.0,0.0,116.0
4/5/2020,4411.0,0.0,0.0,127.0
4/6/2020,4944.0,0.0,0.0,139.0
4/7/2020,5507.0,0.0,0.0,173.0
4/8/2020,5943.0,0.0,0.0,203.0
4/9/2020,6351.0,0.0,0.0,245.0
4/10/2020,6907.0,0.0,0.0,300.0
4/11/2020,7435.0,0.0,0.0,330.0
4/12/2020,7928.0,0.0,0.0,343.0
4/13/2020,8236.0,0.0,0.0,350.0
4/14/2020,8527.0,0.0,0.0,388.0
4/15/2020,8955.0,0.0,0.0,436.0
4/16/2020,9542.0,0.0,0.0,477.0
4/17/2020,10154.0,0.0,0.0,519.0
4/18/2020,10641.0,0.0,0.0,545.0
4/19/2020,11210.0,0.0,0.0,562.0
4/20/2020,11686.0,0.0,0.0,569.0
4/21/2020,12097.0,0.0,0.0,630.0
4/22/2020,12438.0,0.0,0.0,661.0
4/23/2020,13039.0,0.0,0.0,706.0
4/24/2020,13680.0,0.0,0.0,741.0
4/25/2020,14395.0,0.0,0.0,785.0
4/26/2020,15012.0,0.0,0.0,813.0
4/27/2020,15961.0,0.0,0.0,844.0
4/28/2020,16588.0,0.0,0.0,901.0
4/29/2020,17182.0,0.0,0.0,1065.0
4/30/2020,17835.0,0.0,0.0,1114.0
5/1/2020,18630.0,0.0,0.0,1175.0
5/2/2020,19295.0,0.0,0.0,1229.0
5/3/2020,19933.0,0.0,0.0,1246.0
5/4/2020,20507.0,0.0,0.0,1264.0
5/5/2020,21033.0,0.0,0.0,1326.0
5/6/2020,21870.0,0.0,0.0,1377.0
5/7/2020,22503.0,0.0,0.0,1414.0
5/8/2020,23146.0,4389.0,0.0,1447.0
5/9/2020,23732.0,4389.0,0.0,1490.0
5/10/2020,24126.0,4389.0,0.0,1508.0
5/11/2020,24627.0,4389.0,0.0,1540.0
5/12/2020,25127.0,4389.0,0.0,1578.0
5/13/2020,25473.0,4389.0,0.0,1619.0
5/14/2020,26053.0,4389.0,0.0,1646.0
5/15/2020,26655.0,4389.0,0.0,1691.0
5/16/2020,27280.0,4389.0,0.0,1741.0
5/17/2020,27778.0,4389.0,0.0,1751.0
5/18/2020,28255.0,4389.0,0.0,1765.0
5/19/2020,28705.0,4389.0,0.0,1824.0
5/20/2020,29274.0,4389.0,0.0,1864.0
5/21/2020,29936.0,4389.0,0.0,1913.0
5/22/2020,30409.0,5285.0,0.0,1941.0
5/23/2020,30901.0,5285.0,0.0,1943.0
5/24/2020,31376.0,5285.0,0.0,1976.0
5/25/2020,31715.0,5285.0,0.0,1976.0
5/26/2020,32078.0,5285.0,0.0,2004.0
5/27/2020,32437.0,5285.0,0.0,2030.0
5/28/2020,33068.0,5285.0,0.0,2068.0
5/29/2020,33558.0,5285.0,0.0,2110.0
5/30/2020,34211.0,5285.0,0.0,2125.0
5/31/2020,34574.0,5285.0,0.0,2134.0
6/1/2020,34830.0,5860.0,0.0,2142.0
6/2/2020,35237.0,5902.0,0.0,2197.0
6/3/2020,35712.0,5952.0,0.0,2207.0
6/4/2020,36096.0,5999.0,0.0,2231.0
6/5/2020,36578.0,6053.0,0.0,2258.0
6/6/2020,36997.0,6091.0,0.0,2292.0
6/7/2020,37397.0,6136.0,0.0,2303.0
6/8/2020,37623.0,6179.0,0.0,2316.0
6/9/2020,38033.0,6225.0,0.0,2339.0
6/10/2020,38337.0,6261.0,0.0,2355.0
6/11/2020,38748.0,6314.0,0.0,2380.0
6/12/2020,39146.0,6349.0,0.0,2396.0
6/13/2020,39543.0,6349.0,0.0,2413.0
6/14/2020,39909.0,6419.0,0.0,2422.0
6/15/2020,40430.0,6451.0,0.0,2433.0
6/16/2020,40786.0,6481.0,0.0,2447.0
6/17/2020,41013.0,6526.0,0.0,2475.0
6/18/2020,41438.0,6589.0,0.0,2491.0
6/19/2020,41746.0,6731.0,0.0,2516.0
6/20/2020,42061.0,6755.0,0.0,2536.0
6/21/2020,42423.0,6788.0,0.0,2540.0
6/22/2020,42633.0,6819.0,0.0,2553.0
6/23/2020,42871.0,6853.0,0.0,2569.0
6/24/2020,43140.0,6883.0,0.0,2578.0
6/25/2020,43655.0,6912.0,0.0,2586.0
6/26/2020,44140.0,6944.0,0.0,2595.0
6/27/2020,44575.0,6982.0,0.0,2616.0
6/28/2020,44930.0,7003.0,0.0,2619.0
6/29/2020,45228.0,7024.0,0.0,2624.0
6/30/2020,45594.0,7065.0,0.0,2640.0
7/1/2020,45952.0,7095.0,0.0,2650.0
7/2/2020,46387.0,7139.0,0.0,2662.0
7/3/2020,46915.0,7175.0,0.0,2681.0
7/4/2020,47432.0,7216.0,0.0,2687.0
7/5/2020,48008.0,7254.0,0.0,2693.0
7/6/2020,48331.0,7285.0,0.0,2698.0
7/7/2020,48626.0,7333.0,0.0,2717.0
7/8/2020,49063.0,7365.0,0.0,2732.0
7/9/2020,49575.0,7386.0,0.0,2739.0
7/10/2020,50300.0,7458.0,0.0,2748.0
7/11/2020,51079.0,7458.0,0.0,2756.0
7/12/2020,51612.0,7527.0,0.0,2760.0
7/13/2020,52037.0,7574.0,0.0,2762.0
7/14/2020,52685.0,7633.0,0.0,2775.0
7/15/2020,53370.0,7686.0,0.0,2785.0
7/16/2020,54080.0,7747.0,0.0,2795.0
7/17/2020,54813.0,7814.0,0.0,2803.0
7/18/2020,55654.0,7861.0,0.0,2820.0
7/19/2020,56571.0,7895.0,0.0,2822.0
7/20/2020,57206.0,7941.0,0.0,2825.0
7/21/2020,57916.0,7941.0,0.0,2846.0
7/22/2020,58673.0,8020.0,0.0,2863.0
7/23/2020,59602.0,8066.0,0.0,2880.0
7/24/2020,60598.0,8128.0,0.0,2884.0
7/25/2020,61520.0,8180.0,0.0,2895.0
7/26/2020,62372.0,8401.0,0.0,2903.0
7/27/2020,62907.0,8444.0,0.0,2906.0
7/28/2020,63678.0,8505.0,0.0,2924.0
7/29/2020,64299.0,8587.0,0.0,2932.0
7/30/2020,65253.0,8667.0,0.0,2946.0
7/31/2020,66154.0,8727.0,0.0,2965.0
8/1/2020,67122.0,8781.0,0.0,2971.0
8/2/2020,67857.0,8848.0,0.0,2975.0
8/3/2020,68433.0,9004.0,0.0,2980.0
8/4/2020,69255.0,9148.0,0.0,2996.0
8/5/2020,69975.0,9148.0,0.0,3007.0
8/6/2020,71015.0,9267.0,0.0,3013.0
8/7/2020,72254.0,9354.0,0.0,3023.0
8/8/2020,73287.0,9354.0,0.0,3036.0
8/9/2020,74328.0,9354.0,0.0,3041.0
8/10/2020,74992.0,9354.0,0.0,3044.0
8/11/2020,75862.0,9599.0,0.0,3069.0
8/12/2020,76522.0,9678.0,0.0,3086.0
8/13/2020,77565.0,9678.0,0.0,3105.0
8/14/2020,78632.0,9801.0,0.0,3113.0
8/15/2020,79676.0,9872.0,0.0,3128.0
8/16/2020,80415.0,9935.0,0.0,3133.0
8/17/2020,81006.0,9973.0,0.0,3135.0
8/18/2020,81847.0,10037.0,0.0,3165.0
8/19/2020,82336.0,10090.0,0.0,3180.0
8/20/2020,83277.0,10145.0,0.0,3191.0
8/21/2020,84317.0,10132.0,0.0,3208.0
8/22/2020,85317.0,10219.0,0.0,3218.0
8/23/2020,85932.0,10281.0,0.0,3220.0
8/24/2020,87592.0,10343.0,0.0,3225.0
8/25/2020,88421.0,10417.0,0.0,3241.0
8/26/2020,89359.0,10605.0,0.0,3259.0
8/27/2020,90504.0,10747.0,0.0,3266.0
8/28/2020,91313.0,10818.0,0.0,3277.0
8/29/2020,92434.0,10839.0,0.0,3285.0
8/30/2020,93313.0,10843.0,0.0,3291.0
8/31/2020,94196.0,11043.0,0.0,3296.0
9/1/2020,94891.0,11094.0,0.0,3312.0
9/2/2020,95750.0,11143.0,0.0,3325.0
9/3/2020,96854.0,11196.0,0.0,3332.0
9/4/2020,97884.0,11265.0,0.0,3350.0
9/5/2020,98961.0,11318.0,0.0,3362.0
9/6/2020,99804.0,11365.0,0.0,3364.0
9/7/2020,100394.0,11410.0,0.0,3368.0
9/8/2020,100780.0,11467.0,0.0,3380.0
9/9/2020,101485.0,11528.0,0.0,3397.0
9/10/2020,102243.0,11591.0,0.0,3410.0
9/11/2020,103505.0,11651.0,0.0,3420.0
9/12/2020,104561.0,11710.0,0.0,3437.0
9/13/2020,105804.0,11749.0,0.0,3438.0
9/14/2020,106540.0,11796.0,0.0,3439.0
9/15/2020,107229.0,11858.0,0.0,3460.0
9/16/2020,107809.0,11918.0,0.0,3472.0
