Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,1.0,0.0,0.0,0.0
3/11/2020,1.0,0.0,0.0,0.0
3/12/2020,4.0,0.0,0.0,0.0
3/13/2020,6.0,0.0,0.0,0.0
3/14/2020,6.0,0.0,0.0,1.0
3/15/2020,8.0,0.0,0.0,1.0
3/16/2020,11.0,0.0,0.0,1.0
3/17/2020,15.0,0.0,0.0,1.0
3/18/2020,16.0,0.0,0.0,1.0
3/19/2020,34.0,0.0,0.0,1.0
3/20/2020,44.0,0.0,0.0,1.0
3/21/2020,55.0,0.0,0.0,2.0
3/22/2020,64.0,0.0,0.0,2.0
3/23/2020,82.0,0.0,0.0,2.0
3/24/2020,98.0,0.0,0.0,2.0
3/25/2020,126.0,0.0,0.0,3.0
3/26/2020,168.0,0.0,0.0,3.0
3/27/2020,202.0,27.0,0.0,4.0
3/28/2020,261.0,27.0,0.0,5.0
3/29/2020,319.0,55.0,0.0,6.0
3/30/2020,368.0,66.0,0.0,8.0
3/31/2020,428.0,79.0,0.0,9.0
4/1/2020,482.0,114.0,0.0,10.0
4/2/2020,552.0,138.0,0.0,13.0
4/3/2020,620.0,151.0,0.0,17.0
4/4/2020,698.0,172.0,0.0,21.0
4/5/2020,747.0,183.0,0.0,22.0
4/6/2020,845.0,198.0,0.0,25.0
4/7/2020,900.0,223.0,0.0,27.0
4/8/2020,1046.0,223.0,0.0,38.0
4/9/2020,1106.0,263.0,0.0,42.0
4/10/2020,1166.0,274.0,0.0,50.0
4/11/2020,1268.0,293.0,0.0,55.0
4/12/2020,1337.0,298.0,0.0,56.0
4/13/2020,1376.0,309.0,0.0,62.0
4/14/2020,1426.0,327.0,0.0,69.0
4/15/2020,1494.0,342.0,0.0,76.0
4/16/2020,1588.0,359.0,0.0,80.0
4/17/2020,1705.0,375.0,0.0,84.0
4/18/2020,1790.0,383.0,0.0,86.0
4/19/2020,1849.0,390.0,0.0,92.0
4/20/2020,1986.0,405.0,0.0,100.0
4/21/2020,2025.0,419.0,0.0,107.0
4/22/2020,2211.0,432.0,0.0,110.0
4/23/2020,2482.0,442.0,0.0,112.0
4/24/2020,2777.0,457.0,0.0,111.0
4/25/2020,3056.0,474.0,0.0,117.0
4/26/2020,3174.0,485.0,0.0,118.0
4/27/2020,3328.0,496.0,0.0,120.0
4/28/2020,3491.0,504.0,0.0,124.0
4/29/2020,3738.0,515.0,0.0,125.0
4/30/2020,4238.0,523.0,0.0,129.0
5/1/2020,4449.0,534.0,0.0,130.0
5/2/2020,4746.0,541.0,0.0,131.0
5/3/2020,5030.0,547.0,0.0,134.0
5/4/2020,5245.0,553.0,0.0,136.0
5/5/2020,5458.0,566.0,0.0,137.0
5/6/2020,5734.0,571.0,0.0,144.0
5/7/2020,6144.0,587.0,0.0,147.0
5/8/2020,6501.0,608.0,0.0,152.0
5/9/2020,6751.0,635.0,0.0,157.0
5/10/2020,6948.0,657.0,0.0,157.0
5/11/2020,7116.0,660.0,0.0,158.0
5/12/2020,7116.0,660.0,0.0,158.0
5/13/2020,7468.0,704.0,0.0,164.0
5/14/2020,7468.0,704.0,0.0,164.0
5/15/2020,7886.0,724.0,0.0,172.0
5/16/2020,7886.0,724.0,0.0,172.0
5/17/2020,7886.0,724.0,0.0,172.0
5/18/2020,8340.0,740.0,0.0,173.0
5/19/2020,8340.0,740.0,0.0,173.0
5/20/2020,8539.0,760.0,0.0,178.0
5/21/2020,8539.0,760.0,0.0,178.0
5/22/2020,8958.0,787.0,0.0,185.0
5/23/2020,8958.0,787.0,0.0,185.0
5/24/2020,8958.0,787.0,0.0,185.0
5/25/2020,9218.0,800.0,0.0,188.0
5/26/2020,9218.0,800.0,0.0,188.0
5/27/2020,9337.0,822.0,0.0,205.0
5/28/2020,9337.0,822.0,0.0,205.0
5/29/2020,9719.0,842.0,0.0,208.0
5/30/2020,9719.0,842.0,0.0,208.0
5/31/2020,9719.0,842.0,0.0,208.0
6/1/2020,10011.0,842.0,0.0,217.0
6/2/2020,10011.0,862.0,0.0,217.0
6/3/2020,10170.0,890.0,0.0,222.0
6/4/2020,10170.0,890.0,0.0,222.0
6/5/2020,10393.0,917.0,0.0,232.0
6/6/2020,10393.0,917.0,0.0,232.0
6/7/2020,10393.0,917.0,0.0,232.0
6/8/2020,10650.0,936.0,0.0,236.0
6/9/2020,10650.0,936.0,0.0,236.0
6/10/2020,10812.0,954.0,0.0,240.0
6/11/2020,10812.0,954.0,0.0,240.0
6/12/2020,11047.0,973.0,0.0,243.0
6/13/2020,11047.0,973.0,0.0,243.0
6/14/2020,11047.0,973.0,0.0,243.0
6/15/2020,11419.0,988.0,0.0,245.0
6/16/2020,11419.0,988.0,0.0,245.0
6/17/2020,11681.0,1011.0,0.0,247.0
6/18/2020,11681.0,1011.0,0.0,247.0
6/19/2020,12059.0,1035.0,0.0,254.0
6/20/2020,12059.0,1035.0,0.0,254.0
6/21/2020,12059.0,1035.0,0.0,254.0
6/22/2020,12465.0,1056.0,0.0,259.0
6/23/2020,12465.0,1056.0,0.0,259.0
6/24/2020,12970.0,1082.0,0.0,261.0
6/25/2020,12970.0,1082.0,0.0,261.0
6/26/2020,13538.0,1128.0,0.0,264.0
6/27/2020,13538.0,1128.0,0.0,264.0
6/28/2020,13538.0,1128.0,0.0,264.0
6/29/2020,14443.0,1152.0,0.0,270.0
6/30/2020,14443.0,1152.0,0.0,270.0
7/1/2020,14990.0,1152.0,0.0,272.0
7/2/2020,14990.0,1195.0,0.0,272.0
7/3/2020,15919.0,1219.0,0.0,277.0
7/4/2020,15919.0,1219.0,0.0,277.0
7/5/2020,15919.0,1219.0,0.0,277.0
7/6/2020,16901.0,1235.0,0.0,280.0
7/7/2020,16901.0,1235.0,0.0,280.0
7/8/2020,17618.0,1269.0,0.0,282.0
7/9/2020,17618.0,1269.0,0.0,282.0
7/10/2020,18611.0,1304.0,0.0,284.0
7/11/2020,18611.0,1304.0,0.0,284.0
7/12/2020,18611.0,1304.0,0.0,284.0
7/13/2020,20058.0,1343.0,0.0,288.0
7/14/2020,20058.0,1343.0,0.0,288.0
7/15/2020,20933.0,1393.0,0.0,299.0
7/16/2020,20933.0,1393.0,0.0,299.0
7/17/2020,21965.0,1453.0,0.0,299.0
7/18/2020,21965.0,1453.0,0.0,299.0
7/19/2020,21965.0,1453.0,0.0,299.0
7/20/2020,23334.0,1497.0,0.0,307.0
7/21/2020,23334.0,1497.0,0.0,307.0
7/22/2020,24104.0,1545.0,0.0,308.0
7/23/2020,24104.0,1545.0,0.0,308.0
7/24/2020,25109.0,1596.0,0.0,326.0
7/25/2020,25109.0,1596.0,0.0,326.0
7/26/2020,25109.0,1596.0,0.0,326.0
7/27/2020,26172.0,1644.0,0.0,335.0
7/28/2020,26172.0,1644.0,0.0,335.0
7/29/2020,26870.0,1700.0,0.0,349.0
7/30/2020,26870.0,1700.0,0.0,349.0
7/31/2020,27812.0,1751.0,0.0,358.0
8/1/2020,27812.0,1751.0,0.0,358.0
8/2/2020,27812.0,1751.0,0.0,358.0
8/3/2020,28876.0,1782.0,0.0,365.0
8/4/2020,28876.0,1782.0,0.0,365.0
8/5/2020,29717.0,1821.0,0.0,368.0
8/6/2020,29717.0,1821.0,0.0,368.0
8/7/2020,30638.0,1875.0,0.0,380.0
8/8/2020,30638.0,1875.0,0.0,380.0
8/9/2020,30638.0,1875.0,0.0,380.0
8/10/2020,31730.0,1911.0,0.0,387.0
8/11/2020,31730.0,1911.0,0.0,387.0
8/12/2020,32547.0,1975.0,0.0,395.0
8/13/2020,32547.0,1975.0,0.0,395.0
