Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,4.0,0.0,0.0,0.0
3/10/2020,6.0,0.0,0.0,0.0
3/11/2020,8.0,0.0,0.0,0.0
3/12/2020,8.0,0.0,0.0,0.0
3/13/2020,11.0,0.0,0.0,0.0
3/14/2020,14.0,0.0,0.0,1.0
3/15/2020,16.0,0.0,0.0,1.0
3/16/2020,21.0,0.0,0.0,1.0
3/17/2020,22.0,0.0,0.0,1.0
3/18/2020,26.0,0.0,0.0,1.0
3/19/2020,35.0,0.0,0.0,1.0
3/20/2020,47.0,0.0,0.0,1.0
3/21/2020,54.0,0.0,0.0,2.0
3/22/2020,99.0,0.0,0.0,3.0
3/23/2020,104.0,0.0,0.0,3.0
3/24/2020,124.0,0.0,0.0,4.0
3/25/2020,157.0,0.0,0.0,4.0
3/26/2020,198.0,0.0,0.0,4.0
3/27/2020,248.0,0.0,0.0,6.0
3/28/2020,302.0,0.0,0.0,8.0
3/29/2020,394.0,0.0,0.0,9.0
3/30/2020,439.0,0.0,0.0,9.0
3/31/2020,480.0,0.0,0.0,11.0
4/1/2020,591.0,0.0,0.0,17.0
4/2/2020,680.0,0.0,0.0,20.0
4/3/2020,770.0,0.0,0.0,31.0
4/4/2020,831.0,0.0,0.0,37.0
4/5/2020,917.0,0.0,0.0,40.0
4/6/2020,955.0,0.0,0.0,45.0
4/7/2020,1008.0,0.0,0.0,59.0
4/8/2020,1149.0,0.0,0.0,65.0
4/9/2020,1346.0,0.0,0.0,73.0
4/10/2020,1693.0,459.0,464.0,90.0
4/11/2020,1693.0,459.0,464.0,90.0
4/12/2020,1840.0,459.0,464.0,94.0
4/13/2020,1963.0,667.0,607.0,97.0
4/14/2020,2048.0,673.0,629.0,104.0
4/15/2020,2210.0,687.0,653.0,115.0
4/16/2020,2291.0,807.0,862.0,122.0
4/17/2020,2429.0,971.0,956.0,129.0
4/18/2020,2522.0,1008.0,979.0,137.0
4/19/2020,2707.0,1059.0,1174.0,144.0
4/20/2020,2960.0,1059.0,1174.0,148.0
4/21/2020,3050.0,1059.0,1174.0,154.0
4/22/2020,3192.0,1076.0,1266.0,171.0
4/23/2020,3373.0,1105.0,1311.0,185.0
4/24/2020,3481.0,1115.0,1335.0,191.0
4/25/2020,3779.0,1143.0,1341.0,200.0
4/26/2020,3905.0,1266.0,1501.0,205.0
4/27/2020,4074.0,1274.0,1511.0,208.0
4/28/2020,4146.0,1281.0,1521.0,213.0
4/29/2020,4375.0,1331.0,1617.0,225.0
4/30/2020,4539.0,1359.0,1668.0,235.0
5/1/2020,4708.0,1375.0,1675.0,240.0
5/2/2020,4879.0,1411.0,1752.0,248.0
5/3/2020,4879.0,1411.0,1752.0,248.0
5/4/2020,5130.0,1519.0,1892.0,253.0
5/5/2020,5245.0,1529.0,1892.0,261.0
5/6/2020,5822.0,1603.0,2058.0,275.0
5/7/2020,5934.0,1616.0,2125.0,283.0
5/8/2020,6129.0,1684.0,2177.0,294.0
5/9/2020,6288.0,1696.0,2266.0,298.0
5/10/2020,6440.0,1757.0,2308.0,304.0
5/11/2020,6440.0,1757.0,2308.0,304.0
5/12/2020,6677.0,1767.0,2335.0,311.0
5/13/2020,6853.0,1825.0,2546.0,321.0
5/14/2020,7080.0,1835.0,2649.0,326.0
5/15/2020,7225.0,1887.0,2712.0,328.0
5/16/2020,7444.0,1896.0,2739.0,332.0
5/17/2020,7688.0,1896.0,2768.0,334.0
5/18/2020,7688.0,1896.0,2768.0,334.0
5/19/2020,8069.0,1980.0,2826.0,366.0
5/20/2020,8069.0,2010.0,2826.0,366.0
5/21/2020,8275.0,2016.0,2919.0,376.0
5/22/2020,8286.0,2041.0,3008.0,386.0
