Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,13.0,0.0,0.0,0.0
3/8/2020,13.0,0.0,0.0,0.0
3/9/2020,41.0,0.0,0.0,0.0
3/10/2020,92.0,0.0,0.0,0.0
3/11/2020,92.0,0.0,0.0,0.0
3/12/2020,95.0,0.0,0.0,0.0
3/13/2020,123.0,0.0,0.0,0.0
3/14/2020,138.0,0.0,0.0,0.0
3/15/2020,138.0,0.0,0.0,0.0
3/16/2020,164.0,0.0,0.0,0.0
3/17/2020,218.0,0.0,0.0,0.0
3/18/2020,256.0,0.0,0.0,2.0
3/19/2020,328.0,0.0,0.0,3.0
3/20/2020,413.0,0.0,0.0,5.0
3/21/2020,525.0,61.0,0.0,7.0
3/22/2020,646.0,71.0,0.0,11.0
3/23/2020,777.0,79.0,0.0,17.0
3/24/2020,1159.0,94.0,0.0,26.0
3/25/2020,1838.0,103.0,0.0,33.0
3/26/2020,2417.0,219.0,0.0,42.0
3/27/2020,3240.0,219.0,0.0,57.0
3/28/2020,4257.0,350.0,0.0,72.0
3/29/2020,4955.0,399.0,0.0,99.0
3/30/2020,5752.0,453.0,0.0,124.0
3/31/2020,6620.0,562.0,0.0,153.0
4/1/2020,7738.0,682.0,0.0,187.0
4/2/2020,8966.0,813.0,0.0,229.0
4/3/2020,10402.0,966.0,0.0,265.0
4/4/2020,11736.0,1370.0,0.0,304.0
4/5/2020,12500.0,1632.0,0.0,370.0
4/6/2020,13837.0,1667.0,0.0,448.0
4/7/2020,15202.0,1831.0,0.0,515.0
4/8/2020,16790.0,2119.0,0.0,615.0
4/9/2020,18941.0,2302.0,0.0,725.0
4/10/2020,20974.0,2435.0,0.0,832.0
4/11/2020,22860.0,2507.0,0.0,946.0
4/12/2020,25475.0,2514.0,0.0,1056.0
4/13/2020,26867.0,3485.0,0.0,1211.0
4/14/2020,28163.0,3616.0,0.0,1329.0
4/15/2020,29918.0,3637.0,0.0,1502.0
4/16/2020,32181.0,3726.0,0.0,1667.0
4/17/2020,34402.0,3756.0,0.0,1822.0
4/18/2020,36372.0,3728.0,0.0,1983.0
4/19/2020,38077.0,3789.0,0.0,2146.0
4/20/2020,38077.0,3872.0,0.0,2303.0
4/21/2020,41199.0,4009.0,0.0,2449.0
4/22/2020,42944.0,4256.0,0.0,2597.0
4/23/2020,46023.0,4493.0,0.0,2769.0
4/24/2020,46023.0,4752.0,0.0,2877.0
4/25/2020,53348.0,4965.0,0.0,2877.0
4/26/2020,54938.0,5104.0,0.0,2899.0
4/27/2020,56462.0,5237.0,0.0,3003.0
4/28/2020,58302.0,5515.0,0.0,3153.0
4/29/2020,60265.0,5758.0,0.0,3405.0
4/30/2020,62205.0,5942.0,0.0,3562.0
5/1/2020,64311.0,6169.0,0.0,3716.0
5/2/2020,66263.0,6378.0,0.0,3846.0
5/3/2020,68087.0,6507.0,0.0,4004.0
5/4/2020,69087.0,6622.0,0.0,4090.0
5/5/2020,70271.0,6831.0,0.0,4212.0
5/6/2020,72025.0,7080.0,0.0,4420.0
5/7/2020,73721.0,7237.0,0.0,4552.0
5/8/2020,75333.0,7434.0,0.0,4702.0
5/9/2020,76743.0,7551.0,0.0,4840.0
5/10/2020,77793.0,7617.0,0.0,4979.0
5/11/2020,78462.0,7732.0,0.0,5108.0
5/12/2020,79332.0,7842.0,0.0,5141.0
5/13/2020,80497.0,8032.0,0.0,5315.0
5/14/2020,82182.0,8207.0,0.0,5482.0
5/15/2020,83421.0,8314.0,0.0,5592.0
5/16/2020,84933.0,8456.0,0.0,5705.0
5/17/2020,86010.0,8539.0,0.0,5797.0
5/18/2020,87052.0,8621.0,0.0,5862.0
5/19/2020,87925.0,8766.0,0.0,5938.0
5/20/2020,88970.0,8897.0,0.0,6066.0
5/21/2020,90084.0,9040.0,0.0,6148.0
5/22/2020,90889.0,9162.0,0.0,6228.0
5/23/2020,91662.0,9260.0,0.0,6304.0
5/24/2020,92675.0,9308.0,0.0,6372.0
5/25/2020,93271.0,9339.0,0.0,6416.0
