Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,3.0,0.0,0.0,0.0
3/8/2020,3.0,0.0,0.0,0.0
3/9/2020,5.0,0.0,0.0,0.0
3/10/2020,6.0,0.0,0.0,0.0
3/11/2020,9.0,0.0,0.0,0.0
3/12/2020,12.0,0.0,0.0,0.0
3/13/2020,17.0,0.0,0.0,0.0
3/14/2020,26.0,0.0,0.0,0.0
3/15/2020,31.0,0.0,0.0,0.0
3/16/2020,37.0,0.0,0.0,2.0
3/17/2020,57.0,0.0,0.0,2.0
3/18/2020,85.0,0.0,0.0,2.0
3/19/2020,107.0,0.0,0.0,2.0
3/20/2020,149.0,0.0,0.0,3.0
3/21/2020,190.0,0.0,0.0,3.0
3/22/2020,244.0,0.0,0.0,4.0
3/23/2020,288.0,0.0,0.0,4.0
3/24/2020,349.0,0.0,0.0,5.0
3/25/2020,423.0,0.0,0.0,5.0
3/26/2020,580.0,132.0,0.0,7.0
3/27/2020,774.0,173.0,25.0,10.0
3/28/2020,992.0,226.0,0.0,17.0
3/29/2020,1239.0,277.0,0.0,24.0
3/30/2020,1413.0,353.0,0.0,35.0
3/31/2020,1660.0,429.0,0.0,43.0
4/1/2020,1985.0,522.0,0.0,52.0
4/2/2020,2331.0,582.0,81.0,64.0
4/3/2020,2758.0,664.0,159.0,84.0
4/4/2020,3125.0,821.0,159.0,101.0
4/5/2020,3609.0,936.0,159.0,122.0
4/6/2020,4045.0,1059.0,184.0,138.0
4/7/2020,4371.0,1106.0,288.0,160.0
4/8/2020,5529.0,1210.0,365.0,191.0
4/9/2020,6185.0,1348.0,376.0,221.0
4/10/2020,6968.0,1413.0,397.0,255.0
4/11/2020,7694.0,1709.0,431.0,298.0
4/12/2020,8225.0,1860.0,456.0,335.0
4/13/2020,8936.0,1975.0,603.0,384.0
4/14/2020,9472.0,2122.0,607.0,421.0
4/15/2020,10032.0,2231.0,607.0,469.0
4/16/2020,10784.0,2451.0,736.0,499.0
4/17/2020,11572.0,2612.0,736.0,541.0
4/18/2020,12308.0,2757.0,771.0,582.0
4/19/2020,12830.0,2886.0,914.0,626.0
4/20/2020,13684.0,3014.0,917.0,683.0
4/21/2020,14193.0,3158.0,930.0,732.0
4/22/2020,14775.0,3325.0,981.0,779.0
4/23/2020,15737.0,3477.0,1040.0,831.0
4/24/2020,16616.0,3618.0,1108.0,899.0
4/25/2020,17766.0,3760.0,1165.0,948.0
4/26/2020,18581.0,3962.0,1177.0,1001.0
4/27/2020,19487.0,4101.0,1263.0,1045.0
4/28/2020,20113.0,4268.0,1295.0,1099.0
4/29/2020,20849.0,4402.0,1361.0,1168.0
4/30/2020,21742.0,4559.0,1432.0,1226.0
5/1/2020,23472.0,4718.0,1517.0,1276.0
5/2/2020,24473.0,4910.0,1590.0,1323.0
5/3/2020,25462.0,5051.0,1666.0,1372.0
5/4/2020,26408.0,5199.0,1695.0,1424.0
5/5/2020,27117.0,5337.0,1810.0,1476.0
5/6/2020,28163.0,5497.0,1903.0,1520.0
5/7/2020,29374.0,5663.0,2029.0,1580.0
5/8/2020,30485.0,5811.0,2041.0,1643.0
5/9/2020,31534.0,5932.0,2159.0,1692.0
5/10/2020,32587.0,5955.0,2293.0,1739.0
5/11/2020,33373.0,6183.0,2298.0,1788.0
5/12/2020,34061.0,6287.0,2394.0,1834.0
5/13/2020,34812.0,6404.0,2456.0,1881.0
5/14/2020,35903.0,6553.0,2569.0,1935.0
5/15/2020,36986.0,6679.0,2685.0,1991.0
5/16/2020,37968.0,6755.0,2806.0,2040.0
5/17/2020,38804.0,6993.0,2816.0,2090.0
5/18/2020,39762.0,7086.0,2817.0,2122.0
5/19/2020,41546.0,7199.0,2868.0,2164.0
5/20/2020,42323.0,7393.0,2993.0,2198.0
5/21/2020,43531.0,7485.0,3099.0,2221.0
5/22/2020,44424.0,7634.0,3243.0,2274.0
5/23/2020,45495.0,7825.0,3283.0,2306.0
5/24/2020,46313.0,7939.0,3319.0,2341.0
5/25/2020,47152.0,8092.0,3329.0,2379.0
5/26/2020,47687.0,8179.0,3334.0,2417.0
5/27/2020,48423.0,8281.0,3401.0,2458.0
5/28/2020,49709.0,8392.0,3468.0,2501.0
5/29/2020,50988.0,8479.0,3571.0,2538.0
5/30/2020,52015.0,8619.0,3649.0,2562.0
5/31/2020,52778.0,8738.0,3764.0,2596.0
6/1/2020,53327.0,8886.0,3782.0,2625.0
6/2/2020,54175.0,8957.0,3855.0,2646.0
6/3/2020,54982.0,9111.0,3970.0,2666.0
6/4/2020,55858.0,9217.0,3985.0,2668.0
6/5/2020,56770.0,9346.0,4159.0,2702.0
6/6/2020,57482.0,9451.0,4175.0,2740.0
6/7/2020,57973.0,9546.0,4240.0,2749.0
6/8/2020,58404.0,9629.0,4240.0,2776.0
6/9/2020,58904.0,9676.0,4279.0,2811.0
6/10/2020,59465.0,9755.0,4310.0,2844.0
6/11/2020,60197.0,9789.0,4365.0,2875.0
6/12/2020,60613.0,9923.0,4474.0,2900.0
6/13/2020,61305.0,10053.0,4536.0,2926.0
6/14/2020,61701.0,10165.0,4541.0,2939.0
6/15/2020,62032.0,10222.0,4567.0,2947.0
6/16/2020,62409.0,10262.0,4579.0,2982.0
6/17/2020,62969.0,10309.0,4596.0,2996.0
6/18/2020,63229.0,10357.0,4640.0,3016.0
6/19/2020,63548.0,10447.0,4685.0,3030.0
6/20/2020,63956.0,10497.0,4745.0,3052.0
6/21/2020,64306.0,10544.0,4773.0,3066.0
6/22/2020,64603.0,10572.0,4776.0,3074.0
6/23/2020,65007.0,10611.0,4797.0,3092.0
6/24/2020,65337.0,10648.0,4810.0,3108.0
6/25/2020,65777.0,10683.0,4874.0,3129.0
6/26/2020,66115.0,10725.0,4903.0,3142.0
6/27/2020,66450.0,10751.0,4935.0,3157.0
6/28/2020,66777.0,10793.0,4976.0,3168.0
