Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,1.0,0.0,0.0,0.0
3/13/2020,3.0,0.0,0.0,0.0
3/14/2020,3.0,0.0,0.0,0.0
3/15/2020,3.0,0.0,0.0,0.0
3/16/2020,17.0,0.0,0.0,0.0
3/17/2020,32.0,0.0,0.0,0.0
3/18/2020,43.0,0.0,0.0,0.0
3/19/2020,53.0,0.0,0.0,0.0
3/20/2020,57.0,0.0,0.0,0.0
3/21/2020,73.0,0.0,0.0,0.0
3/22/2020,89.0,0.0,0.0,0.0
3/23/2020,107.0,0.0,0.0,0.0
3/24/2020,125.0,0.0,0.0,0.0
3/25/2020,149.0,0.0,7.0,0.0
3/26/2020,155.0,0.0,16.0,0.0
3/27/2020,168.0,0.0,24.0,1.0
3/28/2020,211.0,0.0,36.0,1.0
3/29/2020,253.0,0.0,41.0,3.0
3/30/2020,275.0,49.0,41.0,3.0
3/31/2020,303.0,57.0,68.0,5.0
4/1/2020,344.0,63.0,80.0,7.0
4/2/2020,376.0,68.0,94.0,7.0
4/3/2020,432.0,75.0,113.0,9.0
4/4/2020,456.0,83.0,140.0,10.0
4/5/2020,470.0,86.0,156.0,10.0
4/6/2020,499.0,92.0,158.0,10.0
4/7/2020,519.0,99.0,176.0,12.0
4/8/2020,537.0,101.0,187.0,14.0
4/9/2020,560.0,105.0,202.0,16.0
4/10/2020,586.0,111.0,246.0,17.0
4/11/2020,616.0,114.0,256.0,19.0
4/12/2020,633.0,120.0,266.0,19.0
4/13/2020,698.0,124.0,273.0,19.0
4/14/2020,734.0,124.0,292.0,20.0
4/15/2020,770.0,126.0,305.0,24.0
4/16/2020,796.0,130.0,333.0,27.0
4/17/2020,827.0,133.0,352.0,29.0
4/18/2020,847.0,136.0,382.0,32.0
4/19/2020,867.0,136.0,393.0,34.0
4/20/2020,875.0,138.0,414.0,35.0
4/21/2020,888.0,139.0,443.0,36.0
4/22/2020,907.0,144.0,455.0,39.0
4/23/2020,937.0,150.0,485.0,44.0
4/24/2020,965.0,152.0,499.0,47.0
4/25/2020,990.0,156.0,519.0,50.0
4/26/2020,1015.0,159.0,532.0,50.0
4/27/2020,1023.0,161.0,549.0,51.0
4/28/2020,1040.0,163.0,585.0,51.0
4/29/2020,1056.0,166.0,615.0,52.0
4/30/2020,1095.0,170.0,631.0,53.0
5/1/2020,1123.0,177.0,657.0,55.0
5/2/2020,1152.0,181.0,689.0,56.0
5/3/2020,1185.0,183.0,706.0,57.0
5/4/2020,1205.0,186.0,720.0,57.0
5/5/2020,1226.0,187.0,741.0,61.0
5/6/2020,1254.0,191.0,766.0,62.0
5/7/2020,1330.0,192.0,787.0,62.0
5/8/2020,1374.0,194.0,836.0,63.0
5/9/2020,1408.0,198.0,857.0,64.0
5/10/2020,1436.0,199.0,861.0,64.0
5/11/2020,1462.0,200.0,872.0,65.0
5/12/2020,1477.0,202.0,913.0,65.0
5/13/2020,1515.0,204.0,943.0,66.0
5/14/2020,1565.0,207.0,958.0,69.0
5/15/2020,1603.0,211.0,993.0,69.0
5/16/2020,1648.0,214.0,1012.0,70.0
5/17/2020,1687.0,216.0,1028.0,70.0
5/18/2020,1713.0,223.0,1053.0,71.0
5/19/2020,1741.0,225.0,1088.0,73.0
5/20/2020,1819.0,231.0,1100.0,73.0
5/21/2020,1877.0,235.0,1145.0,73.0
5/22/2020,1948.0,240.0,1192.0,75.0
5/23/2020,2013.0,243.0,1232.0,77.0
5/24/2020,2055.0,252.0,1263.0,78.0
5/25/2020,2074.0,257.0,1290.0,78.0
5/26/2020,2109.0,258.0,1318.0,79.0
5/27/2020,2137.0,260.0,1357.0,81.0
5/28/2020,2189.0,264.0,1402.0,84.0
