Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,188.0,0.0,0.0,0.0
3/8/2020,251.0,0.0,0.0,0.0
3/9/2020,372.0,0.0,0.0,0.0
3/10/2020,528.0,0.0,0.0,0.0
3/11/2020,727.0,0.0,0.0,0.0
3/12/2020,997.0,0.0,0.0,1.0
3/13/2020,1361.0,0.0,0.0,1.0
3/14/2020,1728.0,0.0,0.0,1.0
3/15/2020,2188.0,0.0,0.0,1.0
3/16/2020,2895.0,0.0,0.0,2.0
3/17/2020,3659.0,0.0,0.0,2.0
3/18/2020,4531.0,0.0,0.0,5.0
3/19/2020,5276.0,0.0,0.0,10.0
3/20/2020,6219.0,0.0,0.0,13.0
3/21/2020,7023.0,0.0,0.0,23.0
3/22/2020,7822.0,0.0,0.0,36.0
3/23/2020,9062.0,0.0,0.0,57.0
3/24/2020,10155.0,0.0,0.0,86.0
3/25/2020,11335.0,0.0,0.0,111.0
3/26/2020,12475.0,0.0,0.0,159.0
3/27/2020,13799.0,0.0,0.0,212.0
3/28/2020,14865.0,0.0,0.0,283.0
3/29/2020,15784.0,0.0,0.0,351.0
3/30/2020,17363.0,0.0,0.0,437.0
3/31/2020,18654.0,0.0,0.0,551.0
4/1/2020,20246.0,0.0,0.0,676.0
4/2/2020,21376.0,0.0,0.0,801.0
4/3/2020,22579.0,0.0,56.0,918.0
4/4/2020,23581.0,0.0,56.0,1030.0
4/5/2020,24458.0,0.0,56.0,1150.0
4/6/2020,25785.0,0.0,56.0,1291.0
4/7/2020,26964.0,0.0,56.0,1449.0
4/8/2020,28064.0,0.0,56.0,1600.0
4/9/2020,29096.0,0.0,56.0,1756.0
4/10/2020,30172.0,0.0,56.0,1917.0
4/11/2020,30980.0,0.0,595.0,2081.0
4/12/2020,31666.0,0.0,433.0,2249.0
4/13/2020,32702.0,0.0,447.0,2391.0
4/14/2020,33613.0,0.0,452.0,2532.0
4/15/2020,34533.0,0.0,452.0,2672.0
4/16/2020,35455.0,0.0,617.0,2841.0
4/17/2020,36320.0,0.0,629.0,2984.0
4/18/2020,37029.0,0.0,3237.0,3107.0
4/19/2020,37557.0,0.0,3237.0,3236.0
4/20/2020,38494.0,0.0,3237.0,3347.0
4/21/2020,39589.0,0.0,3237.0,3471.0
4/22/2020,40705.0,0.0,3237.0,3602.0
4/23/2020,41694.0,0.0,3237.0,3711.0
4/24/2020,42730.0,0.0,3237.0,3818.0
4/25/2020,43263.0,0.0,8342.0,3929.0
4/26/2020,43789.0,0.0,8342.0,4036.0
4/27/2020,44709.0,0.0,8342.0,4148.0
4/28/2020,45538.0,0.0,8342.0,4247.0
4/29/2020,46488.0,0.0,8342.0,4335.0
