Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,2.0,0.0,0.0,0.0
3/8/2020,2.0,0.0,0.0,0.0
3/9/2020,5.0,0.0,0.0,0.0
3/10/2020,11.0,0.0,0.0,0.0
3/11/2020,21.0,0.0,0.0,0.0
3/12/2020,43.0,0.0,0.0,0.0
3/13/2020,62.0,0.0,0.0,0.0
3/14/2020,90.0,0.0,0.0,0.0
3/15/2020,128.0,0.0,0.0,0.0
3/16/2020,179.0,0.0,0.0,0.0
3/17/2020,246.0,0.0,0.0,0.0
3/18/2020,269.0,0.0,0.0,0.0
3/19/2020,287.0,0.0,0.0,0.0
3/20/2020,303.0,0.0,0.0,0.0
3/21/2020,327.0,0.0,0.0,1.0
3/22/2020,349.0,12.0,0.0,1.0
3/23/2020,393.0,17.0,0.0,1.0
3/24/2020,444.0,21.0,0.0,1.0
3/25/2020,502.0,35.0,121.0,1.0
3/26/2020,565.0,41.0,0.0,2.0
3/27/2020,640.0,51.0,176.0,4.0
3/28/2020,687.0,57.0,215.0,5.0
3/29/2020,725.0,75.0,243.0,9.0
3/30/2020,823.0,92.0,0.0,10.0
3/31/2020,916.0,112.0,0.0,12.0
4/1/2020,973.0,122.0,0.0,17.0
4/2/2020,1056.0,138.0,0.0,18.0
4/3/2020,1119.0,156.0,0.0,22.0
4/4/2020,1158.0,180.0,416.0,24.0
4/5/2020,1217.0,202.0,422.0,29.0
4/6/2020,1330.0,223.0,440.0,30.0
4/7/2020,1432.0,242.0,515.0,34.0
4/8/2020,1534.0,271.0,593.0,39.0
4/9/2020,1637.0,293.0,625.0,50.0
4/10/2020,1732.0,317.0,675.0,57.0
4/11/2020,1806.0,340.0,729.0,64.0
4/12/2020,1864.0,361.0,772.0,70.0
4/13/2020,2012.0,361.0,772.0,70.0
4/14/2020,2165.0,405.0,830.0,79.0
4/15/2020,2321.0,445.0,853.0,87.0
4/16/2020,2486.0,475.0,926.0,94.0
4/17/2020,2668.0,518.0,955.0,111.0
4/18/2020,2788.0,561.0,997.0,121.0
4/19/2020,2914.0,574.0,1026.0,134.0
4/20/2020,3190.0,602.0,1059.0,143.0
4/21/2020,3452.0,629.0,1094.0,160.0
4/22/2020,3758.0,660.0,1138.0,179.0
4/23/2020,4270.0,712.0,1336.0,200.0
4/24/2020,4788.0,756.0,1373.0,221.0
4/25/2020,5127.0,797.0,1410.0,244.0
4/26/2020,5512.0,829.0,1502.0,272.0
