Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,1.0,0.0,0.0,0.0
3/11/2020,1.0,0.0,0.0,0.0
3/12/2020,1.0,0.0,0.0,0.0
3/13/2020,2.0,0.0,0.0,0.0
3/14/2020,4.0,0.0,0.0,0.0
3/15/2020,5.0,0.0,0.0,0.0
3/16/2020,6.0,0.0,0.0,0.0
3/17/2020,8.0,0.0,0.0,0.0
3/18/2020,13.0,0.0,0.0,0.0
3/19/2020,24.0,0.0,0.0,1.0
3/20/2020,47.0,0.0,0.0,1.0
3/21/2020,73.0,0.0,0.0,3.0
3/22/2020,90.0,0.0,0.0,3.0
3/23/2020,183.0,0.0,0.0,3.0
3/24/2020,183.0,0.0,0.0,3.0
3/25/2020,356.0,0.0,0.0,8.0
3/26/2020,502.0,0.0,0.0,8.0
3/27/2020,669.0,0.0,0.0,8.0
3/28/2020,838.0,0.0,0.0,10.0
3/29/2020,838.0,0.0,0.0,10.0
3/30/2020,1031.0,0.0,0.0,13.0
3/31/2020,1327.0,0.0,0.0,14.0
4/1/2020,1581.0,0.0,0.0,18.0
4/2/2020,1834.0,0.0,0.0,19.0
4/3/2020,2113.0,0.0,0.0,19.0
4/4/2020,2291.0,0.0,0.0,24.0
4/5/2020,2367.0,0.0,0.0,34.0
4/6/2020,2722.0,0.0,0.0,39.0
4/7/2020,3037.0,0.0,0.0,53.0
4/8/2020,3327.0,0.0,0.0,58.0
4/9/2020,3539.0,0.0,0.0,77.0
4/10/2020,3799.0,0.0,0.0,96.0
4/11/2020,4024.0,0.0,0.0,109.0
4/12/2020,4160.0,0.0,0.0,110.0
4/13/2020,4388.0,0.0,0.0,114.0
4/14/2020,4686.0,0.0,0.0,133.0
4/15/2020,4895.0,0.0,0.0,147.0
4/16/2020,5111.0,0.0,0.0,152.0
4/17/2020,5283.0,0.0,0.0,165.0
4/18/2020,5517.0,0.0,0.0,175.0
4/19/2020,5667.0,0.0,0.0,176.0
4/20/2020,5807.0,0.0,0.0,177.0
4/21/2020,5941.0,0.0,0.0,189.0
4/22/2020,6137.0,0.0,0.0,208.0
4/23/2020,6321.0,0.0,0.0,218.0
4/24/2020,6625.0,0.0,0.0,262.0
4/25/2020,6826.0,0.0,0.0,273.0
4/26/2020,6997.0,0.0,0.0,274.0
4/27/2020,7171.0,0.0,0.0,288.0
4/28/2020,7303.0,0.0,0.0,314.0
4/29/2020,7425.0,0.0,0.0,318.0
4/30/2020,7562.0,0.0,0.0,329.0
5/1/2020,7835.0,0.0,0.0,337.0
5/2/2020,8154.0,0.0,0.0,351.0
5/3/2020,8386.0,0.0,0.0,352.0
5/4/2020,8754.0,0.0,0.0,358.0
5/5/2020,8916.0,0.0,0.0,377.0
5/6/2020,9102.0,0.0,0.0,396.0
5/7/2020,9341.0,0.0,0.0,418.0
5/8/2020,9489.0,0.0,0.0,449.0
5/9/2020,9666.0,0.0,0.0,472.0
5/10/2020,9844.0,0.0,0.0,482.0
5/11/2020,9918.0,0.0,0.0,488.0
5/12/2020,10006.0,0.0,0.0,524.0
5/13/2020,10142.0,0.0,0.0,542.0
5/14/2020,10317.0,0.0,0.0,562.0
5/15/2020,10456.0,0.0,0.0,576.0
5/16/2020,10675.0,0.0,0.0,589.0
5/17/2020,10789.0,0.0,0.0,594.0
5/18/2020,10945.0,0.0,0.0,605.0
5/19/2020,11080.0,0.0,0.0,616.0
5/20/2020,11232.0,0.0,0.0,631.0
5/21/2020,11340.0,0.0,0.0,661.0
5/22/2020,11558.0,0.0,0.0,671.0
5/23/2020,11752.0,0.0,0.0,676.0
5/24/2020,11988.0,0.0,0.0,681.0
5/25/2020,12167.0,0.0,0.0,685.0
5/26/2020,12291.0,0.0,0.0,686.0
5/27/2020,12492.0,0.0,0.0,696.0
5/28/2020,12673.0,0.0,0.0,707.0
5/29/2020,12795.0,0.0,0.0,738.0
5/30/2020,12962.0,0.0,0.0,771.0
5/31/2020,13147.0,0.0,0.0,772.0
6/1/2020,13327.0,0.0,0.0,773.0
6/2/2020,13575.0,0.0,0.0,783.0
6/3/2020,13767.0,0.0,0.0,786.0
6/4/2020,14057.0,0.0,0.0,786.0
6/5/2020,14253.0,0.0,0.0,799.0
6/6/2020,14442.0,0.0,0.0,809.0
6/7/2020,14553.0,0.0,0.0,809.0
6/8/2020,14734.0,0.0,0.0,819.0
6/9/2020,14913.0,0.0,0.0,840.0
6/10/2020,15187.0,0.0,0.0,848.0
6/11/2020,15390.0,0.0,0.0,860.0
6/12/2020,15585.0,0.0,0.0,872.0
6/13/2020,15810.0,0.0,0.0,879.0
6/14/2020,15810.0,0.0,0.0,879.0
6/15/2020,16189.0,0.0,0.0,880.0
6/16/2020,16414.0,0.0,0.0,882.0
6/17/2020,16625.0,0.0,0.0,909.0
6/18/2020,16908.0,0.0,0.0,946.0
6/19/2020,17201.0,0.0,0.0,948.0
6/20/2020,17590.0,0.0,0.0,955.0
6/21/2020,18003.0,0.0,0.0,956.0
6/22/2020,18143.0,0.0,0.0,961.0
6/23/2020,18143.0,0.0,0.0,961.0
6/24/2020,18868.0,0.0,0.0,975.0
6/25/2020,19421.0,0.0,0.0,982.0
6/26/2020,19914.0,0.0,0.0,990.0
6/27/2020,20261.0,0.0,0.0,996.0
6/28/2020,20575.0,0.0,0.0,997.0
6/29/2020,21043.0,0.0,0.0,998.0
6/30/2020,21551.0,0.0,0.0,1015.0
7/1/2020,21927.0,0.0,0.0,1017.0
7/2/2020,22283.0,0.0,0.0,1022.0
7/3/2020,22830.0,0.0,0.0,1026.0
7/4/2020,23215.0,0.0,0.0,1027.0
7/5/2020,23436.0,0.0,0.0,1028.0
7/6/2020,23856.0,0.0,0.0,1028.0
7/7/2020,24629.0,0.0,0.0,1042.0
7/8/2020,25204.0,0.0,0.0,1046.0
7/9/2020,25999.0,0.0,0.0,1051.0
7/10/2020,25999.0,0.0,0.0,1051.0
7/11/2020,27133.0,0.0,0.0,1069.0
7/12/2020,27443.0,0.0,0.0,1069.0
7/13/2020,27890.0,0.0,0.0,1083.0
7/14/2020,28826.0,0.0,0.0,1093.0
7/15/2020,29714.0,0.0,0.0,1102.0
7/16/2020,30422.0,0.0,0.0,1113.0
7/17/2020,31288.0,0.0,0.0,1121.0
7/18/2020,32248.0,0.0,0.0,1130.0
7/19/2020,33094.0,0.0,0.0,1129.0
7/20/2020,33624.0,0.0,0.0,1132.0
7/21/2020,34762.0,0.0,0.0,1143.0
7/22/2020,36063.0,0.0,0.0,1159.0
7/23/2020,37700.0,0.0,0.0,1179.0
7/24/2020,39352.0,0.0,0.0,1178.0
7/25/2020,40709.0,0.0,0.0,1182.0
7/26/2020,41927.0,0.0,0.0,1197.0
7/27/2020,43050.0,0.0,0.0,1201.0
7/28/2020,44823.0,0.0,0.0,1213.0
7/29/2020,46750.0,0.0,0.0,1220.0
7/30/2020,48834.0,0.0,0.0,1233.0
7/31/2020,50323.0,0.0,0.0,1243.0
8/1/2020,51258.0,0.0,0.0,1253.0
8/2/2020,51840.0,0.0,0.0,1253.0
8/3/2020,52887.0,0.0,0.0,1255.0
8/4/2020,54080.0,0.0,0.0,1266.0
8/5/2020,55321.0,0.0,0.0,1272.0
8/6/2020,56383.0,0.0,0.0,1280.0
8/7/2020,57379.0,0.0,0.0,1301.0
8/8/2020,57379.0,0.0,0.0,1301.0
8/9/2020,57379.0,0.0,0.0,1301.0
8/10/2020,59954.0,0.0,0.0,1307.0
8/11/2020,60935.0,0.0,0.0,1312.0
8/12/2020,62530.0,0.0,0.0,1323.0
8/13/2020,63797.0,0.0,0.0,1325.0
8/14/2020,65270.0,0.0,0.0,1335.0
