Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,1.0,0.0,0.0,0.0
3/13/2020,4.0,0.0,0.0,0.0
3/14/2020,6.0,0.0,0.0,0.0
3/15/2020,10.0,0.0,0.0,0.0
3/16/2020,12.0,0.0,0.0,0.0
3/17/2020,21.0,0.0,0.0,0.0
3/18/2020,34.0,0.0,0.0,0.0
3/19/2020,50.0,0.0,0.0,0.0
3/20/2020,80.0,0.0,0.0,1.0
3/21/2020,140.0,0.0,0.0,1.0
3/22/2020,207.0,33.0,0.0,1.0
3/23/2020,249.0,33.0,0.0,1.0
3/24/2020,320.0,86.0,0.0,1.0
3/25/2020,377.0,117.0,0.0,2.0
3/26/2020,485.0,150.0,0.0,6.0
3/27/2020,579.0,185.0,0.0,8.0
3/28/2020,663.0,219.0,0.0,13.0
3/29/2020,758.0,235.0,0.0,14.0
3/30/2020,847.0,195.0,0.0,16.0
3/31/2020,937.0,211.0,0.0,20.0
4/1/2020,1073.0,332.0,0.0,22.0
4/2/2020,1177.0,360.0,0.0,26.0
4/3/2020,1358.0,420.0,0.0,29.0
4/4/2020,1455.0,436.0,0.0,35.0
4/5/2020,1638.0,475.0,0.0,43.0
4/6/2020,1738.0,475.0,0.0,51.0
4/7/2020,1915.0,377.0,0.0,59.0
4/8/2020,2003.0,410.0,0.0,67.0
4/9/2020,2260.0,441.0,0.0,76.0
4/10/2020,2469.0,482.0,0.0,82.0
4/11/2020,2642.0,528.0,0.0,93.0
4/12/2020,2781.0,548.0,0.0,96.0
4/13/2020,2942.0,549.0,0.0,98.0
4/14/2020,3087.0,596.0,0.0,111.0
4/15/2020,3360.0,645.0,0.0,122.0
4/16/2020,3624.0,682.0,0.0,129.0
4/17/2020,3793.0,736.0,0.0,140.0
4/18/2020,3974.0,782.0,0.0,152.0
4/19/2020,4274.0,808.0,0.0,159.0
4/20/2020,4512.0,819.0,0.0,169.0
4/21/2020,4716.0,858.0,0.0,183.0
4/22/2020,4894.0,910.0,0.0,193.0
4/23/2020,5153.0,946.0,0.0,201.0
4/24/2020,5434.0,970.0,0.0,209.0
4/25/2020,5718.0,996.0,0.0,221.0
4/26/2020,5911.0,1001.0,0.0,227.0
4/27/2020,6094.0,1060.0,0.0,229.0
4/28/2020,6342.0,1088.0,0.0,239.0
4/29/2020,6569.0,1126.0,3413.0,250.0
4/30/2020,6815.0,1175.0,3413.0,261.0
5/1/2020,7212.0,1226.0,3413.0,281.0
5/2/2020,7441.0,1265.0,3413.0,291.0
5/3/2020,7550.0,1298.0,3413.0,303.0
5/4/2020,7877.0,1316.0,4421.0,310.0
5/5/2020,8207.0,1352.0,4421.0,342.0
5/6/2020,8424.0,1392.0,4421.0,374.0
5/7/2020,8686.0,1442.0,4421.0,396.0
5/8/2020,9090.0,1478.0,4421.0,409.0
5/9/2020,9378.0,1512.0,4421.0,421.0
5/10/2020,9501.0,1531.0,4421.0,430.0
5/11/2020,9674.0,1546.0,6268.0,435.0
5/12/2020,9908.0,1582.0,6268.0,457.0
5/13/2020,10090.0,1616.0,6268.0,465.0
5/14/2020,10483.0,1667.0,6268.0,480.0
5/15/2020,10801.0,1712.0,6268.0,493.0
5/16/2020,11123.0,1748.0,6268.0,510.0
5/17/2020,11296.0,1773.0,6268.0,521.0
5/18/2020,11432.0,1805.0,7681.0,528.0
5/19/2020,11704.0,1840.0,7681.0,554.0
5/20/2020,11967.0,1901.0,7681.0,570.0
5/21/2020,12222.0,1932.0,7681.0,580.0
5/22/2020,12624.0,1966.0,7681.0,596.0
5/23/2020,13005.0,1996.0,7681.0,616.0
5/24/2020,13252.0,2023.0,7681.0,625.0
5/25/2020,13458.0,2046.0,9401.0,635.0
