Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,1,0,0,0
3/13/2020,1,0,0,0
3/14/2020,5,0,0,0
3/15/2020,7,0,0,0
3/16/2020,7,0,0,0
3/17/2020,8,0,0,0
3/18/2020,10,0,0,0
3/19/2020,12,0,0,0
3/20/2020,16,0,0,0
3/21/2020,20,0,0,0
3/22/2020,31,0,0,0
3/23/2020,34,0,0,0
3/24/2020,46,0,0,0
3/25/2020,53,0,0,0
3/26/2020,71,1,0,0
3/27/2020,108,7,0,0
3/28/2020,129,7,0,1
3/29/2020,154,8,0,1
3/30/2020,171,10,0,4
3/31/2020,184,14,0,4
4/1/2020,208,17,0,5
4/2/2020,227,20,0,5
4/3/2020,243,24,0,5
4/4/2020,265,24,0,5
4/5/2020,286,24,0,6
4/6/2020,299,24,0,6
4/7/2020,319,28,0,6
4/8/2020,332,31,135,6
4/9/2020,354,36,157,6
4/10/2020,365,41,165,6
4/11/2020,377,46,169,6
4/12/2020,387,47,169,6
4/13/2020,394,47,171,7
4/14/2020,399,50,197,7
4/15/2020,404,51,209,7
4/16/2020,415,52,218,7
4/17/2020,422,54,233,8
4/18/2020,426,55,234,10
4/19/2020,433,55,243,10
4/20/2020,433,57,243,10
4/21/2020,437,59,273,12
4/22/2020,439,59,296,14
4/23/2020,442,59,306,14
4/24/2020,444,59,325,14
4/25/2020,445,61,339,14
4/26/2020,448,61,339,14
4/27/2020,449,61,352,14
4/28/2020,451,61,356,15
4/29/2020,451,61,382,16
4/30/2020,453,61,392,16
5/1/2020,453,61,397,16
5/2/2020,455,61,404,16
5/3/2020,455,61,404,16
5/4/2020,457,62,404,16
5/5/2020,456,62,410,16
5/6/2020,456,62,417,16
5/7/2020,456,62,417,16
5/8/2020,458,62,420,16
5/9/2020,458,62,422,16
5/10/2020,458,62,422,16
5/11/2020,459,62,423,16
5/12/2020,461,63,425,16
5/13/2020,462,63,430,16
5/14/2020,462,63,431,16
5/15/2020,466,63,431,16
5/16/2020,468,63,431,16
5/17/2020,468,63,431,16
5/18/2020,470,64,434,16
5/19/2020,471,65,437,16
5/20/2020,478,65,440,16
5/21/2020,479,65,440,16
5/22/2020,479,65,441,16
5/23/2020,479,65,441,16
5/24/2020,479,65,441,16
5/25/2020,479,65,441,16
5/26/2020,479,65,441,17
5/27/2020,481,66,444,17
5/28/2020,485,66,445,17
5/29/2020,493,67,448,17
5/30/2020,505,67,448,17
5/31/2020,515,67,456,17
6/1/2020,519,67,461,17
6/2/2020,523,67,462,17
6/3/2020,525,68,464,17
6/4/2020,539,68,467,17
6/5/2020,541,68,470,18
6/6/2020,540,68,472,18
6/7/2020,545,69,475,18
6/8/2020,548,69,475,18
6/9/2020,554,72,485,18
6/10/2020,561,74,487,18
6/11/2020,563,74,487,18
6/12/2020,573,77,489,18
6/13/2020,588,77,510,18
6/14/2020,601,77,510,19
6/15/2020,609,78,510,19
6/16/2020,614,79,535,19
6/17/2020,630,78,538,20
6/18/2020,655,81,545,20
6/19/2020,666,82,546,20
6/20/2020,698,85,548,20
6/21/2020,717,89,548,20
6/22/2020,740,90,548,21
6/23/2020,743,91,566,21
6/24/2020,766,93,571,21
6/25/2020,803,93,572,21
6/26/2020,829,95,589,22
6/27/2020,852,95,604,22
6/28/2020,863,97,604,22
6/29/2020,919,100,609,22
6/30/2020,967,101,642,22
7/1/2020,1016,105,658,22
7/2/2020,1083,106,672,22
7/3/2020,1128,109,678,23
7/4/2020,1167,112,678,23
7/5/2020,1212,112,678,23
7/6/2020,1249,112,678,23
7/7/2020,1327,117,716,23
7/8/2020,1371,117,759,23
7/9/2020,1466,120,796,25
7/10/2020,1593,123,855,28
7/11/2020,1677,127,864,29
7/12/2020,1758,128,865,29
7/13/2020,1843,133,875,32
7/14/2020,1952,136,884,34
7/15/2020,2096,145,915,34
7/16/2020,2231,150,970,35
7/17/2020,2366,159,992,37
7/18/2020,2471,164,1075,37
7/19/2020,2533,165,1075,37
7/20/2020,2621,167,1334,39
7/21/2020,2712,174,1493,40
7/22/2020,2813,179,1543,42
7/23/2020,2910,183,1587,43
7/24/2020,3039,191,1815,46
7/25/2020,3260,195,1977,46
7/26/2020,3342,199,2079,46
7/27/2020,3381,201,2090,47
7/28/2020,3475,205,2104,51
7/29/2020,3676,211,2212,54
7/30/2020,3814,221,2240,55
7/31/2020,3965,230,2331,60
8/1/2020,4081,230,2456,61
8/2/2020,4193,233,2466,61
8/3/2020,4233,236,2653,64
