Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,2.0,0.0,0.0,0.0
3/8/2020,2.0,0.0,0.0,0.0
3/9/2020,2.0,0.0,0.0,0.0
3/10/2020,7.0,0.0,0.0,0.0
3/11/2020,7.0,0.0,0.0,0.0
3/12/2020,12.0,0.0,0.0,0.0
3/13/2020,15.0,0.0,0.0,0.0
3/14/2020,23.0,0.0,0.0,0.0
3/15/2020,32.0,0.0,0.0,0.0
3/16/2020,33.0,0.0,0.0,0.0
3/17/2020,40.0,0.0,0.0,0.0
3/18/2020,63.0,0.0,0.0,0.0
3/19/2020,97.0,0.0,0.0,0.0
3/20/2020,137.0,0.0,0.0,0.0
3/21/2020,184.0,0.0,0.0,0.0
3/22/2020,255.0,0.0,0.0,0.0
3/23/2020,297.0,0.0,0.0,0.0
3/24/2020,398.0,0.0,0.0,0.0
3/25/2020,504.0,0.0,0.0,1.0
3/26/2020,636.0,0.0,0.0,2.0
3/27/2020,763.0,0.0,0.0,3.0
3/28/2020,935.0,0.0,0.0,4.0
3/29/2020,1040.0,0.0,0.0,4.0
3/30/2020,1307.0,0.0,0.0,6.0
3/31/2020,1498.0,0.0,0.0,8.0
4/1/2020,1584.0,0.0,0.0,10.0
4/2/2020,1857.0,0.0,0.0,16.0
4/3/2020,2093.0,0.0,0.0,19.0
4/4/2020,2402.0,0.0,0.0,24.0
4/5/2020,2585.0,0.0,0.0,31.0
4/6/2020,2870.0,0.0,0.0,33.0
4/7/2020,3221.0,0.0,0.0,46.0
4/8/2020,3426.0,0.0,0.0,53.0
4/9/2020,3651.0,0.0,0.0,65.0
4/10/2020,3908.0,0.0,0.0,74.0
4/11/2020,4312.0,0.0,0.0,80.0
4/12/2020,4520.0,0.0,0.0,81.0
4/13/2020,4816.0,0.0,0.0,86.0
4/14/2020,5024.0,0.0,0.0,108.0
4/15/2020,5123.0,0.0,0.0,117.0
4/16/2020,5465.0,0.0,0.0,131.0
4/17/2020,5859.0,0.0,0.0,152.0
4/18/2020,6140.0,0.0,0.0,164.0
4/19/2020,6493.0,0.0,0.0,172.0
4/20/2020,6764.0,0.0,0.0,179.0
4/21/2020,6951.0,0.0,0.0,213.0
4/22/2020,7220.0,0.0,0.0,242.0
4/23/2020,7608.0,0.0,0.0,253.0
4/24/2020,8052.0,0.0,0.0,269.0
4/25/2020,8623.0,0.0,0.0,289.0
4/26/2020,8830.0,0.0,0.0,299.0
