Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,1.0,0.0,0.0,0.0
3/13/2020,1.0,0.0,0.0,0.0
3/14/2020,1.0,0.0,0.0,0.0
3/15/2020,1.0,0.0,0.0,0.0
3/16/2020,1.0,0.0,0.0,0.0
3/17/2020,1.0,0.0,0.0,0.0
3/18/2020,6.0,0.0,0.0,0.0
3/19/2020,15.0,0.0,0.0,0.0
3/20/2020,20.0,0.0,0.0,0.0
3/21/2020,28.0,3.0,0.0,0.0
3/22/2020,28.0,3.0,0.0,0.0
3/23/2020,30.0,4.0,0.0,0.0
3/24/2020,33.0,5.0,0.0,0.0
3/25/2020,39.0,8.0,0.0,0.0
3/26/2020,52.0,10.0,0.0,0.0
3/27/2020,61.0,13.0,15.0,0.0
3/28/2020,80.0,16.0,16.0,1.0
3/29/2020,97.0,17.0,18.0,1.0
3/30/2020,107.0,19.0,19.0,2.0
3/31/2020,117.0,21.0,30.0,3.0
4/1/2020,139.0,23.0,34.0,3.0
4/2/2020,159.0,28.0,43.0,3.0
4/3/2020,173.0,29.0,55.0,3.0
4/4/2020,186.0,30.0,63.0,3.0
4/5/2020,207.0,31.0,63.0,3.0
4/6/2020,225.0,32.0,74.0,3.0
4/7/2020,237.0,33.0,82.0,4.0
4/8/2020,251.0,34.0,98.0,4.0
4/9/2020,269.0,34.0,101.0,5.0
4/10/2020,278.0,36.0,105.0,6.0
4/11/2020,293.0,36.0,119.0,7.0
4/12/2020,308.0,39.0,121.0,8.0
4/13/2020,331.0,40.0,127.0,8.0
4/14/2020,341.0,42.0,138.0,9.0
4/15/2020,364.0,44.0,142.0,9.0
4/16/2020,392.0,45.0,163.0,9.0
4/17/2020,438.0,47.0,172.0,9.0
4/18/2020,528.0,47.0,183.0,9.0
4/19/2020,584.0,51.0,189.0,10.0
4/20/2020,626.0,53.0,189.0,13.0
4/21/2020,644.0,54.0,214.0,13.0
4/22/2020,677.0,62.0,229.0,14.0
4/23/2020,709.0,65.0,269.0,15.0
4/24/2020,747.0,67.0,285.0,15.0
4/25/2020,803.0,70.0,310.0,16.0
4/26/2020,867.0,71.0,326.0,17.0
4/27/2020,942.0,77.0,350.0,19.0
4/28/2020,991.0,79.0,409.0,19.0
4/29/2020,1033.0,82.0,437.0,19.0
4/30/2020,1067.0,85.0,458.0,19.0
5/1/2020,1107.0,86.0,482.0,23.0
5/2/2020,1153.0,90.0,510.0,24.0
5/3/2020,1191.0,90.0,517.0,25.0
5/4/2020,1225.0,94.0,540.0,25.0
5/5/2020,1264.0,95.0,559.0,25.0
5/6/2020,1320.0,97.0,582.0,31.0
5/7/2020,1369.0,102.0,601.0,31.0
5/8/2020,1422.0,104.0,714.0,33.0
5/9/2020,1462.0,110.0,762.0,35.0
5/10/2020,1488.0,110.0,792.0,35.0
5/11/2020,1514.0,115.0,846.0,36.0
5/12/2020,1566.0,122.0,877.0,38.0
5/13/2020,1640.0,127.0,969.0,40.0
5/14/2020,1707.0,129.0,1007.0,40.0
5/15/2020,1758.0,130.0,1071.0,42.0
5/16/2020,1845.0,130.0,1111.0,42.0
5/17/2020,1896.0,130.0,1178.0,43.0
5/18/2020,1927.0,133.0,1219.0,44.0
5/19/2020,1987.0,135.0,1269.0,45.0
5/20/2020,2068.0,142.0,1302.0,49.0
5/21/2020,2163.0,144.0,1340.0,51.0
5/22/2020,2233.0,147.0,1405.0,52.0
5/23/2020,2282.0,150.0,1451.0,52.0
5/24/2020,2336.0,152.0,1496.0,53.0
5/25/2020,2376.0,154.0,1551.0,54.0
5/26/2020,2419.0,156.0,1701.0,54.0
5/27/2020,2436.0,161.0,1762.0,59.0
5/28/2020,2477.0,161.0,1793.0,60.0
