Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,2.0,0.0,0.0,0.0
3/8/2020,4.0,0.0,0.0,0.0
3/9/2020,4.0,0.0,0.0,0.0
3/10/2020,4.0,0.0,0.0,0.0
3/11/2020,4.0,0.0,0.0,0.0
3/12/2020,6.0,0.0,0.0,0.0
3/13/2020,6.0,0.0,0.0,0.0
3/14/2020,7.0,0.0,0.0,0.0
3/15/2020,13.0,0.0,0.0,0.0
3/16/2020,17.0,0.0,0.0,0.0
3/17/2020,26.0,0.0,0.0,0.0
3/18/2020,39.0,0.0,0.0,0.0
3/19/2020,44.0,0.0,0.0,0.0
3/20/2020,55.0,0.0,0.0,0.0
3/21/2020,65.0,0.0,0.0,0.0
3/22/2020,78.0,0.0,0.0,0.0
3/23/2020,101.0,11.0,0.0,1.0
3/24/2020,108.0,13.0,0.0,1.0
3/25/2020,137.0,19.0,0.0,1.0
3/26/2020,158.0,25.0,0.0,1.0
3/27/2020,187.0,30.0,0.0,2.0
3/28/2020,214.0,33.0,0.0,2.0
3/29/2020,258.0,39.0,0.0,3.0
3/30/2020,314.0,45.0,0.0,3.0
3/31/2020,367.0,49.0,56.0,3.0
4/1/2020,415.0,58.0,91.0,4.0
4/2/2020,479.0,73.0,101.0,5.0
4/3/2020,540.0,80.0,144.0,7.0
4/4/2020,621.0,86.0,146.0,9.0
4/5/2020,669.0,92.0,147.0,9.0
4/6/2020,715.0,103.0,151.0,9.0
4/7/2020,747.0,108.0,211.0,13.0
4/8/2020,788.0,118.0,227.0,18.0
4/9/2020,819.0,124.0,234.0,21.0
4/10/2020,885.0,134.0,234.0,22.0
4/11/2020,929.0,146.0,236.0,23.0
4/12/2020,985.0,152.0,239.0,23.0
4/13/2020,1020.0,152.0,249.0,23.0
4/14/2020,1091.0,163.0,329.0,27.0
4/15/2020,1139.0,178.0,365.0,32.0
4/16/2020,1211.0,187.0,455.0,34.0
4/17/2020,1287.0,190.0,468.0,37.0
4/18/2020,1342.0,192.0,513.0,38.0
4/19/2020,1392.0,198.0,521.0,41.0
4/20/2020,1447.0,201.0,521.0,42.0
4/21/2020,1491.0,206.0,546.0,42.0
4/22/2020,1588.0,213.0,550.0,48.0
4/23/2020,1670.0,218.0,551.0,51.0
4/24/2020,1720.0,224.0,578.0,53.0
4/25/2020,1787.0,238.0,777.0,60.0
4/26/2020,1864.0,242.0,779.0,60.0
4/27/2020,1938.0,246.0,798.0,60.0
4/28/2020,2010.0,249.0,936.0,60.0
4/29/2020,2054.0,259.0,980.0,66.0
4/30/2020,2146.0,262.0,980.0,72.0
5/1/2020,2310.0,270.0,980.0,81.0
