Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,4.0,0.0,0.0,0.0
3/8/2020,6.0,0.0,0.0,0.0
3/9/2020,15.0,0.0,0.0,0.0
3/10/2020,16.0,0.0,0.0,0.0
3/11/2020,23.0,0.0,0.0,1.0
3/12/2020,32.0,0.0,0.0,1.0
3/13/2020,57.0,0.0,0.0,1.0
3/14/2020,78.0,0.0,0.0,1.0
3/15/2020,98.0,0.0,0.0,2.0
3/16/2020,178.0,0.0,0.0,2.0
3/17/2020,267.0,0.0,0.0,4.0
3/18/2020,429.0,0.0,0.0,7.0
3/19/2020,742.0,0.0,0.0,13.0
3/20/2020,890.0,0.0,0.0,16.0
3/21/2020,1327.0,0.0,0.0,22.0
3/22/2020,1914.0,0.0,0.0,29.0
3/23/2020,2844.0,0.0,0.0,40.0
3/24/2020,3675.0,0.0,0.0,60.0
3/25/2020,4402.0,0.0,0.0,81.0
3/26/2020,6876.0,0.0,0.0,108.0
3/27/2020,8825.0,0.0,0.0,140.0
3/28/2020,11124.0,0.0,0.0,191.0
3/29/2020,13386.0,0.0,0.0,217.0
3/30/2020,16636.0,0.0,0.0,266.0
3/31/2020,18696.0,0.0,0.0,364.0
4/1/2020,22255.0,0.0,0.0,475.0
4/2/2020,25590.0,0.0,0.0,680.0
4/3/2020,29895.0,0.0,0.0,816.0
4/4/2020,34124.0,0.0,0.0,1058.0
4/5/2020,37505.0,0.0,0.0,1184.0
4/6/2020,41090.0,0.0,0.0,1334.0
4/7/2020,44416.0,0.0,0.0,1631.0
4/8/2020,47437.0,0.0,0.0,1969.0
4/9/2020,51027.0,0.0,0.0,2236.0
4/10/2020,54588.0,0.0,0.0,2521.0
4/11/2020,58151.0,0.0,0.0,2844.0
4/12/2020,61850.0,0.0,0.0,3084.0
4/13/2020,64584.0,0.0,0.0,3248.0
4/14/2020,68824.0,0.0,0.0,3659.0
4/15/2020,71030.0,0.0,0.0,4068.0
4/16/2020,75317.0,0.0,0.0,4489.0
4/17/2020,78467.0,0.0,0.0,4853.0
4/18/2020,81420.0,0.0,0.0,5139.0
4/19/2020,85301.0,0.0,0.0,5310.0
4/20/2020,88806.0,0.0,0.0,5518.0
4/21/2020,92387.0,0.0,0.0,5932.0
4/22/2020,95865.0,0.0,0.0,6275.0
4/23/2020,99989.0,0.0,0.0,6607.0
4/24/2020,102196.0,0.0,0.0,6886.0
4/25/2020,105523.0,0.0,0.0,7166.0
4/26/2020,109038.0,0.0,0.0,7268.0
4/27/2020,111188.0,0.0,0.0,7407.0
4/28/2020,113856.0,0.0,0.0,7835.0
4/29/2020,116264.0,0.0,0.0,8184.0
4/30/2020,118652.0,0.0,0.0,8664.0
5/1/2020,121190.0,0.0,0.0,9000.0
5/2/2020,123731.0,0.0,0.0,9225.0
5/3/2020,126762.0,0.0,0.0,9380.0
5/4/2020,128288.0,0.0,0.0,9442.0
5/5/2020,130620.0,0.0,0.0,9783.0
5/6/2020,131928.0,0.0,0.0,10104.0
5/7/2020,133677.0,0.0,0.0,10368.0
5/8/2020,135504.0,0.0,0.0,10538.0
5/9/2020,137150.0,0.0,0.0,10715.0
5/10/2020,138607.0,0.0,0.0,10866.0
5/11/2020,140022.0,0.0,0.0,10926.0
5/12/2020,140835.0,0.0,0.0,11138.0
5/13/2020,141668.0,0.0,0.0,11340.0
5/14/2020,142825.0,0.0,0.0,11592.0
5/15/2020,144044.0,0.0,0.0,11789.0
5/16/2020,145241.0,0.0,0.0,11903.0
5/17/2020,146492.0,0.0,0.0,12013.0
5/18/2020,148204.0,0.0,0.0,12096.0
5/19/2020,149192.0,0.0,0.0,12248.0
5/20/2020,150597.0,0.0,0.0,12416.0
5/21/2020,151697.0,0.0,0.0,12518.0
5/22/2020,152962.0,0.0,0.0,12666.0
5/23/2020,153372.0,0.0,0.0,12765.0
5/24/2020,154427.0,0.0,0.0,12819.0
5/25/2020,155370.0,0.0,0.0,12834.0
5/26/2020,156046.0,16373.0,0.0,12886.0
5/27/2020,156926.0,16597.0,0.0,13037.0
5/28/2020,158130.0,16778.0,0.0,13104.0
5/29/2020,159180.0,16960.0,0.0,13239.0
5/30/2020,159958.0,17121.0,0.0,13345.0
5/31/2020,160804.0,17197.0,0.0,13412.0
6/1/2020,161278.0,17222.0,0.0,13438.0
6/2/2020,161918.0,17390.0,0.0,13490.0
6/3/2020,162472.0,17390.0,0.0,13602.0
6/4/2020,162952.0,17604.0,0.0,13697.0
6/5/2020,163774.0,17880.0,0.0,13779.0
