Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,4.0,0.0,0.0,0.0
3/13/2020,6.0,0.0,0.0,0.0
3/14/2020,10.0,0.0,0.0,0.0
3/15/2020,13.0,0.0,0.0,0.0
3/16/2020,17.0,0.0,0.0,0.0
3/17/2020,21.0,0.0,0.0,0.0
3/18/2020,23.0,0.0,0.0,0.0
3/19/2020,28.0,0.0,0.0,0.0
3/20/2020,35.0,0.0,0.0,0.0
3/21/2020,43.0,0.0,0.0,0.0
3/22/2020,57.0,0.0,0.0,0.0
3/23/2020,65.0,0.0,0.0,0.0
3/24/2020,83.0,0.0,0.0,1.0
3/25/2020,100.0,0.0,0.0,1.0
3/26/2020,112.0,0.0,0.0,1.0
3/27/2020,136.0,0.0,0.0,1.0
3/28/2020,191.0,0.0,2.0,2.0
3/29/2020,208.0,0.0,26.0,2.0
3/30/2020,237.0,0.0,26.0,4.0
3/31/2020,281.0,0.0,26.0,5.0
4/1/2020,315.0,0.0,26.0,6.0
4/2/2020,363.0,0.0,26.0,7.0
4/3/2020,403.0,0.0,26.0,10.0
4/4/2020,495.0,0.0,54.0,11.0
4/5/2020,543.0,0.0,130.0,12.0
4/6/2020,624.0,0.0,133.0,12.0
4/7/2020,686.0,0.0,171.0,13.0
4/8/2020,794.0,0.0,201.0,16.0
4/9/2020,865.0,0.0,217.0,19.0
4/10/2020,989.0,0.0,235.0,19.0
4/11/2020,1091.0,0.0,235.0,20.0
4/12/2020,1174.0,0.0,235.0,26.0
4/13/2020,1245.0,181.0,304.0,31.0
4/14/2020,1345.0,181.0,340.0,36.0
4/15/2020,1484.0,215.0,353.0,36.0
4/16/2020,1597.0,230.0,353.0,44.0
4/17/2020,1711.0,242.0,382.0,51.0
4/18/2020,1798.0,258.0,465.0,53.0
4/19/2020,1845.0,274.0,487.0,55.0
4/20/2020,1971.0,291.0,501.0,58.0
4/21/2020,2072.0,306.0,529.0,65.0
4/22/2020,2210.0,331.0,547.0,71.0
4/23/2020,2379.0,367.0,573.0,78.0
4/24/2020,2521.0,412.0,614.0,84.0
4/25/2020,2660.0,412.0,614.0,93.0
4/26/2020,2726.0,412.0,650.0,99.0
4/27/2020,2823.0,481.0,666.0,104.0
4/28/2020,2974.0,509.0,705.0,110.0
4/29/2020,3213.0,536.0,734.0,112.0
4/30/2020,3411.0,536.0,760.0,123.0
5/1/2020,3513.0,587.0,785.0,131.0
5/2/2020,3732.0,587.0,812.0,139.0
5/3/2020,3850.0,587.0,832.0,151.0
5/4/2020,4031.0,667.0,842.0,156.0
5/5/2020,4138.0,687.0,964.0,162.0
5/6/2020,4291.0,687.0,1073.0,169.0
5/7/2020,4493.0,760.0,1125.0,172.0
5/8/2020,4673.0,789.0,1189.0,181.0
5/9/2020,4778.0,789.0,1268.0,191.0
5/10/2020,4863.0,789.0,1285.0,200.0
5/11/2020,5069.0,886.0,1300.0,208.0
5/12/2020,5212.0,886.0,1434.0,219.0
5/13/2020,5364.0,886.0,1515.0,231.0
5/14/2020,5503.0,886.0,1576.0,242.0
5/15/2020,5662.0,886.0,1671.0,253.0
5/16/2020,5847.0,886.0,1739.0,259.0
5/17/2020,5938.0,886.0,1755.0,265.0
5/18/2020,6096.0,886.0,1796.0,270.0
5/19/2020,6192.0,886.0,1882.0,276.0
5/20/2020,6317.0,1139.0,1985.0,283.0
5/21/2020,6472.0,1139.0,2041.0,294.0
5/22/2020,6625.0,1139.0,2149.0,302.0
5/23/2020,6795.0,1139.0,2357.0,308.0
5/24/2020,6943.0,1243.0,2464.0,317.0
5/25/2020,7026.0,1264.0,2522.0,320.0
5/26/2020,7130.0,1282.0,2564.0,325.0
5/27/2020,7252.0,1282.0,2638.0,329.0
