Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,4.0,0.0,0.0,0.0
3/8/2020,4.0,0.0,0.0,0.0
3/9/2020,5.0,0.0,0.0,0.0
3/10/2020,5.0,0.0,0.0,0.0
3/11/2020,9.0,0.0,0.0,0.0
3/12/2020,12.0,0.0,0.0,0.0
3/13/2020,22.0,0.0,0.0,0.0
3/14/2020,34.0,0.0,0.0,0.0
3/15/2020,45.0,0.0,0.0,1.0
3/16/2020,63.0,0.0,0.0,1.0
3/17/2020,73.0,0.0,0.0,1.0
3/18/2020,78.0,0.0,0.0,2.0
3/19/2020,101.0,0.0,0.0,3.0
3/20/2020,109.0,0.0,0.0,3.0
3/21/2020,124.0,0.0,0.0,5.0
3/22/2020,154.0,0.0,0.0,7.0
3/23/2020,190.0,0.0,0.0,8.0
3/24/2020,278.0,0.0,0.0,13.0
3/25/2020,321.0,0.0,0.0,13.0
3/26/2020,420.0,0.0,0.0,17.0
3/27/2020,535.0,0.0,0.0,21.0
3/28/2020,621.0,0.0,0.0,25.0
3/29/2020,738.0,0.0,0.0,28.0
3/30/2020,996.0,0.0,0.0,32.0
3/31/2020,1113.0,0.0,0.0,37.0
4/1/2020,1279.0,0.0,0.0,45.0
4/2/2020,1458.0,0.0,0.0,51.0
4/3/2020,1514.0,0.0,0.0,59.0
4/4/2020,1742.0,0.0,0.0,70.0
4/5/2020,1836.0,0.0,0.0,76.0
4/6/2020,1953.0,0.0,0.0,79.0
4/7/2020,2087.0,0.0,0.0,91.0
4/8/2020,2318.0,0.0,0.0,101.0
4/9/2020,2456.0,0.0,0.0,110.0
4/10/2020,2584.0,0.0,0.0,120.0
4/11/2020,2700.0,0.0,0.0,125.0
4/12/2020,2836.0,0.0,0.0,128.0
4/13/2020,2971.0,0.0,0.0,133.0
4/14/2020,3088.0,0.0,0.0,141.0
4/15/2020,3211.0,0.0,0.0,150.0
4/16/2020,3321.0,0.0,0.0,158.0
4/17/2020,3524.0,0.0,0.0,162.0
4/18/2020,3626.0,0.0,0.0,168.0
4/19/2020,3728.0,0.0,0.0,172.0
4/20/2020,3830.0,0.0,0.0,180.0
4/21/2020,3937.0,0.0,0.0,193.0
4/22/2020,4081.0,0.0,0.0,201.0
4/23/2020,4208.0,0.0,0.0,210.0
4/24/2020,4398.0,0.0,0.0,216.0
4/25/2020,4539.0,0.0,0.0,229.0
4/26/2020,4602.0,0.0,0.0,235.0
4/27/2020,4690.0,0.0,0.0,245.0
4/28/2020,4805.0,0.0,0.0,251.0
4/29/2020,4898.0,0.0,0.0,257.0
4/30/2020,4998.0,0.0,0.0,269.0
5/1/2020,5227.0,0.0,0.0,277.0
5/2/2020,5311.0,0.0,0.0,281.0
5/3/2020,5423.0,0.0,0.0,287.0
