Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,36.0,0.0,0.0,0.0
3/8/2020,60.0,0.0,0.0,0.0
3/9/2020,88.0,0.0,0.0,0.0
3/10/2020,151.0,0.0,0.0,0.0
3/11/2020,195.0,0.0,0.0,0.0
3/12/2020,251.0,0.0,0.0,0.0
3/13/2020,353.0,0.0,0.0,0.0
3/14/2020,517.0,0.0,0.0,0.0
3/15/2020,648.0,0.0,0.0,3.0
3/16/2020,942.0,0.0,0.0,7.0
3/17/2020,1374.0,0.0,0.0,7.0
3/18/2020,2383.0,0.0,0.0,12.0
3/19/2020,4152.0,0.0,0.0,12.0
3/20/2020,7102.0,0.0,0.0,35.0
3/21/2020,10356.0,0.0,0.0,44.0
3/22/2020,15168.0,0.0,0.0,114.0
3/23/2020,20875.0,0.0,0.0,114.0
3/24/2020,25665.0,0.0,0.0,210.0
3/25/2020,30810.0,0.0,0.0,285.0
3/26/2020,37258.0,0.0,0.0,385.0
3/27/2020,44637.0,0.0,0.0,519.0
3/28/2020,52318.0,0.0,0.0,728.0
3/29/2020,59513.0,0.0,0.0,965.0
3/30/2020,66497.0,0.0,0.0,1218.0
3/31/2020,75795.0,0.0,0.0,1550.0
4/1/2020,83712.0,0.0,0.0,1941.0
4/2/2020,92381.0,0.0,0.0,2373.0
4/3/2020,102863.0,0.0,0.0,2935.0
4/4/2020,113704.0,0.0,0.0,3565.0
4/5/2020,122031.0,0.0,0.0,4159.0
4/6/2020,130689.0,0.0,0.0,4758.0
4/7/2020,138863.0,0.0,0.0,5489.0
4/8/2020,149316.0,0.0,0.0,6268.0
4/9/2020,159937.0,0.0,0.0,7067.0
4/10/2020,170512.0,0.0,0.0,7844.0
4/11/2020,180458.0,0.0,0.0,8627.0
4/12/2020,188694.0,0.0,0.0,9385.0
4/13/2020,195031.0,0.0,0.0,10056.0
4/14/2020,202208.0,0.0,0.0,10834.0
4/15/2020,213779.0,0.0,0.0,11586.0
4/16/2020,222284.0,0.0,0.0,12192.0
4/17/2020,229642.0,0.0,0.0,12822.0
4/18/2020,236732.0,0.0,0.0,13362.0
