Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,2.0,0.0,0.0,0.0
3/11/2020,2.0,0.0,0.0,0.0
3/12/2020,3.0,0.0,0.0,0.0
3/13/2020,3.0,0.0,0.0,0.0
3/14/2020,4.0,0.0,0.0,0.0
3/15/2020,9.0,0.0,0.0,0.0
3/16/2020,10.0,0.0,0.0,0.0
3/17/2020,17.0,0.0,0.0,0.0
3/18/2020,29.0,0.0,0.0,0.0
3/19/2020,44.0,0.0,0.0,1.0
3/20/2020,49.0,0.0,0.0,1.0
3/21/2020,53.0,10.0,0.0,1.0
3/22/2020,67.0,11.0,0.0,2.0
3/23/2020,81.0,15.0,0.0,2.0
3/24/2020,106.0,25.0,0.0,3.0
3/25/2020,164.0,59.0,0.0,5.0
3/26/2020,248.0,86.0,0.0,7.0
3/27/2020,322.0,105.0,0.0,8.0
3/28/2020,377.0,126.0,0.0,15.0
3/29/2020,429.0,140.0,0.0,16.0
3/30/2020,481.0,153.0,0.0,17.0
3/31/2020,565.0,177.0,0.0,23.0
4/1/2020,719.0,219.0,0.0,30.0
4/2/2020,879.0,257.0,0.0,34.0
4/3/2020,988.0,289.0,383.0,38.0
4/4/2020,1159.0,316.0,0.0,42.0
4/5/2020,1252.0,330.0,0.0,46.0
4/6/2020,1327.0,340.0,522.0,51.0
4/7/2020,1472.0,376.0,612.0,67.0
4/8/2020,1524.0,390.0,686.0,79.0
4/9/2020,1684.0,415.0,686.0,80.0
4/10/2020,1794.0,428.0,790.0,88.0
4/11/2020,1868.0,446.0,865.0,94.0
4/12/2020,1970.0,446.0,865.0,96.0
4/13/2020,2069.0,457.0,865.0,99.0
4/14/2020,2184.0,488.0,1060.0,108.0
4/15/2020,2263.0,510.0,1115.0,123.0
4/16/2020,2357.0,528.0,1240.0,131.0
4/17/2020,2465.0,528.0,1331.0,136.0
4/18/2020,2570.0,541.0,1515.0,139.0
4/19/2020,2599.0,541.0,1575.0,140.0
4/20/2020,2680.0,541.0,1614.0,143.0
4/21/2020,2807.0,561.0,1702.0,164.0
4/22/2020,2894.0,588.0,1772.0,170.0
4/23/2020,3017.0,622.0,1884.0,179.0
4/24/2020,3121.0,637.0,1961.0,188.0
4/25/2020,3193.0,637.0,2080.0,194.0
4/26/2020,3253.0,653.0,2139.0,195.0
4/27/2020,3280.0,656.0,2167.0,197.0
4/28/2020,3410.0,656.0,2260.0,207.0
4/29/2020,3473.0,693.0,2319.0,214.0
4/30/2020,3618.0,703.0,2401.0,222.0
5/1/2020,3748.0,715.0,2467.0,230.0
5/2/2020,3851.0,743.0,2554.0,238.0
5/3/2020,3972.0,743.0,2635.0,238.0
5/4/2020,4044.0,753.0,2682.0,238.0
5/5/2020,4127.0,773.0,2830.0,247.0
5/6/2020,4201.0,773.0,2909.0,253.0
5/7/2020,4330.0,805.0,2985.0,260.0
5/8/2020,4424.0,805.0,3064.0,266.0
5/9/2020,4490.0,822.0,3154.0,270.0
5/10/2020,4589.0,826.0,3204.0,272.0
5/11/2020,4613.0,828.0,3241.0,274.0
5/12/2020,4732.0,828.0,3423.0,278.0
5/13/2020,4852.0,848.0,3559.0,278.0
5/14/2020,4962.0,858.0,3660.0,284.0
5/15/2020,5086.0,863.0,3801.0,285.0
5/16/2020,5237.0,878.0,3945.0,288.0
5/17/2020,5310.0,880.0,3983.0,288.0
5/18/2020,5398.0,885.0,4008.0,288.0
5/19/2020,5489.0,897.0,4135.0,294.0
5/20/2020,5532.0,905.0,4266.0,299.0
5/21/2020,5680.0,917.0,4361.0,304.0
5/22/2020,5849.0,926.0,4533.0,307.0
5/23/2020,5960.0,926.0,4645.0,311.0
