Dates,Infected,Vaccinated,Recovered,Deaths
3/7/2020,3.0,0.0,0.0,0.0
3/8/2020,7.0,0.0,0.0,0.0
3/9/2020,14.0,0.0,0.0,0.0
3/10/2020,14.0,0.0,0.0,0.0
3/11/2020,15.0,0.0,0.0,0.0
3/12/2020,19.0,0.0,0.0,0.0
3/13/2020,19.0,0.0,0.0,0.0
3/14/2020,30.0,0.0,0.0,0.0
3/15/2020,30.0,0.0,0.0,0.0
3/16/2020,36.0,0.0,0.0,0.0
3/17/2020,39.0,0.0,0.0,0.0
3/18/2020,47.0,0.0,0.0,0.0
3/19/2020,75.0,0.0,0.0,3.0
3/20/2020,88.0,0.0,0.0,3.0
3/21/2020,114.0,0.0,0.0,3.0
3/22/2020,114.0,0.0,0.0,3.0
3/23/2020,161.0,43.0,0.0,4.0
3/24/2020,191.0,56.0,0.0,5.0
3/25/2020,209.0,61.0,0.0,8.0
3/26/2020,209.0,61.0,0.0,8.0
3/27/2020,327.0,90.0,0.0,11.0
3/28/2020,414.0,102.0,0.0,12.0
3/29/2020,479.0,117.0,0.0,13.0
3/30/2020,548.0,129.0,0.0,13.0
3/31/2020,606.0,140.0,0.0,16.0
4/1/2020,690.0,154.0,0.0,18.0
4/2/2020,736.0,154.0,0.0,18.0
4/3/2020,826.0,188.0,0.0,21.0
4/4/2020,899.0,204.0,0.0,22.0
4/5/2020,999.0,239.0,0.0,26.0
4/6/2020,1068.0,258.0,0.0,27.0
4/7/2020,1132.0,258.0,0.0,27.0
4/8/2020,1181.0,324.0,0.0,33.0
4/9/2020,1239.0,324.0,0.0,33.0
4/10/2020,1321.0,326.0,0.0,44.0
4/11/2020,1371.0,326.0,0.0,48.0
4/12/2020,1447.0,338.0,0.0,51.0
4/13/2020,1527.0,359.0,0.0,52.0
4/14/2020,1584.0,369.0,0.0,53.0
4/15/2020,1633.0,381.0,0.0,55.0
4/16/2020,1663.0,401.0,0.0,58.0
4/17/2020,1736.0,414.0,0.0,64.0
4/18/2020,1785.0,427.0,0.0,70.0
4/19/2020,1844.0,449.0,0.0,72.0
4/20/2020,1910.0,456.0,0.0,74.0
4/21/2020,1956.0,465.0,0.0,75.0
4/22/2020,2002.0,471.0,0.0,78.0
4/23/2020,2059.0,488.0,0.0,78.0
4/24/2020,2127.0,512.0,0.0,83.0
4/25/2020,2177.0,520.0,0.0,86.0
4/26/2020,2253.0,536.0,0.0,87.0
4/27/2020,2311.0,546.0,0.0,91.0
4/28/2020,2354.0,554.0,0.0,92.0
4/29/2020,2385.0,554.0,0.0,99.0
4/30/2020,2446.0,569.0,0.0,101.0
5/1/2020,2510.0,578.0,0.0,103.0
5/2/2020,2579.0,591.0,0.0,104.0
5/3/2020,2635.0,595.0,0.0,109.0
5/4/2020,2680.0,598.0,860.0,109.0
5/5/2020,2759.0,608.0,860.0,109.0
5/6/2020,2839.0,622.0,860.0,113.0
5/7/2020,2916.0,641.0,1125.0,115.0
5/8/2020,2989.0,645.0,1125.0,121.0
5/9/2020,3068.0,659.0,1125.0,124.0
5/10/2020,3160.0,662.0,1125.0,127.0
5/11/2020,3228.0,670.0,1125.0,127.0
5/12/2020,3286.0,673.0,1125.0,130.0
5/13/2020,3286.0,673.0,1125.0,130.0
5/14/2020,3416.0,678.0,1406.0,134.0
5/15/2020,3479.0,685.0,1406.0,137.0
5/16/2020,3541.0,691.0,1406.0,137.0
5/17/2020,3612.0,699.0,1406.0,137.0
5/18/2020,3623.0,703.0,1406.0,137.0
5/19/2020,3687.0,708.0,1406.0,138.0
5/20/2020,3726.0,714.0,1406.0,140.0
5/21/2020,3801.0,723.0,1406.0,144.0
5/22/2020,3817.0,732.0,1406.0,145.0
5/23/2020,3864.0,737.0,1376.0,147.0
5/24/2020,3888.0,740.0,1376.0,147.0
5/25/2020,3927.0,742.0,1376.0,148.0
5/26/2020,3949.0,747.0,1376.0,148.0
5/27/2020,3967.0,752.0,1795.0,148.0
5/28/2020,4038.0,759.0,1795.0,148.0
5/29/2020,4086.0,768.0,1981.0,151.0
5/30/2020,4131.0,771.0,1981.0,151.0
5/31/2020,4185.0,778.0,2137.0,153.0
6/1/2020,4243.0,786.0,2152.0,153.0
6/2/2020,4302.0,790.0,2164.0,154.0
6/3/2020,4335.0,795.0,2164.0,157.0
6/4/2020,4399.0,800.0,2199.0,159.0
6/5/2020,4474.0,812.0,2199.0,159.0
6/6/2020,4570.0,819.0,2214.0,161.0
6/7/2020,4662.0,819.0,2237.0,163.0
6/8/2020,4808.0,819.0,2237.0,164.0
6/9/2020,4922.0,843.0,2237.0,164.0
6/10/2020,4988.0,851.0,2313.0,169.0
6/11/2020,5060.0,857.0,2332.0,169.0
6/12/2020,5237.0,864.0,2350.0,171.0
6/13/2020,5377.0,875.0,2370.0,173.0
6/14/2020,5535.0,875.0,2396.0,174.0
6/15/2020,5636.0,875.0,2396.0,176.0
6/16/2020,5820.0,899.0,2396.0,180.0
6/17/2020,6098.0,912.0,2431.0,182.0
6/18/2020,6218.0,929.0,2457.0,183.0
6/19/2020,6366.0,933.0,2502.0,187.0
6/20/2020,6572.0,946.0,2533.0,188.0
6/21/2020,6750.0,946.0,2533.0,189.0
6/22/2020,6937.0,946.0,2533.0,190.0
6/23/2020,7083.0,969.0,2588.0,192.0
6/24/2020,7274.0,983.0,2604.0,192.0
6/25/2020,7444.0,1006.0,2604.0,195.0
6/26/2020,7568.0,1012.0,2649.0,197.0
6/27/2020,7818.0,1022.0,2649.0,202.0
6/28/2020,8094.0,1022.0,2649.0,202.0
6/29/2020,8341.0,1022.0,2649.0,202.0
6/30/2020,8485.0,1025.0,2700.0,204.0
7/1/2020,8656.0,1038.0,2722.0,207.0
7/2/2020,8931.0,1055.0,2722.0,208.0
7/3/2020,9294.0,1069.0,2759.0,209.0
7/4/2020,9636.0,1069.0,2759.0,209.0
7/5/2020,9930.0,1069.0,2759.0,213.0
7/6/2020,10230.0,1069.0,2759.0,215.0
7/7/2020,10395.0,1125.0,2846.0,215.0
7/8/2020,10605.0,1141.0,2877.0,220.0
7/9/2020,10817.0,1155.0,2877.0,224.0
7/10/2020,11188.0,1162.0,2977.0,230.0
7/11/2020,11454.0,1180.0,3009.0,232.0
7/12/2020,11851.0,1180.0,3009.0,232.0
7/13/2020,12170.0,1180.0,3009.0,234.0
7/14/2020,12438.0,1234.0,3094.0,237.0
7/15/2020,12805.0,1254.0,3129.0,244.0
7/16/2020,13081.0,1290.0,3129.0,247.0
7/17/2020,13509.0,1311.0,3199.0,249.0
7/18/2020,13802.0,1327.0,3199.0,254.0
7/19/2020,14149.0,1327.0,3225.0,257.0
7/20/2020,14579.0,1327.0,3225.0,260.0
7/21/2020,14847.0,1387.0,3338.0,262.0
7/22/2020,15139.0,1406.0,3381.0,269.0
7/23/2020,15393.0,1433.0,3381.0,269.0
7/24/2020,15713.0,1465.0,3509.0,273.0
7/25/2020,16104.0,1474.0,3541.0,282.0
7/26/2020,16492.0,1474.0,3541.0,286.0
7/27/2020,16758.0,1474.0,3541.0,289.0
7/28/2020,17088.0,1514.0,3684.0,289.0
7/29/2020,17416.0,1537.0,3736.0,303.0
7/30/2020,17721.0,1568.0,3736.0,311.0
7/31/2020,18131.0,1587.0,3835.0,316.0
8/1/2020,18492.0,1607.0,3872.0,322.0
8/2/2020,18817.0,1607.0,3872.0,325.0
8/3/2020,19097.0,1607.0,3872.0,326.0
8/4/2020,19366.0,1655.0,3960.0,328.0
8/5/2020,19699.0,1688.0,3960.0,333.0
8/6/2020,19979.0,1726.0,4037.0,338.0
