Dates,Infected,Hospitalized,Recovered,Deaths
3/16/2020,5.0,0.0,0.0,0.0
3/17/2020,5.0,0.0,0.0,0.0
3/18/2020,5.0,0.0,0.0,0.0
3/19/2020,5.0,0.0,0.0,0.0
3/20/2020,14.0,0.0,0.0,0.0
3/21/2020,21.0,0.0,0.0,0.0
3/22/2020,23.0,0.0,0.0,1.0
3/23/2020,31.0,0.0,0.0,2.0
3/24/2020,39.0,0.0,0.0,2.0
3/25/2020,51.0,0.0,0.0,2.0
3/26/2020,64.0,0.0,0.0,2.0
3/27/2020,79.0,0.0,0.0,3.0
3/28/2020,100.0,0.0,0.0,3.0
3/29/2020,127.0,0.0,0.0,5.0
3/30/2020,174.0,0.0,0.0,6.0
3/31/2020,239.0,0.0,0.0,8.0
4/1/2020,286.0,0.0,0.0,11.0
4/2/2020,316.0,0.0,0.0,12.0
4/3/2020,378.0,0.0,0.0,15.0
4/4/2020,452.0,0.0,0.0,18.0
4/5/2020,475.0,0.0,0.0,20.0
4/6/2020,513.0,0.0,0.0,21.0
4/7/2020,573.0,0.0,0.0,23.0
4/8/2020,620.0,0.0,0.0,24.0
4/9/2020,683.0,0.0,0.0,33.0
4/10/2020,725.0,0.0,0.0,39.0
4/11/2020,788.0,0.0,0.0,42.0
4/12/2020,897.0,0.0,0.0,44.0
4/13/2020,903.0,0.0,0.0,45.0
4/14/2020,923.0,0.0,0.0,45.0
4/15/2020,974.0,0.0,0.0,51.0
4/16/2020,1043.0,0.0,0.0,56.0
4/17/2020,1068.0,0.0,0.0,58.0
4/18/2020,1118.0,0.0,0.0,60.0
4/19/2020,1213.0,0.0,0.0,62.0
4/20/2020,1252.0,0.0,0.0,63.0
4/21/2020,1298.0,0.0,0.0,64.0
4/22/2020,915.0,0.0,0.0,67.0
4/23/2020,915.0,0.0,0.0,69.0
4/24/2020,871.0,0.0,0.0,77.0
4/25/2020,878.0,0.0,0.0,83.0
4/26/2020,891.0,0.0,0.0,84.0
4/27/2020,895.0,0.0,0.0,84.0
4/28/2020,898.0,0.0,0.0,86.0
4/29/2020,904.0,0.0,0.0,86.0
4/30/2020,955.0,0.0,0.0,92.0
5/1/2020,964.0,0.0,0.0,92.0
5/2/2020,973.0,0.0,0.0,95.0
5/3/2020,988.0,0.0,0.0,97.0
5/4/2020,1001.0,0.0,0.0,97.0
5/5/2020,1005.0,0.0,0.0,99.0
5/6/2020,1006.0,0.0,0.0,99.0
5/7/2020,1013.0,0.0,0.0,102.0
5/8/2020,1029.0,0.0,0.0,107.0
5/9/2020,1034.0,0.0,0.0,108.0
5/10/2020,1040.0,0.0,0.0,111.0
5/11/2020,1054.0,0.0,0.0,113.0
5/12/2020,1062.0,0.0,0.0,114.0
5/13/2020,1064.0,0.0,0.0,115.0
5/14/2020,1073.0,0.0,0.0,117.0
5/15/2020,1088.0,0.0,0.0,122.0
5/16/2020,1114.0,0.0,0.0,122.0
5/17/2020,1147.0,0.0,0.0,123.0
5/18/2020,1195.0,0.0,0.0,124.0
5/19/2020,1207.0,0.0,0.0,124.0
5/20/2020,1206.0,0.0,0.0,125.0
5/21/2020,1213.0,0.0,0.0,126.0
5/22/2020,1221.0,0.0,0.0,126.0
5/23/2020,1870.0,0.0,0.0,127.0
5/24/2020,1230.0,0.0,0.0,127.0
5/25/2020,1240.0,0.0,0.0,129.0
5/26/2020,1241.0,0.0,0.0,129.0
5/27/2020,1260.0,0.0,0.0,129.0
5/28/2020,1280.0,0.0,0.0,131.0
5/29/2020,1293.0,0.0,0.0,132.0
5/30/2020,1300.0,0.0,0.0,133.0
5/31/2020,1304.0,0.0,0.0,136.0
6/1/2020,1304.0,0.0,0.0,136.0
6/2/2020,1305.0,0.0,0.0,138.0
6/3/2020,1313.0,0.0,0.0,140.0
6/4/2020,1322.0,0.0,0.0,140.0
6/5/2020,1330.0,0.0,0.0,141.0
6/6/2020,1360.0,0.0,0.0,142.0
6/7/2020,1364.0,0.0,0.0,142.0
6/8/2020,1373.0,0.0,0.0,142.0
6/9/2020,1386.0,0.0,0.0,142.0
6/10/2020,1402.0,0.0,0.0,143.0
6/11/2020,1403.0,0.0,0.0,144.0
6/12/2020,1443.0,0.0,0.0,146.0
6/13/2020,1460.0,0.0,0.0,146.0
6/14/2020,1471.0,0.0,0.0,147.0
6/15/2020,1477.0,0.0,0.0,147.0
6/16/2020,1479.0,0.0,0.0,147.0
6/17/2020,1486.0,0.0,0.0,147.0
6/18/2020,1496.0,0.0,0.0,147.0
6/19/2020,1499.0,0.0,0.0,147.0
6/20/2020,1531.0,0.0,0.0,147.0
6/21/2020,1533.0,0.0,0.0,149.0
6/22/2020,1540.0,0.0,0.0,149.0
6/23/2020,1550.0,0.0,0.0,149.0
6/24/2020,1577.0,0.0,0.0,149.0
6/25/2020,1579.0,0.0,0.0,151.0
6/26/2020,1583.0,0.0,0.0,151.0
6/27/2020,1602.0,0.0,0.0,152.0
6/28/2020,1624.0,0.0,0.0,153.0
6/29/2020,1638.0,0.0,0.0,153.0
6/30/2020,1693.0,0.0,0.0,153.0
7/1/2020,1729.0,0.0,0.0,153.0
7/2/2020,1767.0,0.0,0.0,153.0
7/3/2020,1791.0,0.0,0.0,154.0
7/4/2020,1817.0,0.0,0.0,155.0
7/5/2020,1846.0,0.0,0.0,155.0
7/6/2020,2071.0,0.0,0.0,155.0
7/7/2020,2147.0,0.0,0.0,157.0
7/8/2020,2171.0,0.0,0.0,159.0
7/9/2020,2235.0,0.0,0.0,159.0
7/10/2020,2351.0,0.0,0.0,159.0
7/11/2020,2435.0,0.0,0.0,167.0
7/12/2020,2583.0,0.0,0.0,167.0
7/13/2020,2811.0,0.0,0.0,167.0
7/14/2020,2904.0,0.0,0.0,169.0
7/15/2020,3043.0,0.0,0.0,171.0
7/16/2020,3119.0,0.0,0.0,172.0
7/17/2020,3272.0,0.0,0.0,177.0
7/18/2020,3461.0,0.0,0.0,178.0
7/19/2020,3791.0,0.0,0.0,178.0
7/20/2020,4011.0,0.0,0.0,180.0
7/21/2020,4255.0,0.0,0.0,180.0
7/22/2020,4330.0,0.0,0.0,185.0
7/23/2020,4574.0,0.0,0.0,188.0
7/24/2020,4794.0,0.0,0.0,191.0
7/25/2020,5042.0,0.0,0.0,201.0
7/26/2020,5236.0,0.0,0.0,201.0
7/27/2020,5416.0,0.0,0.0,201.0
7/28/2020,5585.0,0.0,0.0,209.0
7/29/2020,5700.0,0.0,0.0,211.0
7/30/2020,5920.0,0.0,0.0,214.0
7/31/2020,5997.0,0.0,0.0,219.0
8/1/2020,6543.0,0.0,0.0,225.0
8/2/2020,6835.0,0.0,0.0,230.0
8/3/2020,7113.0,0.0,0.0,230.0
8/4/2020,7413.0,0.0,0.0,237.0
8/5/2020,7684.0,0.0,0.0,246.0
8/6/2020,7824.0,0.0,0.0,258.0
8/7/2020,8230.0,0.0,0.0,265.0
8/8/2020,8573.0,0.0,0.0,274.0
8/9/2020,8934.0,0.0,0.0,279.0
8/10/2020,9319.0,0.0,0.0,279.0
8/11/2020,9605.0,0.0,0.0,287.0
8/12/2020,10169.0,0.0,0.0,295.0
8/13/2020,10279.0,0.0,0.0,306.0
8/14/2020,10730.0,0.0,0.0,317.0
8/15/2020,11069.0,0.0,0.0,329.0
8/16/2020,11251.0,0.0,0.0,335.0
8/17/2020,11723.0,0.0,0.0,335.0
8/18/2020,12371.0,0.0,0.0,346.0
8/19/2020,12452.0,0.0,0.0,356.0
8/20/2020,12576.0,0.0,0.0,367.0
8/21/2020,13014.0,0.0,0.0,374.0
8/22/2020,13282.0,0.0,0.0,381.0
8/23/2020,13477.0,0.0,0.0,390.0
8/24/2020,13922.0,0.0,0.0,390.0
8/25/2020,13992.0,0.0,0.0,395.0
8/26/2020,14010.0,0.0,0.0,404.0
8/27/2020,14469.0,0.0,0.0,412.0
8/28/2020,14726.0,0.0,0.0,424.0
8/29/2020,14986.0,0.0,0.0,428.0
8/30/2020,15229.0,0.0,0.0,434.0
8/31/2020,15476.0,0.0,0.0,434.0
9/1/2020,15584.0,0.0,0.0,435.0
9/2/2020,15942.0,0.0,0.0,443.0
9/3/2020,16069.0,0.0,0.0,448.0
9/4/2020,16101.0,0.0,0.0,455.0
9/5/2020,16243.0,0.0,0.0,464.0
9/6/2020,16269.0,0.0,0.0,477.0
9/7/2020,16692.0,0.0,0.0,477.0
9/8/2020,16788.0,0.0,0.0,482.0
9/9/2020,16789.0,0.0,0.0,500.0
9/10/2020,17248.0,0.0,0.0,512.0
9/11/2020,17357.0,0.0,0.0,523.0
9/12/2020,17598.0,0.0,0.0,535.0
9/13/2020,17769.0,0.0,0.0,539.0
9/14/2020,17977.0,0.0,0.0,542.0
9/15/2020,18206.0,0.0,0.0,551.0
9/16/2020,18252.0,0.0,0.0,570.0
9/17/2020,18634.0,0.0,0.0,588.0
9/18/2020,19113.0,0.0,0.0,599.0
9/19/2020,19807.0,0.0,0.0,605.0
9/20/2020,20069.0,0.0,0.0,608.0
9/21/2020,20311.0,0.0,0.0,609.0
9/22/2020,20399.0,0.0,0.0,613.0
9/23/2020,20439.0,0.0,0.0,617.0
9/24/2020,21156.0,0.0,0.0,627.0
9/25/2020,21868.0,0.0,0.0,635.0
9/26/2020,22164.0,0.0,0.0,642.0
9/27/2020,22697.0,0.0,0.0,644.0
9/28/2020,23357.0,0.0,0.0,648.0
9/29/2020,23801.0,0.0,0.0,654.0
9/30/2020,24000.0,0.0,0.0,661.0
10/1/2020,24176.0,0.0,0.0,665.0
10/2/2020,24505.0,0.0,0.0,673.0
10/3/2020,24804.0,0.0,0.0,681.0
10/4/2020,25034.0,0.0,0.0,686.0
10/5/2020,25397.0,0.0,0.0,695.0
10/6/2020,25635.0,0.0,0.0,696.0
10/7/2020,25658.0,0.0,22346.0,705.0
10/8/2020,26010.0,0.0,22805.0,715.0
10/9/2020,26326.0,0.0,23603.0,720.0
10/10/2020,26558.0,0.0,24129.0,728.0
10/11/2020,26776.0,0.0,24533.0,730.0
10/12/2020,27004.0,0.0,24488.0,735.0
10/13/2020,27139.0,0.0,24552.0,738.0
10/14/2020,27629.0,0.0,24788.0,742.0
10/15/2020,27947.0,0.0,25071.0,743.0
10/16/2020,28174.0,0.0,25298.0,758.0
10/17/2020,28293.0,0.0,25645.0,761.0
10/18/2020,28711.0,0.0,25870.0,766.0
10/19/2020,29138.0,0.0,25939.0,768.0
10/20/2020,29585.0,0.0,25947.0,769.0
10/21/2020,29717.0,0.0,26018.0,774.0
10/22/2020,29804.0,0.0,26253.0,783.0
10/23/2020,30956.0,0.0,26430.0,791.0
10/24/2020,31072.0,0.0,26866.0,794.0
10/25/2020,31737.0,0.0,27348.0,801.0
10/26/2020,32198.0,0.0,27603.0,804.0
10/27/2020,32461.0,0.0,27607.0,808.0
10/28/2020,32527.0,0.0,28021.0,813.0
10/29/2020,33279.0,0.0,28439.0,814.0
10/30/2020,33853.0,0.0,28912.0,820.0
10/31/2020,34138.0,0.0,29464.0,822.0
11/1/2020,34541.0,0.0,29903.0,832.0
11/2/2020,35405.0,0.0,29352.0,839.0
11/3/2020,35750.0,0.0,29763.0,842.0
11/4/2020,35807.0,0.0,30568.0,850.0
11/5/2020,36101.0,0.0,31182.0,855.0
11/6/2020,36904.0,0.0,31915.0,862.0
11/7/2020,37567.0,0.0,32475.0,862.0
11/8/2020,38100.0,0.0,33315.0,872.0
11/9/2020,38581.0,0.0,33354.0,882.0
11/10/2020,38856.0,0.0,33368.0,889.0
11/11/2020,39120.0,0.0,34032.0,901.0
11/12/2020,40452.0,0.0,34679.0,909.0
11/13/2020,41119.0,0.0,35284.0,914.0
11/14/2020,41772.0,0.0,35074.0,921.0
11/15/2020,42479.0,0.0,35472.0,935.0
11/16/2020,43016.0,0.0,35461.0,942.0
11/17/2020,43585.0,0.0,36102.0,951.0
11/18/2020,43910.0,0.0,36675.0,971.0
11/19/2020,44431.0,0.0,37327.0,982.0
11/20/2020,45335.0,0.0,38238.0,991.0
11/21/2020,46434.0,0.0,38237.0,1012.0
11/22/2020,47459.0,0.0,39142.0,1017.0
11/23/2020,48200.0,0.0,39214.0,1032.0
11/24/2020,48548.0,0.0,39895.0,1038.0
11/25/2020,48725.0,0.0,40035.0,1052.0
11/26/2020,49226.0,0.0,40886.0,1069.0
11/27/2020,50678.0,0.0,41768.0,1076.0
11/28/2020,51581.0,0.0,42589.0,1083.0
11/29/2020,51702.0,0.0,42993.0,1094.0
11/30/2020,52545.0,0.0,43123.0,1106.0
12/1/2020,53320.0,0.0,43987.0,1122.0
12/2/2020,53708.0,0.0,44947.0,1144.0
12/3/2020,54105.0,0.0,45565.0,1155.0
12/4/2020,54597.0,0.0,46476.0,1173.0
12/5/2020,55532.0,0.0,47406.0,1185.0
12/6/2020,56671.0,0.0,47406.0,1192.0
12/7/2020,57622.0,0.0,47883.0,1203.0
12/8/2020,58316.0,0.0,48929.0,1206.0
12/9/2020,58962.0,0.0,49961.0,1219.0
12/10/2020,59458.0,0.0,51179.0,1238.0
12/11/2020,61002.0,0.0,51895.0,1249.0
