Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,3.0,0.0,0.0,0.0
3/8/2020,3.0,0.0,0.0,0.0
3/9/2020,4.0,0.0,0.0,0.0
3/10/2020,5.0,0.0,0.0,0.0
3/11/2020,5.0,0.0,0.0,0.0
3/12/2020,13.0,0.0,0.0,0.0
3/13/2020,19.0,0.0,0.0,0.0
3/14/2020,19.0,0.0,0.0,0.0
3/15/2020,20.0,0.0,0.0,0.0
3/16/2020,22.0,0.0,0.0,0.0
3/17/2020,33.0,0.0,0.0,0.0
3/18/2020,44.0,0.0,0.0,0.0
3/19/2020,61.0,0.0,0.0,0.0
3/20/2020,74.0,0.0,0.0,0.0
3/21/2020,88.0,0.0,0.0,0.0
3/22/2020,113.0,0.0,0.0,0.0
3/23/2020,129.0,0.0,0.0,0.0
3/24/2020,148.0,0.0,0.0,0.0
3/25/2020,176.0,0.0,0.0,0.0
3/26/2020,217.0,0.0,0.0,0.0
3/27/2020,248.0,0.0,0.0,0.0
3/28/2020,312.0,0.0,0.0,0.0
3/29/2020,417.0,0.0,0.0,3.0
3/30/2020,495.0,0.0,0.0,4.0
3/31/2020,568.0,0.0,0.0,8.0
4/1/2020,668.0,0.0,0.0,10.0
4/2/2020,730.0,0.0,0.0,12.0
4/3/2020,831.0,0.0,0.0,14.0
4/4/2020,968.0,0.0,0.0,17.0
4/5/2020,1150.0,0.0,0.0,25.0
4/6/2020,1356.0,0.0,0.0,27.0
4/7/2020,1617.0,0.0,0.0,30.0
4/8/2020,1890.0,0.0,0.0,35.0
4/9/2020,2169.0,0.0,0.0,43.0
4/10/2020,2573.0,0.0,0.0,49.0
4/11/2020,2853.0,0.0,0.0,56.0
4/12/2020,3142.0,0.0,0.0,63.0
4/13/2020,3329.0,331.0,0.0,73.0
4/14/2020,3596.0,331.0,0.0,80.0
4/15/2020,3903.0,331.0,0.0,87.0
4/16/2020,4295.0,331.0,0.0,105.0
4/17/2020,4585.0,331.0,0.0,118.0
4/18/2020,4868.0,578.0,0.0,150.0
4/19/2020,5207.0,605.0,0.0,164.0
4/20/2020,5585.0,629.0,0.0,175.0
4/21/2020,5972.0,674.0,0.0,186.0
4/22/2020,6354.0,717.0,0.0,201.0
4/23/2020,6773.0,757.0,0.0,213.0
4/24/2020,7188.0,576.0,0.0,202.0
4/25/2020,7493.0,576.0,0.0,215.0
4/26/2020,7769.0,691.0,0.0,226.0
4/27/2020,7972.0,718.0,0.0,233.0
4/28/2020,8296.0,732.0,0.0,239.0
4/29/2020,8668.0,750.0,0.0,251.0
4/30/2020,9016.0,896.0,0.0,266.0
5/1/2020,9333.0,937.0,0.0,279.0
5/2/2020,9522.0,977.0,0.0,296.0
5/3/2020,9703.0,1013.0,0.0,320.0
5/4/2020,9994.0,1061.0,0.0,341.0
5/5/2020,10297.0,1092.0,0.0,355.0
5/6/2020,10639.0,1123.0,0.0,370.0
5/7/2020,10910.0,1153.0,0.0,388.0
5/8/2020,11141.0,1187.0,0.0,399.0
5/9/2020,11427.0,1218.0,0.0,418.0
5/10/2020,11613.0,1251.0,0.0,422.0
5/11/2020,11788.0,1280.0,0.0,430.0
5/12/2020,12007.0,1307.0,0.0,444.0
5/13/2020,12203.0,1328.0,0.0,462.0
5/14/2020,12431.0,1351.0,0.0,468.0
5/15/2020,12663.0,1372.0,0.0,479.0
5/16/2020,12915.0,1403.0,0.0,489.0
5/17/2020,13040.0,1418.0,0.0,499.0
5/18/2020,13177.0,1438.0,0.0,506.0
5/19/2020,13392.0,1464.0,0.0,532.0
5/20/2020,13579.0,1486.0,0.0,538.0
5/21/2020,13748.0,1506.0,0.0,556.0
5/22/2020,13949.0,1537.0,0.0,579.0
5/23/2020,14057.0,1557.0,0.0,597.0
5/24/2020,14141.0,1580.0,0.0,608.0
5/25/2020,14211.0,1580.0,0.0,608.0
5/26/2020,14365.0,1613.0,0.0,634.0
5/27/2020,14498.0,1624.0,0.0,655.0
5/28/2020,14630.0,1639.0,0.0,677.0
5/29/2020,14808.0,1660.0,0.0,693.0
5/30/2020,14912.0,1682.0,0.0,711.0
5/31/2020,14988.0,1701.0,0.0,718.0
6/1/2020,15087.0,1724.0,0.0,720.0
6/2/2020,15194.0,1743.0,0.0,732.0
6/3/2020,15299.0,1753.0,0.0,742.0
6/4/2020,15416.0,1765.0,0.0,756.0
6/5/2020,15521.0,1775.0,0.0,772.0
6/6/2020,15589.0,1775.0,0.0,772.0
6/7/2020,15638.0,1775.0,0.0,772.0
6/8/2020,15683.0,1807.0,0.0,799.0
6/9/2020,15751.0,1815.0,0.0,808.0
6/10/2020,15855.0,1828.0,0.0,812.0
6/11/2020,15942.0,1842.0,0.0,823.0
6/12/2020,16023.0,1853.0,0.0,833.0
6/13/2020,16072.0,1853.0,0.0,833.0
6/14/2020,16104.0,1853.0,0.0,833.0
6/15/2020,16180.0,1882.0,0.0,851.0
6/16/2020,16232.0,1889.0,0.0,865.0
6/17/2020,16283.0,1898.0,0.0,876.0
6/18/2020,16354.0,1911.0,0.0,885.0
6/19/2020,16413.0,1922.0,0.0,894.0
6/20/2020,16449.0,1922.0,0.0,894.0
6/21/2020,16476.0,1922.0,0.0,894.0
6/22/2020,16535.0,1950.0,0.0,903.0
6/23/2020,16612.0,1958.0,0.0,906.0
6/24/2020,16663.0,1967.0,0.0,912.0
6/25/2020,16708.0,1981.0,0.0,920.0
6/26/2020,16777.0,1984.0,0.0,927.0
6/27/2020,16813.0,1984.0,0.0,927.0
6/28/2020,16835.0,1984.0,0.0,927.0
6/29/2020,16871.0,1995.0,0.0,946.0
6/30/2020,16911.0,2001.0,0.0,950.0
7/1/2020,16976.0,2007.0,0.0,956.0
7/2/2020,17035.0,2011.0,0.0,959.0
7/3/2020,17057.0,2019.0,0.0,960.0
7/4/2020,17084.0,2019.0,0.0,960.0
7/5/2020,17108.0,2019.0,0.0,960.0
