Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,2.0,0.0,0.0,0.0
3/8/2020,2.0,0.0,0.0,0.0
3/9/2020,7.0,0.0,0.0,0.0
3/10/2020,7.0,0.0,0.0,0.0
3/11/2020,9.0,0.0,0.0,0.0
3/12/2020,10.0,0.0,0.0,0.0
3/13/2020,12.0,0.0,0.0,0.0
3/14/2020,13.0,0.0,0.0,0.0
3/15/2020,19.0,0.0,0.0,0.0
3/16/2020,28.0,0.0,0.0,1.0
3/17/2020,33.0,0.0,0.0,1.0
3/18/2020,60.0,0.0,0.0,1.0
3/19/2020,60.0,0.0,0.0,1.0
3/20/2020,81.0,0.0,0.0,1.0
3/21/2020,152.0,0.0,0.0,1.0
3/22/2020,195.0,0.0,0.0,3.0
3/23/2020,298.0,0.0,0.0,5.0
3/24/2020,298.0,0.0,0.0,5.0
3/25/2020,424.0,102.0,0.0,7.0
3/26/2020,456.0,102.0,0.0,9.0
3/27/2020,456.0,102.0,0.0,9.0
3/28/2020,539.0,102.0,0.0,13.0
3/29/2020,774.0,102.0,0.0,16.0
3/30/2020,925.0,102.0,0.0,18.0
3/31/2020,1083.0,102.0,0.0,22.0
4/1/2020,1293.0,102.0,0.0,26.0
4/2/2020,1554.0,241.0,0.0,31.0
4/3/2020,1554.0,241.0,0.0,31.0
4/4/2020,1917.0,241.0,0.0,40.0
4/5/2020,2049.0,241.0,0.0,44.0
4/6/2020,2049.0,241.0,0.0,44.0
4/7/2020,2417.0,241.0,0.0,51.0
4/8/2020,2552.0,241.0,0.0,63.0
4/9/2020,2792.0,241.0,0.0,67.0
4/10/2020,3065.0,496.0,0.0,72.0
4/11/2020,3207.0,496.0,0.0,80.0
4/12/2020,3319.0,496.0,0.0,82.0
4/13/2020,3319.0,496.0,0.0,82.0
4/14/2020,3553.0,675.0,0.0,97.0
4/15/2020,3656.0,675.0,0.0,107.0
4/16/2020,3656.0,675.0,0.0,107.0
4/17/2020,3931.0,675.0,0.0,109.0
4/18/2020,4246.0,776.0,2633.0,119.0
4/19/2020,4377.0,776.0,2633.0,120.0
4/20/2020,4377.0,776.0,2063.0,120.0
4/21/2020,4439.0,776.0,2063.0,124.0
4/22/2020,4761.0,837.0,3317.0,140.0
4/23/2020,4917.0,837.0,3317.0,150.0
4/24/2020,4917.0,837.0,3317.0,150.0
4/25/2020,5253.0,944.0,3701.0,166.0
4/26/2020,5490.0,944.0,3701.0,174.0
