Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,5.0,0.0,0.0,0.0
3/12/2020,8.0,0.0,0.0,0.0
3/13/2020,9.0,0.0,0.0,0.0
3/14/2020,9.0,0.0,0.0,0.0
3/15/2020,9.0,0.0,0.0,0.0
3/16/2020,10.0,0.0,0.0,0.0
3/17/2020,11.0,0.0,0.0,0.0
3/18/2020,11.0,0.0,0.0,1.0
3/19/2020,11.0,0.0,0.0,1.0
3/20/2020,14.0,0.0,0.0,1.0
3/21/2020,14.0,0.0,0.0,1.0
3/22/2020,21.0,0.0,0.0,1.0
3/23/2020,28.0,0.0,0.0,1.0
3/24/2020,30.0,0.0,0.0,1.0
3/25/2020,41.0,0.0,0.0,1.0
3/26/2020,46.0,0.0,16.0,1.0
3/27/2020,58.0,0.0,21.0,1.0
3/28/2020,68.0,0.0,26.0,1.0
3/29/2020,90.0,0.0,29.0,1.0
3/30/2020,101.0,0.0,34.0,1.0
3/31/2020,108.0,12.0,44.0,1.0
4/1/2020,129.0,12.0,51.0,2.0
4/2/2020,165.0,17.0,57.0,2.0
4/3/2020,187.0,17.0,69.0,2.0
4/4/2020,212.0,19.0,76.0,2.0
4/5/2020,240.0,22.0,84.0,2.0
4/6/2020,288.0,23.0,91.0,4.0
4/7/2020,320.0,23.0,98.0,6.0
4/8/2020,393.0,26.0,146.0,6.0
4/9/2020,447.0,27.0,161.0,6.0
4/10/2020,536.0,29.0,177.0,6.0
4/11/2020,626.0,33.0,189.0,6.0
4/12/2020,730.0,43.0,197.0,6.0
4/13/2020,868.0,44.0,207.0,6.0
4/14/2020,988.0,45.0,261.0,6.0
4/15/2020,1168.0,51.0,329.0,6.0
4/16/2020,1311.0,55.0,373.0,7.0
4/17/2020,1411.0,63.0,457.0,7.0
4/18/2020,1542.0,68.0,552.0,7.0
4/19/2020,1635.0,74.0,646.0,7.0
4/20/2020,1685.0,87.0,709.0,7.0
4/21/2020,1755.0,100.0,824.0,8.0
4/22/2020,1858.0,111.0,937.0,8.0
4/23/2020,1956.0,119.0,1064.0,9.0
4/24/2020,2040.0,124.0,1190.0,10.0
4/25/2020,2147.0,128.0,1223.0,10.0
4/26/2020,2212.0,135.0,1257.0,11.0
4/27/2020,2245.0,150.0,1316.0,11.0
4/28/2020,2313.0,157.0,1392.0,11.0
4/29/2020,2373.0,165.0,1492.0,13.0
4/30/2020,2449.0,173.0,1573.0,17.0
5/1/2020,2525.0,179.0,1686.0,21.0
5/2/2020,2588.0,187.0,1759.0,21.0
5/3/2020,2631.0,197.0,1799.0,21.0
5/4/2020,2668.0,211.0,1830.0,21.0
5/5/2020,2721.0,220.0,1895.0,24.0
5/6/2020,2779.0,230.0,1977.0,29.0
5/7/2020,2905.0,236.0,2028.0,31.0
5/8/2020,3144.0,247.0,2069.0,31.0
5/9/2020,3393.0,253.0,2125.0,34.0
5/10/2020,3517.0,261.0,2147.0,34.0
5/11/2020,3614.0,263.0,2187.0,34.0
5/12/2020,3663.0,271.0,2309.0,39.0
5/13/2020,3732.0,281.0,2367.0,39.0
5/14/2020,3792.0,290.0,2437.0,43.0
5/15/2020,3887.0,296.0,2574.0,44.0
5/16/2020,3959.0,304.0,2673.0,44.0
5/17/2020,3987.0,312.0,2724.0,44.0
5/18/2020,4027.0,316.0,2784.0,44.0
5/19/2020,4085.0,327.0,2914.0,46.0
5/20/2020,4177.0,333.0,3023.0,46.0
5/21/2020,4250.0,342.0,3145.0,48.0
5/22/2020,4356.0,351.0,3267.0,50.0
5/23/2020,4468.0,358.0,3336.0,50.0
5/24/2020,4563.0,364.0,3371.0,50.0
5/25/2020,4586.0,370.0,3415.0,50.0
5/26/2020,4653.0,378.0,3528.0,50.0
5/27/2020,4710.0,391.0,3619.0,54.0
