Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,3.0,0.0,0.0,0.0
3/9/2020,3.0,0.0,0.0,0.0
3/10/2020,7.0,0.0,0.0,0.0
3/11/2020,7.0,0.0,0.0,0.0
3/12/2020,18.0,0.0,0.0,0.0
3/13/2020,26.0,0.0,0.0,0.0
3/14/2020,32.0,0.0,0.0,0.0
3/15/2020,39.0,0.0,0.0,0.0
3/16/2020,52.0,0.0,0.0,0.0
3/17/2020,73.0,0.0,0.0,0.0
3/18/2020,98.0,0.0,0.0,0.0
3/19/2020,154.0,0.0,0.0,0.0
3/20/2020,228.0,0.0,0.0,0.0
3/21/2020,371.0,0.0,0.0,0.0
3/22/2020,505.0,0.0,0.0,0.0
3/23/2020,615.0,0.0,0.0,2.0
3/24/2020,667.0,0.0,0.0,2.0
3/25/2020,784.0,53.0,0.0,3.0
3/26/2020,957.0,76.0,0.0,3.0
3/27/2020,1203.0,103.0,0.0,6.0
3/28/2020,1373.0,118.0,0.0,6.0
3/29/2020,1537.0,133.0,0.0,7.0
3/30/2020,1834.0,148.0,0.0,13.0
3/31/2020,2239.0,175.0,121.0,23.0
4/1/2020,2683.0,200.0,137.0,24.0
4/2/2020,2845.0,263.0,220.0,32.0
4/3/2020,3067.0,293.0,248.0,37.0
4/4/2020,3321.0,311.0,416.0,43.0
4/5/2020,3633.0,328.0,295.0,44.0
4/6/2020,3802.0,352.0,356.0,65.0
4/7/2020,4138.0,408.0,466.0,72.0
4/8/2020,4362.0,449.0,592.0,79.0
4/9/2020,4634.0,505.0,921.0,94.0
4/10/2020,4862.0,536.0,1145.0,98.0
4/11/2020,5114.0,556.0,1386.0,101.0
4/12/2020,5308.0,567.0,1504.0,101.0
4/13/2020,5610.0,579.0,1671.0,109.0
4/14/2020,5823.0,633.0,1969.0,124.0
4/15/2020,6079.0,663.0,2196.0,135.0
4/16/2020,6262.0,691.0,2786.0,141.0
4/17/2020,6589.0,711.0,3017.0,142.0
4/18/2020,6762.0,719.0,3234.0,145.0
4/19/2020,7070.0,724.0,3344.0,148.0
4/20/2020,7238.0,730.0,3575.0,152.0
4/21/2020,7394.0,760.0,3828.0,157.0
4/22/2020,7842.0,775.0,4012.0,166.0
4/23/2020,8266.0,793.0,4193.0,170.0
4/24/2020,8726.0,808.0,4370.0,168.0
4/25/2020,9189.0,821.0,4467.0,178.0
4/26/2020,9667.0,828.0,4527.0,181.0
4/27/2020,9918.0,837.0,4720.0,184.0
4/28/2020,10052.0,894.0,4921.0,188.0
4/29/2020,10366.0,1013.0,5140.0,195.0
4/30/2020,10735.0,1045.0,5338.0,199.0
5/1/2020,11891.0,1113.0,5546.0,204.0
5/2/2020,12661.0,1125.0,5718.0,209.0
5/3/2020,13177.0,1135.0,5814.0,210.0
5/4/2020,13571.0,1143.0,6081.0,219.0
5/5/2020,13690.0,1156.0,6356.0,226.0
5/6/2020,13938.0,1221.0,6564.0,239.0
5/7/2020,14096.0,1266.0,6783.0,237.0
5/8/2020,14441.0,1299.0,7011.0,241.0
5/9/2020,14768.0,1319.0,7369.0,242.0
5/10/2020,14985.0,1325.0,7528.0,243.0
5/11/2020,15544.0,1344.0,8038.0,251.0
5/12/2020,16111.0,1363.0,8336.0,265.0
5/13/2020,16370.0,1388.0,8624.0,273.0
5/14/2020,16699.0,1435.0,8881.0,287.0
5/15/2020,16970.0,1454.0,9280.0,290.0
5/16/2020,17288.0,1474.0,9529.0,295.0
5/17/2020,17388.0,1482.0,9652.0,298.0
5/18/2020,18011.0,1489.0,9886.0,301.0
5/19/2020,18378.0,1498.0,10969.0,305.0
5/20/2020,18532.0,1515.0,11783.0,309.0
5/21/2020,18961.0,1539.0,12191.0,313.0
5/22/2020,19394.0,1560.0,12566.0,315.0
5/23/2020,19789.0,1573.0,12745.0,329.0
5/24/2020,20145.0,1583.0,12837.0,336.0
5/25/2020,20607.0,1594.0,13073.0,338.0
5/26/2020,20965.0,1609.0,13344.0,343.0
5/27/2020,21306.0,1647.0,13916.0,353.0
5/28/2020,21679.0,1689.0,14632.0,356.0
5/29/2020,22085.0,1710.0,14965.0,360.0
5/30/2020,22566.0,1732.0,15193.0,364.0
5/31/2020,23006.0,1750.0,15300.0,364.0
6/1/2020,23554.0,1767.0,15564.0,367.0
6/2/2020,24375.0,1792.0,15916.0,381.0
6/3/2020,24822.0,1829.0,16319.0,388.0
6/4/2020,25120.0,1855.0,16643.0,401.0
6/5/2020,25520.0,1893.0,16925.0,408.0
6/6/2020,26071.0,1923.0,17124.0,417.0
6/7/2020,26381.0,1932.0,17222.0,418.0
6/8/2020,26944.0,1948.0,17563.0,421.0
6/9/2020,27575.0,1974.0,18013.0,435.0
6/10/2020,28061.0,1990.0,18516.0,436.0
6/11/2020,28538.0,2011.0,18992.0,441.0
6/12/2020,29126.0,2049.0,19425.0,468.0
6/13/2020,29541.0,2073.0,19731.0,472.0
6/14/2020,30432.0,2087.0,19896.0,475.0
6/15/2020,31160.0,2106.0,20062.0,483.0
6/16/2020,31830.0,2146.0,20710.0,493.0
6/17/2020,32143.0,2180.0,21282.0,497.0
6/18/2020,32829.0,2209.0,21949.0,509.0
6/19/2020,34017.0,2238.0,22531.0,515.0
6/20/2020,34446.0,2266.0,22838.0,524.0
6/21/2020,35102.0,2291.0,23067.0,526.0
6/22/2020,35553.0,2301.0,23567.0,531.0
6/23/2020,36303.0,2336.0,24068.0,542.0
6/24/2020,37235.0,2386.0,24693.0,556.0
6/25/2020,38034.0,2431.0,25280.0,567.0
6/26/2020,39444.0,2498.0,25753.0,577.0
6/27/2020,40172.0,2564.0,26159.0,584.0
6/28/2020,40172.0,2564.0,26159.0,584.0
6/29/2020,42297.0,2599.0,26962.0,592.0
6/30/2020,43509.0,2665.0,27599.0,604.0
7/1/2020,45315.0,2715.0,28283.0,609.0
7/2/2020,46890.0,2775.0,28938.0,620.0
7/3/2020,48712.0,2825.0,29591.0,633.0
7/4/2020,50140.0,2860.0,30043.0,637.0
7/5/2020,51431.0,2871.0,30254.0,646.0
7/6/2020,52155.0,2897.0,31020.0,653.0
7/7/2020,53514.0,2950.0,31827.0,665.0
7/8/2020,55986.0,3023.0,32736.0,685.0
7/9/2020,57591.0,3088.0,33609.0,710.0
7/10/2020,59546.0,3146.0,34740.0,723.0
7/11/2020,61006.0,3193.0,35435.0,738.0
7/12/2020,61960.0,3250.0,35855.0,741.0
7/13/2020,65274.0,3284.0,36996.0,749.0
7/14/2020,66788.0,3378.0,38272.0,767.0
7/15/2020,69061.0,3434.0,39857.0,783.0
7/16/2020,71540.0,3497.0,41250.0,796.0
7/17/2020,73819.0,3562.0,42734.0,815.0
7/18/2020,76336.0,3649.0,43706.0,838.0
7/19/2020,78115.0,3681.0,44319.0,843.0
7/20/2020,79754.0,3712.0,45974.0,847.0
7/21/2020,81944.0,3798.0,47852.0,871.0
7/22/2020,84417.0,3907.0,49748.0,888.0
7/23/2020,86987.0,4016.0,51661.0,925.0
7/24/2020,89078.0,4120.0,52983.0,938.0
7/25/2020,90796.0,4196.0,53808.0,964.0
7/26/2020,93936.0,4244.0,54730.0,967.0
7/27/2020,96489.0,4280.0,57239.0,978.0
7/28/2020,99044.0,4280.0,57239.0,978.0
7/29/2020,100822.0,4482.0,62129.0,1020.0
7/30/2020,102871.0,4572.0,64234.0,1033.0
7/31/2020,105959.0,4661.0,66357.0,1060.0
8/1/2020,108184.0,4724.0,67651.0,1067.0
8/2/2020,109627.0,4756.0,68471.0,1073.0
8/3/2020,110636.0,4808.0,70878.0,1092.0
8/4/2020,112441.0,4900.0,73259.0,1117.0
8/5/2020,114098.0,5001.0,75550.0,1144.0
8/6/2020,116350.0,5109.0,77558.0,1186.0
8/7/2020,118782.0,5190.0,79357.0,1206.0
8/8/2020,120585.0,5262.0,80340.0,1215.0
8/9/2020,122712.0,5304.0,80997.0,1223.0
8/10/2020,123914.0,5339.0,83170.0,1233.0
8/11/2020,124915.0,5464.0,85313.0,1271.0
8/12/2020,126393.0,5554.0,87290.0,1289.0
8/13/2020,128511.0,5648.0,89151.0,1313.0
8/14/2020,130458.0,5725.0,91323.0,1326.0
8/15/2020,131747.0,5813.0,92100.0,1345.0
8/16/2020,133708.0,5847.0,92655.0,1366.0
8/17/2020,134744.0,5881.0,94812.0,1387.0
8/18/2020,135778.0,5981.0,96896.0,1426.0
8/19/2020,137800.0,6069.0,99085.0,1452.0
8/20/2020,139175.0,6156.0,100967.0,1488.0
8/21/2020,140844.0,6255.0,102686.0,1549.0
8/22/2020,142083.0,6328.0,103426.0,1563.0
8/23/2020,143937.0,6378.0,104054.0,1567.0
8/24/2020,144604.0,6421.0,106041.0,1588.0
8/25/2020,145417.0,6515.0,108035.0,1628.0
8/26/2020,147353.0,6603.0,109765.0,1648.0
8/27/2020,149179.0,6677.0,111416.0,1673.0
8/28/2020,150815.0,6751.0,113313.0,1701.0
8/29/2020,152280.0,6751.0,114099.0,1725.0
8/30/2020,153115.0,6840.0,114769.0,1747.0
