Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,5.0,0.0,0.0,0.0
3/8/2020,5.0,0.0,0.0,0.0
3/9/2020,12.0,0.0,0.0,0.0
3/10/2020,15.0,0.0,0.0,0.0
3/11/2020,18.0,0.0,0.0,0.0
3/12/2020,22.0,0.0,0.0,0.0
3/13/2020,22.0,0.0,0.0,0.0
3/14/2020,22.0,0.0,0.0,0.0
3/15/2020,56.0,0.0,0.0,0.0
3/16/2020,56.0,0.0,0.0,0.0
3/17/2020,63.0,0.0,0.0,1.0
3/18/2020,82.0,0.0,0.0,2.0
3/19/2020,108.0,0.0,0.0,3.0
3/20/2020,175.0,0.0,0.0,5.0
3/21/2020,235.0,0.0,0.0,5.0
3/22/2020,263.0,0.0,0.0,5.0
3/23/2020,287.0,0.0,0.0,8.0
3/24/2020,712.0,0.0,0.0,9.0
3/25/2020,975.0,0.0,0.0,12.0
3/26/2020,1394.0,0.0,0.0,18.0
3/27/2020,1731.0,0.0,0.0,23.0
3/28/2020,2048.0,0.0,0.0,27.0
3/29/2020,2552.0,0.0,0.0,34.0
3/30/2020,2874.0,0.0,38.0,34.0
3/31/2020,3266.0,0.0,38.0,41.0
4/1/2020,3996.0,0.0,38.0,58.0
4/2/2020,4665.0,0.0,38.0,70.0
4/3/2020,5324.0,0.0,38.0,90.0
4/4/2020,6112.0,0.0,38.0,105.0
4/5/2020,6793.0,0.0,38.0,127.0
4/6/2020,7273.0,0.0,38.0,140.0
4/7/2020,8261.0,0.0,38.0,154.0
4/8/2020,9353.0,0.0,38.0,177.0
4/9/2020,10230.0,0.0,1101.0,199.0
4/10/2020,11671.0,0.0,1366.0,226.0
4/11/2020,12561.0,0.0,1617.0,254.0
4/12/2020,13484.0,0.0,2014.0,271.0
4/13/2020,13906.0,0.0,2269.0,287.0
4/14/2020,14624.0,0.0,2580.0,318.0
4/15/2020,15492.0,0.0,3150.0,364.0
4/16/2020,16455.0,0.0,3677.0,393.0
4/17/2020,17371.0,0.0,4190.0,428.0
4/18/2020,18260.0,0.0,4806.0,453.0
4/19/2020,18923.0,0.0,5334.0,477.0
4/20/2020,19458.0,0.0,5706.0,495.0
4/21/2020,20196.0,0.0,6486.0,517.0
4/22/2020,21069.0,0.0,7341.0,543.0
4/23/2020,21944.0,0.0,8025.0,561.0
4/24/2020,22806.0,0.0,9156.0,593.0
4/25/2020,23773.0,0.0,9986.0,623.0
4/26/2020,24631.0,0.0,10763.0,648.0
4/27/2020,25297.0,0.0,11170.0,663.0
4/28/2020,26171.0,0.0,11786.0,690.0
4/29/2020,27054.0,0.0,12507.0,732.0
4/30/2020,28087.0,0.0,13353.0,782.0
5/1/2020,29229.0,0.0,14122.0,816.0
5/2/2020,30522.0,0.0,14891.0,847.0
5/3/2020,31548.0,0.0,15544.0,867.0
5/4/2020,32332.0,0.0,16090.0,884.0
5/5/2020,33369.0,0.0,16791.0,906.0
5/6/2020,34422.0,0.0,17622.0,948.0
5/7/2020,35390.0,0.0,18440.0,973.0
5/8/2020,36609.0,0.0,19197.0,1004.0
5/9/2020,37860.0,0.0,20141.0,1049.0
5/10/2020,38869.0,0.0,21022.0,1088.0
5/11/2020,39869.0,0.0,21713.0,1100.0
5/12/2020,41048.0,0.0,22674.0,1133.0
5/13/2020,42403.0,0.0,23519.0,1158.0
5/14/2020,43851.0,0.0,24487.0,1216.0
5/15/2020,45198.0,0.0,25454.0,1272.0
5/16/2020,46999.0,0.0,26601.0,1305.0
5/17/2020,47784.0,0.0,27570.0,1336.0
5/18/2020,48693.0,0.0,28371.0,1347.0
5/19/2020,49912.0,0.0,29359.0,1369.0
5/20/2020,51323.0,0.0,30341.0,1419.0
5/21/2020,52268.0,0.0,30341.0,1440.0
5/22/2020,53449.0,0.0,31223.0,1480.0
5/23/2020,54509.0,0.0,32277.0,1506.0
5/24/2020,55348.0,0.0,33385.0,1506.0
5/25/2020,55971.0,0.0,35292.0,1527.0
5/26/2020,56560.0,0.0,36375.0,1536.0
5/27/2020,57921.0,0.0,37626.0,1562.0
5/28/2020,59776.0,0.0,38905.0,1601.0
5/29/2020,61006.0,0.0,40068.0,1626.0
5/30/2020,62338.0,0.0,40068.0,1626.0
5/31/2020,64287.0,0.0,42423.0,1672.0
6/1/2020,64880.0,0.0,43338.0,1678.0
6/2/2020,66568.0,0.0,44517.0,1698.0
6/3/2020,68271.0,0.0,45858.0,1734.0
6/4/2020,69920.0,0.0,46799.0,1767.0
6/5/2020,71613.0,0.0,47865.0,1788.0
6/6/2020,73553.0,0.0,48895.0,1819.0
6/7/2020,74978.0,0.0,49758.0,1830.0
6/8/2020,75616.0,0.0,49758.0,1830.0
6/9/2020,77253.0,0.0,51140.0,1853.0
6/10/2020,79757.0,0.0,52449.0,1885.0
6/11/2020,81583.0,0.0,54096.0,1920.0
6/12/2020,83680.0,0.0,55258.0,1939.0
6/13/2020,86011.0,0.0,56535.0,1957.0
6/14/2020,87854.0,0.0,58341.0,1976.0
6/15/2020,89108.0,0.0,59089.0,1983.0
6/16/2020,93206.0,0.0,60681.0,2029.0
6/17/2020,96335.0,0.0,62368.0,2062.0
6/18/2020,99851.0,0.0,63812.0,2105.0
6/19/2020,103305.0,0.0,65329.0,2140.0
6/20/2020,107735.0,0.0,67096.0,2165.0
6/21/2020,111601.0,0.0,68499.0,2182.0
6/22/2020,114881.0,0.0,69190.0,2192.0
6/23/2020,120370.0,0.0,70714.0,2220.0
6/24/2020,125921.0,0.0,72898.0,2249.0
6/25/2020,131917.0,0.0,74496.0,2296.0
6/26/2020,137624.0,0.0,76282.0,2324.0
6/27/2020,143366.0,0.0,78248.0,2366.0
6/28/2020,148723.0,0.0,79974.0,2393.0
6/29/2020,153011.0,0.0,81335.0,2403.0
6/30/2020,159986.0,0.0,84818.0,2424.0
7/1/2020,168062.0,0.0,87556.0,2481.0
7/2/2020,175977.0,0.0,90720.0,2525.0
7/3/2020,183532.0,0.0,93572.0,2575.0
7/4/2020,191790.0,0.0,97430.0,2608.0
7/5/2020,195239.0,0.0,100843.0,2637.0
7/6/2020,200557.0,0.0,103782.0,2655.0
7/7/2020,210585.0,0.0,108485.0,2715.0
7/8/2020,220564.0,0.0,113284.0,2813.0
7/9/2020,230346.0,0.0,118326.0,2918.0
7/10/2020,240111.0,0.0,122996.0,3013.0
7/11/2020,250462.0,0.0,127880.0,3112.0
7/12/2020,258658.0,0.0,132638.0,3192.0
7/13/2020,264313.0,0.0,136419.0,3235.0
7/14/2020,271574.0,0.0,142398.0,3322.0
7/15/2020,282365.0,0.0,149276.0,3432.0
7/16/2020,292656.0,0.0,155937.0,3561.0
7/17/2020,307572.0,0.0,162191.0,3735.0
7/18/2020,317730.0,0.0,169581.0,3865.0
7/19/2020,325030.0,0.0,172936.0,3958.0
7/20/2020,332434.0,0.0,177871.0,4020.0
7/21/2020,341739.0,0.0,186529.0,4151.0
7/22/2020,351618.0,0.0,195315.0,4348.0
7/23/2020,361125.0,0.0,203826.0,4521.0
7/24/2020,369826.0,0.0,212216.0,4717.0
7/25/2020,375846.0,0.0,221510.0,4885.0
7/26/2020,381656.0,0.0,229107.0,5038.0
7/27/2020,385923.0,0.0,229107.0,5713.0
7/28/2020,394265.0,0.0,244449.0,5877.0
7/29/2020,403307.0,0.0,251346.0,6190.0
7/30/2020,412107.0,0.0,260542.0,6274.0
7/31/2020,420946.0,0.0,273191.0,6569.0
8/1/2020,430485.0,0.0,282604.0,6837.0
8/2/2020,436711.0,0.0,282604.0,6837.0
8/3/2020,442014.0,0.0,297422.0,7016.0
8/4/2020,451181.0,0.0,306262.0,7261.0
8/5/2020,459887.0,0.0,315652.0,7497.0
8/6/2020,467485.0,0.0,323804.0,7803.0
8/7/2020,474524.0,0.0,331668.0,8096.0
8/8/2020,481483.0,0.0,338343.0,8343.0
8/9/2020,486362.0,0.0,344845.0,8459.0
8/10/2020,490817.0,0.0,349833.0,8490.0
8/11/2020,500620.0,0.0,358312.0,8710.0
8/12/2020,506820.0,0.0,367354.0,9034.0
8/13/2020,513575.0,0.0,375760.0,9289.0
8/14/2020,520593.0,0.0,383717.0,9602.0
8/15/2020,528838.0,0.0,393266.0,9840.0
8/16/2020,535042.0,0.0,399572.0,9983.0
8/17/2020,542950.0,0.0,405817.0,10034.0
8/18/2020,550232.0,0.0,415903.0,10250.0
8/19/2020,557256.0,0.0,424685.0,10559.0
8/20/2020,562559.0,0.0,431960.0,10793.0
8/21/2020,567580.0,0.0,438825.0,11051.0
8/22/2020,573139.0,0.0,446030.0,11266.0
8/23/2020,577537.0,0.0,451776.0,11370.0
8/24/2020,580384.0,0.0,457182.0,11395.0
8/25/2020,586730.0,0.0,466550.0,11576.0
8/26/2020,592137.0,0.0,472421.0,11805.0
8/27/2020,597737.0,0.0,478752.0,12070.0
8/28/2020,601768.0,0.0,484880.0,12266.0
8/29/2020,606530.0,0.0,492921.0,12420.0
8/30/2020,610354.0,0.0,499518.0,12510.0
8/31/2020,612969.0,0.0,507499.0,12536.0
9/1/2020,617333.0,0.0,514861.0,12681.0
9/2/2020,621667.0,0.0,522087.0,12870.0
9/3/2020,625347.0,0.0,527359.0,13091.0
9/4/2020,630829.0,0.0,532223.0,13231.0
9/5/2020,635315.0,0.0,538282.0,13408.0
9/6/2020,638310.0,0.0,543412.0,13472.0
9/7/2020,640370.0,0.0,543412.0,13492.0
9/8/2020,641791.0,0.0,553409.0,13553.0
9/9/2020,645791.0,0.0,558894.0,13692.0
9/10/2020,649809.0,0.0,564114.0,13853.0
9/11/2020,653356.0,0.0,568067.0,13997.0
9/12/2020,657589.0,0.0,573670.0,14143.0
9/13/2020,659434.0,0.0,577832.0,14190.0
9/14/2020,663404.0,0.0,581204.0,14211.0
9/15/2020,668746.0,0.0,585912.0,14343.0
9/16/2020,674772.0,0.0,590837.0,14478.0
9/17/2020,678819.0,0.0,594817.0,14590.0
9/18/2020,682241.0,0.0,600662.0,14713.0
9/19/2020,686068.0,0.0,605522.0,14848.0
9/20/2020,688534.0,0.0,609210.0,14893.0
9/21/2020,698387.0,0.0,611856.0,14917.0
9/22/2020,716207.0,0.0,613896.0,14994.0
9/23/2020,719599.0,0.0,618054.0,15129.0
9/24/2020,723919.0,0.0,642169.0,15267.0
9/25/2020,728552.0,0.0,646143.0,15364.0
9/26/2020,733438.0,0.0,649580.0,15485.0
9/27/2020,735132.0,0.0,652376.0,15522.0
9/28/2020,739222.0,0.0,657407.0,15533.0
9/29/2020,743284.0,0.0,661038.0,15604.0
9/30/2020,748967.0,0.0,664883.0,15711.0
10/1/2020,752501.0,0.0,668515.0,15823.0
10/2/2020,756004.0,0.0,672144.0,15895.0
10/3/2020,763010.0,0.0,677244.0,15992.0
10/4/2020,765894.0,0.0,680083.0,16025.0
10/5/2020,769303.0,0.0,683700.0,16033.0
10/6/2020,773435.0,0.0,687277.0,16111.0
10/7/2020,777556.0,0.0,692123.0,16230.0
10/8/2020,781794.0,0.0,695194.0,16334.0
10/9/2020,785830.0,0.0,698481.0,16432.0
10/10/2020,790060.0,0.0,701583.0,16526.0
10/11/2020,792478.0,0.0,703662.0,16557.0
10/12/2020,795126.0,0.0,705189.0,16558.0
10/13/2020,800256.0,0.0,708349.0,16622.0
10/14/2020,805082.0,0.0,711438.0,16717.0
10/15/2020,809808.0,0.0,716015.0,16812.0
10/16/2020,815678.0,0.0,719478.0,16903.0
10/17/2020,820563.0,0.0,723204.0,16984.0
10/18/2020,823779.0,0.0,726231.0,17014.0
10/19/2020,825673.0,0.0,729762.0,17022.0
10/20/2020,833557.0,0.0,733758.0,17087.0
10/21/2020,838809.0,0.0,739140.0,17201.0
10/22/2020,845100.0,0.0,744283.0,17286.0
10/23/2020,851572.0,0.0,748252.0,17375.0
10/24/2020,858071.0,0.0,753611.0,17456.0
10/25/2020,862375.0,0.0,755095.0,17504.0
10/26/2020,867075.0,0.0,758192.0,17514.0
