Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,2.0,0.0,0.0,0.0
3/11/2020,2.0,0.0,0.0,0.0
3/12/2020,4.0,0.0,0.0,0.0
3/13/2020,6.0,0.0,0.0,0.0
3/14/2020,6.0,0.0,0.0,0.0
3/15/2020,28.0,0.0,0.0,0.0
3/16/2020,39.0,0.0,0.0,0.0
3/17/2020,51.0,0.0,0.0,0.0
3/18/2020,63.0,0.0,0.0,0.0
3/19/2020,78.0,0.0,0.0,0.0
3/20/2020,112.0,0.0,0.0,0.0
3/21/2020,136.0,0.0,0.0,0.0
3/22/2020,181.0,0.0,0.0,1.0
3/23/2020,257.0,0.0,0.0,1.0
3/24/2020,299.0,0.0,0.0,1.0
3/25/2020,346.0,0.0,0.0,1.0
3/26/2020,402.0,0.0,0.0,1.0
3/27/2020,480.0,0.0,0.0,2.0
3/28/2020,602.0,0.0,0.0,2.0
3/29/2020,719.0,0.0,0.0,2.0
3/30/2020,806.0,0.0,0.0,4.0
3/31/2020,887.0,73.0,0.0,5.0
4/1/2020,1012.0,91.0,0.0,7.0
4/2/2020,1074.0,100.0,0.0,7.0
4/3/2020,1246.0,106.0,0.0,7.0
4/4/2020,1428.0,117.0,0.0,8.0
4/5/2020,1605.0,124.0,0.0,8.0
4/6/2020,1675.0,138.0,0.0,13.0
4/7/2020,1738.0,148.0,0.0,13.0
4/8/2020,1846.0,158.0,0.0,13.0
4/9/2020,1976.0,168.0,0.0,13.0
4/10/2020,2102.0,183.0,0.0,17.0
4/11/2020,2206.0,190.0,0.0,18.0
4/12/2020,2303.0,195.0,0.0,18.0
4/13/2020,2363.0,201.0,218.0,18.0
4/14/2020,2412.0,213.0,218.0,19.0
4/15/2020,2542.0,221.0,218.0,20.0
4/16/2020,2683.0,238.0,357.0,21.0
4/17/2020,2805.0,244.0,443.0,23.0
4/18/2020,2931.0,251.0,565.0,25.0
4/19/2020,3069.0,259.0,679.0,27.0
4/20/2020,3213.0,268.0,776.0,28.0
4/21/2020,3296.0,277.0,888.0,32.0
4/22/2020,3445.0,288.0,970.0,34.0
4/23/2020,3612.0,301.0,1050.0,35.0
4/24/2020,3782.0,315.0,1252.0,39.0
4/25/2020,3948.0,329.0,1399.0,41.0
4/26/2020,4123.0,345.0,1568.0,41.0
4/27/2020,4233.0,349.0,1641.0,41.0
4/28/2020,4343.0,370.0,1704.0,45.0
4/29/2020,4495.0,383.0,1790.0,45.0
4/30/2020,4672.0,390.0,1939.0,46.0
5/1/2020,4828.0,403.0,2062.0,46.0
5/2/2020,4981.0,418.0,2185.0,49.0
5/3/2020,5175.0,436.0,2238.0,50.0
5/4/2020,5317.0,441.0,2342.0,50.0
5/5/2020,5449.0,456.0,2387.0,56.0
5/6/2020,5595.0,464.0,2509.0,58.0
5/7/2020,5724.0,476.0,2640.0,61.0
5/8/2020,5919.0,488.0,2769.0,61.0
5/9/2020,6103.0,498.0,2901.0,66.0
5/10/2020,6251.0,512.0,3033.0,67.0
5/11/2020,6362.0,517.0,3181.0,68.0
5/12/2020,6432.0,535.0,3267.0,73.0
5/13/2020,6620.0,553.0,3406.0,75.0
5/14/2020,6749.0,558.0,3566.0,75.0
5/15/2020,6913.0,566.0,3719.0,77.0
5/16/2020,7068.0,578.0,3896.0,78.0
5/17/2020,7238.0,586.0,4075.0,80.0
5/18/2020,7384.0,595.0,4183.0,80.0
5/19/2020,7518.0,619.0,4275.0,88.0
5/20/2020,7710.0,631.0,4423.0,90.0
5/21/2020,7874.0,647.0,4596.0,92.0
5/22/2020,8057.0,660.0,4748.0,93.0
5/23/2020,8260.0,676.0,4898.0,97.0
