Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,2.0,0.0,0.0,0.0
3/9/2020,3.0,0.0,0.0,0.0
3/10/2020,8.0,0.0,0.0,0.0
3/11/2020,9.0,0.0,0.0,0.0
3/12/2020,17.0,0.0,0.0,0.0
3/13/2020,30.0,0.0,0.0,0.0
3/14/2020,30.0,0.0,0.0,0.0
3/15/2020,45.0,0.0,0.0,1.0
3/16/2020,51.0,0.0,0.0,1.0
3/17/2020,67.0,0.0,0.0,1.0
3/18/2020,77.0,0.0,0.0,1.0
3/19/2020,94.0,0.0,0.0,2.0
3/20/2020,114.0,19.0,0.0,2.0
3/21/2020,152.0,20.0,0.0,2.0
3/22/2020,219.0,25.0,0.0,3.0
3/23/2020,254.0,32.0,0.0,6.0
3/24/2020,290.0,38.0,0.0,7.0
3/25/2020,391.0,45.0,0.0,9.0
3/26/2020,460.0,59.0,0.0,13.0
3/27/2020,604.0,65.0,0.0,14.0
3/28/2020,739.0,83.0,0.0,17.0
3/29/2020,890.0,99.0,0.0,22.0
3/30/2020,1020.0,112.0,0.0,25.0
3/31/2020,1250.0,136.0,0.0,27.0
4/1/2020,1484.0,165.0,0.0,34.0
4/2/2020,1706.0,208.0,0.0,41.0
4/3/2020,2012.0,246.0,0.0,46.0
4/4/2020,2407.0,312.0,0.0,52.0
4/5/2020,2637.0,390.0,0.0,51.0
4/6/2020,2878.0,431.0,0.0,54.0
4/7/2020,3333.0,497.0,0.0,63.0
4/8/2020,3645.0,563.0,0.0,75.0
4/9/2020,4042.0,563.0,0.0,109.0
4/10/2020,4509.0,685.0,0.0,121.0
4/11/2020,5077.0,772.0,0.0,130.0
4/12/2020,5274.0,837.0,0.0,141.0
4/13/2020,5747.0,872.0,0.0,149.0
4/14/2020,6171.0,903.0,0.0,154.0
4/15/2020,6500.0,978.0,0.0,195.0
4/16/2020,6889.0,1048.0,0.0,208.0
4/17/2020,7491.0,1114.0,0.0,231.0
4/18/2020,8053.0,1221.0,0.0,258.0
4/19/2020,8537.0,1296.0,0.0,277.0
4/20/2020,8990.0,1422.0,0.0,300.0
4/21/2020,9630.0,1500.0,0.0,324.0
4/22/2020,10266.0,1581.0,0.0,349.0
4/23/2020,10998.0,1659.0,0.0,372.0
4/24/2020,11594.0,1753.0,0.0,410.0
4/25/2020,12366.0,1837.0,0.0,436.0
