Dates,Infected,Hospitalized,Recovered,Deaths
3/16/2020,1.0,0.0,0.0,0.0
3/17/2020,2.0,0.0,0.0,0.0
3/18/2020,2.0,0.0,0.0,0.0
3/19/2020,3.0,0.0,0.0,0.0
3/20/2020,3.0,0.0,0.0,0.0
3/21/2020,6.0,0.0,0.0,0.0
3/22/2020,6.0,0.0,0.0,0.0
3/23/2020,17.0,0.0,0.0,0.0
3/24/2020,17.0,0.0,0.0,0.0
3/25/2020,17.0,0.0,0.0,0.0
3/26/2020,17.0,0.0,0.0,0.0
3/27/2020,19.0,0.0,0.0,0.0
3/28/2020,22.0,0.0,0.0,0.0
3/29/2020,23.0,0.0,0.0,0.0
3/30/2020,30.0,0.0,0.0,0.0
3/31/2020,30.0,0.0,21.0,0.0
4/1/2020,30.0,0.0,21.0,0.0
4/2/2020,33.0,0.0,25.0,0.0
4/3/2020,38.0,0.0,29.0,0.0
4/4/2020,40.0,0.0,34.0,0.0
4/5/2020,42.0,0.0,34.0,1.0
4/6/2020,43.0,0.0,36.0,1.0
4/7/2020,43.0,0.0,36.0,1.0
4/8/2020,45.0,0.0,39.0,1.0
4/9/2020,46.0,0.0,39.0,1.0
4/10/2020,50.0,0.0,43.0,1.0
4/11/2020,51.0,0.0,43.0,1.0
4/12/2020,51.0,0.0,43.0,1.0
4/13/2020,51.0,0.0,43.0,1.0
4/14/2020,51.0,0.0,44.0,1.0
4/15/2020,51.0,0.0,44.0,1.0
4/16/2020,51.0,0.0,46.0,1.0
4/17/2020,51.0,0.0,46.0,2.0
4/18/2020,53.0,0.0,46.0,3.0
4/19/2020,53.0,0.0,48.0,3.0
4/20/2020,53.0,0.0,48.0,3.0
4/21/2020,54.0,0.0,48.0,3.0
4/22/2020,54.0,0.0,48.0,3.0
4/23/2020,54.0,0.0,48.0,3.0
4/24/2020,54.0,0.0,50.0,3.0
4/25/2020,55.0,0.0,51.0,3.0
4/26/2020,57.0,0.0,51.0,4.0
4/27/2020,59.0,0.0,51.0,4.0
4/28/2020,59.0,0.0,51.0,4.0
4/29/2020,62.0,0.0,51.0,4.0
4/30/2020,66.0,0.0,51.0,4.0
5/1/2020,66.0,0.0,51.0,4.0
5/2/2020,66.0,0.0,51.0,4.0
5/3/2020,66.0,0.0,51.0,4.0
5/4/2020,66.0,0.0,51.0,4.0
5/5/2020,66.0,0.0,51.0,4.0
5/6/2020,66.0,0.0,54.0,4.0
5/7/2020,66.0,0.0,54.0,4.0
5/8/2020,68.0,0.0,57.0,4.0
5/9/2020,68.0,0.0,57.0,4.0
5/10/2020,69.0,0.0,59.0,4.0
5/11/2020,69.0,0.0,60.0,5.0
5/12/2020,69.0,0.0,61.0,6.0
5/13/2020,69.0,0.0,61.0,6.0
5/14/2020,69.0,0.0,61.0,6.0
5/15/2020,69.0,0.0,61.0,6.0
5/16/2020,69.0,0.0,61.0,6.0
5/17/2020,69.0,0.0,61.0,6.0
5/18/2020,69.0,0.0,61.0,6.0
5/19/2020,69.0,0.0,61.0,6.0
5/20/2020,69.0,0.0,61.0,6.0
5/21/2020,69.0,0.0,61.0,6.0
5/22/2020,69.0,0.0,61.0,6.0
5/23/2020,69.0,0.0,61.0,6.0
5/24/2020,69.0,0.0,61.0,6.0
5/25/2020,69.0,0.0,61.0,6.0
5/26/2020,69.0,0.0,61.0,6.0
5/27/2020,69.0,0.0,61.0,6.0
5/28/2020,69.0,0.0,61.0,6.0
5/29/2020,69.0,0.0,61.0,6.0
5/30/2020,69.0,0.0,61.0,6.0
5/31/2020,69.0,0.0,61.0,6.0
6/1/2020,70.0,0.0,62.0,6.0
6/2/2020,70.0,0.0,62.0,6.0
6/3/2020,70.0,0.0,62.0,6.0
6/4/2020,71.0,0.0,62.0,6.0
6/5/2020,71.0,0.0,62.0,6.0
6/6/2020,71.0,0.0,62.0,6.0
6/7/2020,71.0,0.0,62.0,6.0
6/8/2020,71.0,0.0,62.0,6.0
6/9/2020,71.0,0.0,63.0,6.0
6/10/2020,72.0,0.0,64.0,6.0
6/11/2020,72.0,0.0,64.0,6.0
6/12/2020,72.0,0.0,64.0,6.0
6/13/2020,72.0,0.0,64.0,6.0
6/14/2020,72.0,0.0,64.0,6.0
6/15/2020,73.0,0.0,64.0,6.0
6/16/2020,73.0,0.0,64.0,6.0
6/17/2020,73.0,0.0,64.0,6.0
6/18/2020,73.0,0.0,64.0,6.0
6/19/2020,74.0,0.0,64.0,6.0
6/20/2020,74.0,0.0,64.0,6.0
6/21/2020,76.0,0.0,64.0,6.0
6/22/2020,76.0,0.0,64.0,6.0
6/23/2020,76.0,0.0,64.0,6.0
6/24/2020,78.0,0.0,64.0,6.0
6/25/2020,80.0,0.0,64.0,6.0
6/26/2020,81.0,0.0,67.0,6.0
6/27/2020,81.0,0.0,71.0,6.0
6/28/2020,81.0,0.0,71.0,6.0
6/29/2020,81.0,0.0,71.0,6.0
6/30/2020,84.0,0.0,73.0,6.0
7/1/2020,90.0,0.0,73.0,6.0
7/2/2020,92.0,0.0,75.0,6.0
7/3/2020,98.0,0.0,75.0,6.0
7/4/2020,111.0,0.0,76.0,6.0
7/5/2020,111.0,0.0,76.0,6.0
7/6/2020,112.0,0.0,79.0,6.0
7/7/2020,116.0,0.0,79.0,6.0
7/8/2020,122.0,0.0,80.0,6.0
7/9/2020,144.0,0.0,81.0,6.0
7/10/2020,153.0,0.0,87.0,6.0
7/11/2020,167.0,0.0,92.0,6.0
7/12/2020,181.0,0.0,93.0,6.0
7/13/2020,206.0,0.0,96.0,6.0
7/14/2020,206.0,0.0,96.0,6.0
7/15/2020,243.0,0.0,112.0,6.0
7/16/2020,249.0,0.0,120.0,6.0
7/17/2020,263.0,0.0,126.0,6.0
7/18/2020,283.0,0.0,133.0,6.0
7/19/2020,297.0,0.0,135.0,6.0
7/20/2020,304.0,0.0,135.0,6.0
7/21/2020,308.0,0.0,158.0,6.0
7/22/2020,320.0,0.0,172.0,7.0
7/23/2020,336.0,0.0,182.0,7.0
7/24/2020,336.0,0.0,182.0,7.0
7/25/2020,352.0,0.0,236.0,7.0
7/26/2020,361.0,0.0,238.0,7.0
7/27/2020,364.0,0.0,250.0,7.0
7/28/2020,375.0,0.0,292.0,7.0
7/29/2020,385.0,0.0,296.0,8.0
7/30/2020,385.0,0.0,296.0,8.0
7/31/2020,406.0,0.0,338.0,8.0
8/1/2020,421.0,0.0,341.0,8.0
8/2/2020,421.0,0.0,341.0,8.0
8/3/2020,439.0,0.0,354.0,8.0
8/4/2020,463.0,0.0,364.0,8.0
8/5/2020,481.0,0.0,374.0,8.0
8/6/2020,501.0,0.0,384.0,9.0
8/7/2020,522.0,0.0,398.0,9.0
8/8/2020,528.0,0.0,404.0,9.0
8/9/2020,547.0,0.0,404.0,9.0
8/10/2020,547.0,0.0,410.0,9.0
8/11/2020,576.0,0.0,439.0,9.0
8/12/2020,639.0,0.0,468.0,9.0
8/13/2020,682.0,0.0,476.0,9.0
8/14/2020,704.0,0.0,502.0,9.0
8/15/2020,734.0,0.0,519.0,9.0
8/16/2020,741.0,0.0,523.0,9.0
8/17/2020,760.0,0.0,525.0,9.0
8/18/2020,796.0,0.0,533.0,9.0
8/19/2020,828.0,0.0,584.0,9.0
8/20/2020,869.0,0.0,623.0,10.0
8/21/2020,932.0,0.0,649.0,10.0
8/22/2020,960.0,0.0,655.0,10.0
8/23/2020,960.0,0.0,655.0,10.0
8/24/2020,984.0,0.0,712.0,11.0
8/25/2020,998.0,0.0,754.0,12.0
8/26/2020,1030.0,0.0,801.0,14.0
8/27/2020,1052.0,0.0,824.0,14.0
8/28/2020,1075.0,0.0,864.0,14.0
8/29/2020,1118.0,0.0,891.0,14.0
8/30/2020,1129.0,0.0,893.0,14.0
8/31/2020,1134.0,0.0,898.0,14.0
9/1/2020,1139.0,0.0,950.0,15.0
9/2/2020,1143.0,0.0,998.0,15.0
9/3/2020,1144.0,0.0,1010.0,15.0
9/4/2020,1150.0,0.0,1050.0,16.0
9/5/2020,1167.0,0.0,1061.0,16.0
9/6/2020,1181.0,0.0,1069.0,17.0
9/7/2020,1190.0,0.0,1069.0,17.0
9/8/2020,1191.0,0.0,1070.0,18.0
9/9/2020,1191.0,0.0,1070.0,18.0
9/10/2020,1197.0,0.0,1119.0,18.0
9/11/2020,1201.0,0.0,1124.0,18.0
9/12/2020,1211.0,0.0,1143.0,19.0
9/13/2020,1220.0,0.0,1144.0,19.0
9/14/2020,1221.0,0.0,1144.0,19.0
9/15/2020,1225.0,0.0,1159.0,19.0
9/16/2020,1232.0,0.0,1170.0,19.0
9/17/2020,1238.0,0.0,1172.0,19.0
