Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,1.0,0.0,0.0,0.0
3/11/2020,1.0,0.0,0.0,0.0
3/12/2020,2.0,0.0,0.0,0.0
3/13/2020,2.0,0.0,0.0,0.0
3/14/2020,5.0,0.0,0.0,0.0
3/15/2020,8.0,0.0,0.0,0.0
3/16/2020,12.0,0.0,0.0,0.0
3/17/2020,17.0,0.0,0.0,0.0
3/18/2020,19.0,0.0,0.0,0.0
3/19/2020,21.0,0.0,0.0,0.0
3/20/2020,28.0,0.0,0.0,2.0
3/21/2020,44.0,0.0,0.0,2.0
3/22/2020,52.0,0.0,0.0,2.0
3/23/2020,76.0,0.0,0.0,5.0
3/24/2020,97.0,0.0,0.0,7.0
3/25/2020,125.0,0.0,0.0,8.0
3/26/2020,160.0,0.0,0.0,9.0
3/27/2020,185.0,18.0,0.0,10.0
3/28/2020,213.0,18.0,0.0,12.0
3/29/2020,234.0,18.0,0.0,12.0
3/30/2020,256.0,18.0,0.0,12.0
3/31/2020,293.0,36.0,15.0,13.0
4/1/2020,320.0,45.0,15.0,16.0
4/2/2020,359.0,45.0,15.0,17.0
4/3/2020,390.0,45.0,15.0,17.0
4/4/2020,460.0,45.0,15.0,20.0
4/5/2020,512.0,45.0,15.0,22.0
4/6/2020,543.0,45.0,15.0,23.0
4/7/2020,575.0,45.0,15.0,23.0
4/8/2020,608.0,50.0,15.0,23.0
4/9/2020,631.0,0.0,15.0,23.0
4/10/2020,680.0,0.0,15.0,24.0
4/11/2020,713.0,0.0,15.0,25.0
4/12/2020,733.0,0.0,15.0,27.0
4/13/2020,754.0,0.0,15.0,28.0
4/14/2020,761.0,0.0,15.0,29.0
4/15/2020,770.0,0.0,15.0,30.0
4/16/2020,779.0,0.0,15.0,35.0
4/17/2020,792.0,0.0,15.0,35.0
4/18/2020,802.0,0.0,15.0,38.0
4/19/2020,813.0,0.0,15.0,38.0
4/20/2020,817.0,0.0,15.0,38.0
4/21/2020,820.0,0.0,0.0,40.0
4/22/2020,828.0,0.0,0.0,40.0
4/23/2020,831.0,0.0,0.0,43.0
4/24/2020,834.0,0.0,0.0,44.0
4/25/2020,843.0,0.0,0.0,46.0
4/26/2020,852.0,0.0,0.0,46.0
4/27/2020,855.0,0.0,0.0,47.0
4/28/2020,862.0,0.0,0.0,47.0
4/29/2020,862.0,0.0,0.0,47.0
4/30/2020,866.0,0.0,0.0,49.0
5/1/2020,879.0,0.0,0.0,50.0
5/2/2020,885.0,0.0,0.0,51.0
5/3/2020,896.0,0.0,0.0,52.0
5/4/2020,901.0,0.0,0.0,52.0
5/5/2020,906.0,0.0,0.0,52.0
5/6/2020,909.0,0.0,706.0,52.0
5/7/2020,914.0,0.0,718.0,53.0
5/8/2020,916.0,0.0,737.0,53.0
5/9/2020,918.0,0.0,744.0,53.0
5/10/2020,926.0,0.0,777.0,53.0
5/11/2020,926.0,0.0,785.0,53.0
5/12/2020,927.0,0.0,787.0,53.0
5/13/2020,929.0,0.0,789.0,53.0
5/14/2020,930.0,0.0,792.0,53.0
5/15/2020,931.0,0.0,796.0,53.0
5/16/2020,932.0,0.0,804.0,53.0
5/17/2020,940.0,0.0,810.0,54.0
5/18/2020,940.0,0.0,815.0,54.0
5/19/2020,944.0,0.0,820.0,54.0
5/20/2020,945.0,0.0,824.0,54.0
5/21/2020,950.0,0.0,827.0,54.0
5/22/2020,952.0,0.0,834.0,54.0
5/23/2020,954.0,0.0,837.0,54.0
5/24/2020,957.0,0.0,839.0,54.0
5/25/2020,963.0,0.0,843.0,54.0
5/26/2020,968.0,0.0,848.0,54.0
5/27/2020,970.0,0.0,849.0,54.0
5/28/2020,974.0,0.0,855.0,55.0
5/29/2020,975.0,0.0,859.0,55.0
5/30/2020,977.0,0.0,865.0,55.0
5/31/2020,981.0,0.0,873.0,55.0
6/1/2020,985.0,0.0,880.0,55.0
6/2/2020,987.0,0.0,879.0,55.0
6/3/2020,989.0,0.0,879.0,55.0
6/4/2020,1025.0,0.0,881.0,55.0
6/5/2020,1027.0,0.0,882.0,55.0
6/6/2020,1044.0,0.0,888.0,55.0
6/7/2020,1061.0,0.0,890.0,55.0
6/8/2020,1073.0,0.0,895.0,55.0
6/9/2020,1081.0,0.0,901.0,55.0
6/10/2020,1092.0,0.0,903.0,55.0
6/11/2020,1108.0,0.0,905.0,55.0
6/12/2020,1118.0,0.0,907.0,55.0
6/13/2020,1123.0,0.0,908.0,55.0
6/14/2020,1125.0,0.0,909.0,55.0
6/15/2020,1126.0,0.0,912.0,55.0
6/16/2020,1129.0,0.0,914.0,55.0
6/17/2020,1129.0,0.0,915.0,55.0
6/18/2020,1135.0,0.0,917.0,56.0
6/19/2020,1143.0,0.0,918.0,56.0
6/20/2020,1147.0,0.0,920.0,56.0
6/21/2020,1159.0,0.0,922.0,56.0
6/22/2020,1163.0,0.0,926.0,56.0
6/23/2020,1165.0,0.0,927.0,56.0
6/24/2020,1185.0,0.0,930.0,56.0
6/25/2020,1192.0,0.0,938.0,56.0
6/26/2020,1199.0,0.0,941.0,56.0
6/27/2020,1201.0,0.0,946.0,56.0
6/28/2020,1204.0,0.0,946.0,56.0
6/29/2020,1210.0,0.0,949.0,56.0
6/30/2020,1210.0,0.0,953.0,56.0
7/1/2020,1212.0,0.0,961.0,56.0
7/2/2020,1229.0,0.0,960.0,56.0
7/3/2020,1238.0,0.0,967.0,56.0
7/4/2020,1240.0,0.0,999.0,56.0
7/5/2020,1251.0,0.0,1007.0,56.0
7/6/2020,1253.0,0.0,1022.0,56.0
7/7/2020,1256.0,0.0,1039.0,56.0
7/8/2020,1258.0,0.0,1049.0,56.0
7/9/2020,1272.0,0.0,1054.0,56.0
7/10/2020,1277.0,0.0,1066.0,56.0
7/11/2020,1282.0,0.0,1066.0,56.0
7/12/2020,1295.0,0.0,1089.0,56.0
7/13/2020,1301.0,0.0,1096.0,56.0
7/14/2020,1305.0,0.0,1099.0,56.0
7/15/2020,1317.0,0.0,1104.0,56.0
7/16/2020,1327.0,0.0,1111.0,56.0
7/17/2020,1336.0,0.0,1121.0,56.0
7/18/2020,1339.0,0.0,1125.0,56.0
7/19/2020,1349.0,0.0,1137.0,56.0
7/20/2020,1359.0,0.0,1139.0,56.0
7/21/2020,1366.0,0.0,1148.0,56.0
7/22/2020,1368.0,0.0,1152.0,56.0
7/23/2020,1379.0,0.0,1156.0,56.0
7/24/2020,1384.0,0.0,1177.0,56.0
7/25/2020,1397.0,0.0,1182.0,56.0
7/26/2020,1401.0,0.0,1186.0,56.0
7/27/2020,1403.0,0.0,1190.0,56.0
7/28/2020,1406.0,0.0,1194.0,56.0
7/29/2020,1407.0,0.0,1199.0,56.0
7/30/2020,1408.0,0.0,1207.0,57.0
7/31/2020,1416.0,0.0,1211.0,57.0
8/1/2020,1421.0,0.0,1231.0,57.0
8/2/2020,1425.0,0.0,1238.0,57.0
8/3/2020,1426.0,0.0,1240.0,57.0
8/4/2020,1431.0,0.0,1249.0,57.0
8/5/2020,1436.0,0.0,1254.0,57.0
8/6/2020,1446.0,0.0,1258.0,58.0
8/7/2020,1447.0,0.0,1260.0,58.0
8/8/2020,1453.0,0.0,1272.0,58.0
8/9/2020,1458.0,0.0,1279.0,58.0
8/10/2020,1461.0,0.0,1282.0,58.0
8/11/2020,1473.0,0.0,1295.0,58.0
8/12/2020,1478.0,0.0,1302.0,58.0
8/13/2020,1484.0,0.0,1310.0,58.0
8/14/2020,1501.0,0.0,1321.0,58.0
8/15/2020,1510.0,0.0,1332.0,58.0
8/16/2020,1515.0,0.0,1337.0,58.0
