Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,206.0,0.0,0.0,27.0
3/8/2020,244.0,0.0,0.0,31.0
3/9/2020,282.0,0.0,0.0,35.0
3/10/2020,343.0,0.0,0.0,37.0
3/11/2020,405.0,0.0,0.0,40.0
3/12/2020,515.0,0.0,0.0,44.0
3/13/2020,648.0,0.0,0.0,47.0
3/14/2020,827.0,0.0,0.0,51.0
3/15/2020,1041.0,0.0,0.0,57.0
3/16/2020,1197.0,0.0,0.0,69.0
3/17/2020,1305.0,0.0,0.0,78.0
3/18/2020,1605.0,0.0,0.0,82.0
3/19/2020,1873.0,0.0,0.0,92.0
3/20/2020,2163.0,0.0,0.0,104.0
3/21/2020,2497.0,0.0,0.0,111.0
3/22/2020,2801.0,0.0,0.0,126.0
3/23/2020,2998.0,0.0,0.0,137.0
3/24/2020,3190.0,0.0,0.0,146.0
3/25/2020,3653.0,0.0,0.0,159.0
3/26/2020,4091.0,0.0,0.0,183.0
3/27/2020,4532.0,0.0,0.0,199.0
3/28/2020,4967.0,0.0,0.0,220.0
3/29/2020,5429.0,0.0,0.0,237.0
3/30/2020,5716.0,0.0,0.0,248.0
3/31/2020,5957.0,0.0,0.0,262.0
4/1/2020,6525.0,0.0,0.0,282.0
4/2/2020,6987.0,0.0,0.0,310.0
4/3/2020,7439.0,0.0,0.0,338.0
4/4/2020,7838.0,0.0,0.0,365.0
4/5/2020,8254.0,0.0,0.0,386.0
4/6/2020,8461.0,0.0,0.0,407.0
4/7/2020,8632.0,0.0,0.0,429.0
4/8/2020,9027.0,0.0,0.0,443.0
4/9/2020,9440.0,0.0,0.0,459.0
4/10/2020,9786.0,0.0,0.0,476.0
4/11/2020,10149.0,0.0,0.0,494.0
4/12/2020,10458.0,0.0,0.0,509.0
4/13/2020,10613.0,0.0,0.0,526.0
4/14/2020,10703.0,0.0,0.0,542.0
4/15/2020,11074.0,0.0,0.0,551.0
4/16/2020,11376.0,0.0,0.0,571.0
4/17/2020,11705.0,0.0,0.0,585.0
4/18/2020,12014.0,0.0,0.0,598.0
4/19/2020,12361.0,0.0,0.0,615.0
4/20/2020,12537.0,0.0,0.0,629.0
4/21/2020,12633.0,0.0,0.0,640.0
4/22/2020,12967.0,0.0,0.0,647.0
4/23/2020,13235.0,0.0,0.0,654.0
4/24/2020,13519.0,0.0,0.0,659.0
4/25/2020,13794.0,0.0,0.0,665.0
4/26/2020,14145.0,0.0,0.0,738.0
4/27/2020,14311.0,0.0,0.0,749.0
4/28/2020,14425.0,0.0,0.0,765.0
4/29/2020,14795.0,0.0,0.0,786.0
4/30/2020,15090.0,0.0,0.0,801.0
5/1/2020,15418.0,0.0,0.0,814.0
5/2/2020,15665.0,0.0,0.0,824.0
5/3/2020,15983.0,0.0,0.0,830.0
5/4/2020,16096.0,0.0,0.0,834.0
5/5/2020,16181.0,0.0,0.0,841.0
5/6/2020,16569.0,0.0,0.0,862.0
5/7/2020,16828.0,0.0,0.0,870.0
5/8/2020,17117.0,0.0,0.0,891.0
5/9/2020,17383.0,0.0,0.0,905.0
5/10/2020,17637.0,0.0,0.0,921.0
5/11/2020,17763.0,0.0,0.0,931.0
5/12/2020,17824.0,0.0,0.0,945.0
5/13/2020,18118.0,0.0,0.0,962.0
5/14/2020,18369.0,0.0,0.0,975.0
5/15/2020,18681.0,0.0,0.0,983.0
5/16/2020,18952.0,0.0,0.0,992.0
5/17/2020,19234.0,0.0,0.0,1000.0
5/18/2020,19352.0,0.0,0.0,1001.0
5/19/2020,19416.0,0.0,0.0,1002.0
5/20/2020,19735.0,0.0,0.0,1031.0
5/21/2020,20034.0,3125.0,0.0,1037.0
5/22/2020,20302.0,3156.0,0.0,1044.0
5/23/2020,20599.0,3230.0,0.0,1050.0
5/24/2020,20912.0,3256.0,0.0,1055.0
5/25/2020,21063.0,3287.0,0.0,1061.0
5/26/2020,21165.0,3290.0,0.0,1070.0
5/27/2020,21314.0,3338.0,0.0,1078.0
5/28/2020,21714.0,3394.0,0.0,1095.0
5/29/2020,22065.0,3413.0,0.0,1106.0
5/30/2020,22367.0,3455.0,0.0,1111.0
5/31/2020,22711.0,3480.0,0.0,1118.0
6/1/2020,22860.0,3501.0,0.0,1118.0
6/2/2020,22960.0,3517.0,0.0,1124.0
6/3/2020,23370.0,3543.0,0.0,1129.0
6/4/2020,23787.0,3578.0,0.0,1135.0
6/5/2020,24169.0,3615.0,0.0,1138.0
6/6/2020,24496.0,3639.0,0.0,1149.0
6/7/2020,24889.0,3652.0,0.0,1153.0
6/8/2020,25052.0,3669.0,0.0,1159.0
6/9/2020,25162.0,3699.0,0.0,1161.0
6/10/2020,25672.0,3747.0,0.0,1176.0
6/11/2020,26081.0,3773.0,0.0,1190.0
6/12/2020,26452.0,3772.0,0.0,1194.0
6/13/2020,26852.0,3817.0,0.0,1204.0
6/14/2020,27242.0,3845.0,0.0,1213.0
6/15/2020,27435.0,3856.0,0.0,1217.0
6/16/2020,27571.0,3894.0,0.0,1221.0
6/17/2020,28091.0,3915.0,0.0,1231.0
6/18/2020,28585.0,3938.0,0.0,1226.0
6/19/2020,29045.0,3959.0,0.0,1245.0
6/20/2020,29587.0,4003.0,0.0,1255.0
6/21/2020,30108.0,4030.0,0.0,1265.0
6/22/2020,30423.0,4049.0,0.0,1270.0
6/23/2020,30614.0,4062.0,0.0,1276.0
6/24/2020,31338.0,4067.0,0.0,1284.0
6/25/2020,31958.0,4093.0,0.0,1293.0
6/26/2020,32634.0,4106.0,0.0,1300.0
6/27/2020,33295.0,4194.0,0.0,1304.0
6/28/2020,33921.0,4240.0,0.0,1310.0
6/29/2020,34414.0,4275.0,0.0,1310.0
6/30/2020,34680.0,4323.0,0.0,1320.0
7/1/2020,35669.0,4361.0,0.0,1332.0
7/2/2020,36589.0,4402.0,0.0,1339.0
