Dates,Infected,Hospitalized,Recovered,Deaths
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,2.0,0.0,0.0,0.0
3/11/2020,3.0,0.0,0.0,0.0
3/12/2020,9.0,0.0,0.0,0.0
3/13/2020,23.0,0.0,0.0,0.0
3/14/2020,23.0,0.0,0.0,0.0
3/15/2020,37.0,0.0,0.0,0.0
3/16/2020,56.0,0.0,0.0,0.0
3/17/2020,83.0,0.0,0.0,0.0
3/18/2020,121.0,0.0,0.0,0.0
3/19/2020,174.0,0.0,0.0,0.0
3/20/2020,235.0,0.0,0.0,3.0
3/21/2020,315.0,0.0,0.0,4.0
3/22/2020,425.0,0.0,0.0,4.0
3/23/2020,466.0,0.0,0.0,5.0
3/24/2020,525.0,0.0,0.0,5.0
3/25/2020,667.0,0.0,0.0,7.0
3/26/2020,806.0,0.0,0.0,8.0
3/27/2020,969.0,0.0,0.0,13.0
3/28/2020,1134.0,0.0,0.0,13.0
3/29/2020,1276.0,0.0,0.0,13.0
3/30/2020,1422.0,0.0,0.0,14.0
3/31/2020,1585.0,337.0,0.0,16.0
4/1/2020,1821.0,398.0,0.0,24.0
4/2/2020,2040.0,461.0,0.0,31.0
4/3/2020,2263.0,487.0,0.0,37.0
4/4/2020,2476.0,588.0,0.0,56.0
4/5/2020,2643.0,624.0,0.0,68.0
4/6/2020,2866.0,668.0,0.0,77.0
4/7/2020,3064.0,745.0,0.0,92.0
4/8/2020,3279.0,790.0,0.0,99.0
4/9/2020,3443.0,843.0,0.0,111.0
4/10/2020,3665.0,904.0,0.0,128.0
4/11/2020,3822.0,950.0,0.0,137.0
4/12/2020,3964.0,974.0,0.0,144.0
4/13/2020,4080.0,993.0,0.0,154.0
4/14/2020,4246.0,1049.0,0.0,170.0
4/15/2020,4453.0,1091.0,0.0,182.0
4/16/2020,4636.0,1121.0,0.0,197.0
4/17/2020,4839.0,1153.0,0.0,205.0
4/18/2020,5013.0,1176.0,0.0,211.0
4/19/2020,5176.0,1190.0,0.0,220.0
4/20/2020,5353.0,1211.0,0.0,230.0
4/21/2020,5509.0,1252.0,0.0,242.0
4/22/2020,5766.0,1302.0,0.0,246.0
4/23/2020,6011.0,1318.0,0.0,257.0
4/24/2020,6364.0,1353.0,0.0,262.0
4/25/2020,6715.0,1376.0,0.0,266.0
4/26/2020,6963.0,1397.0,0.0,272.0
4/27/2020,7161.0,1415.0,0.0,281.0
4/28/2020,7391.0,1456.0,0.0,300.0
4/29/2020,7660.0,1489.0,0.0,308.0
4/30/2020,8052.0,1512.0,3352.0,316.0
5/1/2020,8550.0,1544.0,3352.0,327.0
5/2/2020,8920.0,1591.0,3698.0,334.0
5/3/2020,9227.0,1608.0,3723.0,339.0
5/4/2020,9538.0,1621.0,3973.0,340.0
5/5/2020,9896.0,1663.0,4131.0,353.0
5/6/2020,10262.0,1694.0,4348.0,362.0
5/7/2020,10621.0,1732.0,4520.0,374.0
5/8/2020,11030.0,1767.0,4694.0,384.0
5/9/2020,11402.0,1806.0,4875.0,398.0
5/10/2020,11694.0,1820.0,5014.0,400.0
5/11/2020,11920.0,1846.0,5176.0,409.0
5/12/2020,12131.0,1877.0,5371.0,418.0
5/13/2020,12449.0,1908.0,5673.0,421.0
5/14/2020,12869.0,1939.0,5994.0,434.0
5/15/2020,13344.0,1977.0,6250.0,445.0
5/16/2020,13878.0,2018.0,6542.0,453.0
5/17/2020,14257.0,2038.0,6542.0,453.0
5/18/2020,14442.0,2068.0,6786.0,459.0
5/19/2020,14692.0,2110.0,7371.0,467.0
5/20/2020,15269.0,2161.0,7728.0,481.0
5/21/2020,15792.0,2218.0,8012.0,487.0
5/22/2020,16340.0,2259.0,8362.0,496.0
