Dates,Infected,Vaccinated,Recovered,Deaths
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0,0.0
3/12/2020,1.0,0.0,0.0,0.0
3/13/2020,1.0,0.0,0.0,0.0
3/14/2020,2.0,0.0,0.0,0.0
3/15/2020,3.0,0.0,0.0,0.0
3/16/2020,3.0,0.0,0.0,0.0
3/17/2020,10.0,0.0,0.0,0.0
3/18/2020,15.0,0.0,0.0,0.0
3/19/2020,18.0,0.0,0.0,0.0
3/20/2020,19.0,0.0,0.0,0.0
3/21/2020,23.0,0.0,0.0,0.0
3/22/2020,24.0,0.0,0.0,0.0
3/23/2020,26.0,0.0,0.0,0.0
3/24/2020,29.0,0.0,0.0,0.0
3/25/2020,44.0,0.0,7.0,0.0
3/26/2020,53.0,0.0,12.0,0.0
3/27/2020,70.0,11.0,17.0,0.0
3/28/2020,82.0,14.0,18.0,0.0
3/29/2020,86.0,15.0,20.0,0.0
3/30/2020,94.0,17.0,24.0,0.0
3/31/2020,109.0,17.0,26.0,0.0
4/1/2020,130.0,18.0,31.0,0.0
4/2/2020,150.0,19.0,31.0,0.0
4/3/2020,162.0,21.0,37.0,0.0
4/4/2020,187.0,23.0,49.0,0.0
4/5/2020,197.0,23.0,50.0,0.0
4/6/2020,210.0,23.0,52.0,0.0
4/7/2020,216.0,33.0,62.0,0.0
4/8/2020,303.0,33.0,62.0,0.0
4/9/2020,320.0,34.0,94.0,0.0
4/10/2020,340.0,37.0,105.0,0.0
4/11/2020,343.0,37.0,129.0,0.0
4/12/2020,364.0,40.0,137.0,0.0
4/13/2020,373.0,41.0,138.0,1.0
4/14/2020,383.0,43.0,140.0,1.0
4/15/2020,393.0,43.0,129.0,2.0
4/16/2020,401.0,43.0,148.0,2.0
4/17/2020,412.0,43.0,148.0,2.0
4/18/2020,422.0,50.0,206.0,2.0
4/19/2020,426.0,50.0,227.0,2.0
4/20/2020,428.0,51.0,233.0,2.0
4/21/2020,441.0,52.0,237.0,6.0
4/22/2020,447.0,52.0,254.0,6.0
4/23/2020,453.0,52.0,275.0,7.0
4/24/2020,473.0,54.0,321.0,7.0
4/25/2020,491.0,54.0,321.0,7.0
4/26/2020,502.0,54.0,334.0,7.0
4/27/2020,520.0,54.0,342.0,7.0
4/28/2020,536.0,56.0,343.0,7.0
4/29/2020,544.0,56.0,362.0,7.0
4/30/2020,559.0,56.0,371.0,7.0
5/1/2020,566.0,56.0,373.0,7.0
5/2/2020,579.0,58.0,387.0,7.0
5/3/2020,586.0,60.0,391.0,7.0
5/4/2020,596.0,60.0,391.0,7.0
5/5/2020,604.0,60.0,405.0,7.0
5/6/2020,631.0,60.0,409.0,7.0
5/7/2020,635.0,59.0,416.0,7.0
5/8/2020,644.0,60.0,428.0,7.0
5/9/2020,653.0,64.0,438.0,7.0
5/10/2020,662.0,65.0,443.0,7.0
5/11/2020,669.0,66.0,443.0,7.0
5/12/2020,675.0,67.0,477.0,7.0
5/13/2020,688.0,67.0,477.0,7.0
5/14/2020,701.0,67.0,480.0,7.0
5/15/2020,716.0,68.0,487.0,7.0
5/16/2020,741.0,69.0,496.0,7.0
5/17/2020,754.0,70.0,498.0,8.0
5/18/2020,766.0,73.0,498.0,8.0
5/19/2020,776.0,73.0,504.0,10.0
5/20/2020,787.0,74.0,528.0,11.0
5/21/2020,801.0,75.0,534.0,11.0
5/22/2020,803.0,76.0,551.0,12.0
5/23/2020,813.0,77.0,551.0,12.0
5/24/2020,838.0,78.0,556.0,12.0
5/25/2020,843.0,79.0,575.0,12.0
5/26/2020,850.0,82.0,607.0,13.0
5/27/2020,860.0,82.0,607.0,13.0
5/28/2020,876.0,82.0,624.0,15.0
5/29/2020,891.0,84.0,634.0,15.0
5/30/2020,898.0,85.0,658.0,16.0
