Dates,Infected,Tested,Recovered,Deaths
2020-02-24T18:00:00,18.0,0.0,0.0,0.0
2020-02-25T18:00:00,26.0,0.0,0.0,0.0
2020-02-26T18:00:00,46.0,0.0,0.0,1.0
2020-02-27T18:00:00,96.0,0.0,0.0,1.0
2020-02-28T18:00:00,143.0,0.0,0.0,2.0
2020-02-29T17:00:00,213.0,0.0,0.0,4.0
2020-03-01T17:00:00,277.0,0.0,0.0,8.0
2020-03-02T18:00:00,324.0,0.0,0.0,11.0
2020-03-03T18:00:00,398.0,0.0,4.0,18.0
2020-03-04T17:00:00,516.0,0.0,6.0,22.0
2020-03-05T17:00:00,658.0,0.0,10.0,30.0
2020-03-06T17:00:00,816.0,0.0,17.0,37.0
2020-03-07T18:00:00,937.0,0.0,25.0,48.0
2020-03-08T18:00:00,1097.0,0.0,27.0,56.0
2020-03-09T18:00:00,1286.0,0.0,30.0,70.0
2020-03-10T18:00:00,1417.0,0.0,31.0,85.0
2020-03-11T17:00:00,1588.0,0.0,38.0,113.0
2020-03-12T17:00:00,1758.0,0.0,43.0,146.0
2020-03-13T17:00:00,2011.0,0.0,51.0,201.0
2020-03-14T17:00:00,2349.0,0.0,54.0,241.0
2020-03-15T17:00:00,2741.0,0.0,68.0,284.0
2020-03-16T17:00:00,3088.0,0.0,88.0,346.0
2020-03-17T17:00:00,3404.0,0.0,134.0,393.0
2020-03-18T17:00:00,3915.0,0.0,152.0,458.0
2020-03-19T17:00:00,4506.0,0.0,177.0,531.0
2020-03-20T17:00:00,5089.0,0.0,239.0,640.0
2020-03-21T17:00:00,5661.0,0.0,329.0,715.0
2020-03-22T17:00:00,6390.0,0.0,349.0,816.0
2020-03-23T17:00:00,7220.0,0.0,423.0,892.0
2020-03-24T17:00:00,7711.0,0.0,558.0,985.0
2020-03-25T17:00:00,8256.0,0.0,721.0,1077.0
2020-03-26T17:00:00,8850.0,0.0,792.0,1174.0
2020-03-27T17:00:00,9361.0,0.0,960.0,1267.0
2020-03-28T17:00:00,9964.0,0.0,1075.0,1344.0
2020-03-29T17:00:00,10535.0,0.0,1141.0,1443.0
2020-03-30T17:00:00,10766.0,0.0,1227.0,1538.0
2020-03-31T17:00:00,10953.0,0.0,1477.0,1644.0
2020-04-01T17:00:00,11489.0,0.0,1566.0,1732.0
2020-04-02T17:00:00,11859.0,0.0,1663.0,1811.0
2020-04-03T17:00:00,12178.0,0.0,1852.0,1902.0
2020-04-04T17:00:00,12523.0,0.0,2040.0,1977.0
2020-04-05T17:00:00,12837.0,0.0,2201.0,2051.0
2020-04-06T17:00:00,13051.0,0.0,2397.0,2108.0
2020-04-07T17:00:00,13048.0,0.0,2597.0,2180.0
2020-04-08T17:00:00,13110.0,0.0,2890.0,2234.0
2020-04-09T17:00:00,13258.0,0.0,3103.0,2316.0
2020-04-10T17:00:00,13350.0,0.0,3381.0,2397.0
2020-04-11T17:00:00,13495.0,0.0,3659.0,2481.0
2020-04-12T17:00:00,13672.0,0.0,3862.0,2564.0
2020-04-13T17:00:00,13818.0,0.0,4007.0,2615.0
2020-04-14T17:00:00,13778.0,0.0,4269.0,2705.0
2020-04-15T17:00:00,13577.0,0.0,4664.0,2788.0
2020-04-16T17:00:00,13663.0,0.0,4980.0,2843.0
2020-04-17T17:00:00,13585.0,0.0,5346.0,2903.0
2020-04-18T17:00:00,13584.0,0.0,5635.0,2965.0
2020-04-19T17:00:00,13552.0,88776.0,5985.0,3023.0
2020-04-20T17:00:00,13522.0,90894.0,6266.0,3079.0
2020-04-21T17:00:00,13244.0,93367.0,6701.0,3147.0
2020-04-22T17:00:00,13084.0,96824.0,7146.0,3204.0
2020-04-23T17:00:00,12845.0,99714.0,7609.0,3269.0
2020-04-24T17:00:00,12509.0,102495.0,8158.0,3303.0
2020-04-25T17:00:00,12347.0,105628.0,8515.0,3347.0
2020-04-26T17:00:00,12341.0,109192.0,8723.0,3386.0
2020-04-27T17:00:00,12225.0,111041.0,9006.0,3431.0
2020-04-28T17:00:00,12003.0,116624.0,9439.0,3472.0
2020-04-29T17:00:00,11862.0,118881.0,9803.0,3512.0
2020-04-30T17:00:00,9563.0,122430.0,12322.0,3551.0
2020-05-01T17:00:00,9484.0,125636.0,12581.0,3579.0
2020-05-02T17:00:00,9323.0,128005.0,12913.0,3614.0
2020-05-03T17:00:00,9045.0,131047.0,13329.0,3642.0
2020-05-04T17:00:00,8984.0,133329.0,13525.0,3666.0
2020-05-05T17:00:00,8681.0,136310.0,13889.0,3705.0
2020-05-06T17:00:00,8391.0,138871.0,14251.0,3737.0
2020-05-07T17:00:00,8011.0,141468.0,14710.0,3766.0
2020-05-08T17:00:00,7730.0,144009.0,15071.0,3797.0
2020-05-09T17:00:00,7401.0,146642.0,15491.0,3827.0
2020-05-10T17:00:00,7191.0,149276.0,15760.0,3845.0
2020-05-11T17:00:00,7040.0,151040.0,15969.0,3867.0
2020-05-12T17:00:00,6801.0,153074.0,16243.0,3885.0
2020-05-13T17:00:00,6502.0,155476.0,16572.0,3905.0
2020-05-14T17:00:00,6301.0,158371.0,16825.0,3930.0
2020-05-15T17:00:00,6001.0,160622.0,17166.0,3943.0
2020-05-16T17:00:00,5852.0,163067.0,17370.0,3960.0
2020-05-17T17:00:00,5656.0,163117.0,17603.0,3973.0
2020-05-18T17:00:00,5525.0,166240.0,17756.0,3986.0
2020-05-19T17:00:00,5330.0,168367.0,17987.0,3997.0
2020-05-20T17:00:00,5098.0,171903.0,18258.0,4008.0
2020-05-21T17:00:00,4926.0,174485.0,18466.0,4025.0
2020-05-22T17:00:00,4730.0,176464.0,18703.0,4037.0
2020-05-23T17:00:00,4570.0,179022.0,18896.0,4047.0
2020-05-24T17:00:00,4457.0,182002.0,19046.0,4055.0
2020-05-25T17:00:00,4359.0,183187.0,19160.0,4068.0
2020-05-26T17:00:00,4146.0,185125.0,19389.0,4076.0
2020-05-27T17:00:00,3998.0,186933.0,19546.0,4083.0
2020-05-28T17:00:00,3750.0,191112.0,19857.0,4094.0
2020-05-29T17:00:00,3564.0,193318.0,20073.0,4102.0
2020-05-30T17:00:00,3279.0,195492.0,20373.0,4107.0
2020-05-31T17:00:00,3163.0,197423.0,20513.0,4114.0
2020-06-01T17:00:00,3068.0,198884.0,20617.0,4124.0
2020-06-02T17:00:00,2912.0,201267.0,20780.0,4136.0
2020-06-03T17:00:00,2839.0,202506.0,20856.0,4147.0
2020-06-04T17:00:00,2688.0,204614.0,21018.0,4154.0
2020-06-05T17:00:00,2512.0,207533.0,21198.0,4167.0
2020-06-06T17:00:00,2416.0,210719.0,21307.0,4171.0
2020-06-07T17:00:00,2328.0,213979.0,21405.0,4175.0
2020-06-08T17:00:00,2282.0,215416.0,21467.0,4179.0
2020-06-09T17:00:00,2156.0,218890.0,21605.0,4185.0
2020-06-10T17:00:00,2061.0,223413.0,21717.0,4192.0
2020-06-11T17:00:00,2000.0,227500.0,21803.0,4192.0
2020-06-12T17:00:00,1817.0,231752.0,22015.0,4196.0
2020-06-13T17:00:00,1727.0,237236.0,22130.0,4199.0
2020-06-14T17:00:00,1637.0,241833.0,22232.0,4204.0
2020-06-15T17:00:00,1500.0,244630.0,22377.0,4207.0
2020-06-16T17:00:00,1405.0,247911.0,22483.0,4209.0
