Dates,Infected,Tested,Recovered,Deaths
2020-02-24T18:00:00,4952.0,0.0,229.0,130.0
2020-03-02T18:00:00,25464.0,0.0,2733.0,1182.0
2020-03-09T18:00:00,93236.0,0.0,9771.0,7453.0
2020-03-16T17:00:00,238214.0,0.0,32380.0,25377.0
2020-03-23T17:00:00,434341.0,0.0,71845.0,58501.0
2020-03-30T17:00:00,581692.0,0.0,128043.0,97019.0
2020-04-06T17:00:00,680188.0,0.0,199390.0,127814.0
2020-04-13T17:00:00,742922.0,935310.0,285530.0,154979.0
2020-04-20T17:00:00,748970.0,7527483.0,401142.0,178393.0
2020-04-27T17:00:00,719052.0,9465957.0,522579.0,195815.0
2020-05-04T17:00:00,635726.0,11036001.0,664871.0,209192.0
2020-05-11T17:00:00,529259.0,12735370.0,811646.0,219405.0
2020-05-18T17:00:00,429062.0,14560953.0,939608.0,227128.0
2020-05-25T17:00:00,339157.0,16300416.0,1050328.0,232030.0
2020-06-01T17:00:00,267101.0,17742841.0,1135976.0,235814.0
2020-06-08T17:00:00,212705.0,19227170.0,1200827.0,239157.0
2020-06-15T17:00:00,161231.0,20686670.0,1262788.0,241543.0
2020-06-22T17:00:00,128323.0,21979151.0,1305937.0,242816.0
2020-06-29T17:00:00,106521.0,23238665.0,1336763.0,243665.0
2020-07-06T17:00:00,95915.0,24437905.0,1356454.0,244445.0
2020-07-13T17:00:00,88306.0,25641641.0,1373047.0,245080.0
2020-07-20T17:00:00,86686.0,26872183.0,1385021.0,245611.0
2020-07-27T17:00:00,87371.0,28213952.0,1396839.0,245937.0
2020-08-03T17:00:00,89436.0,29506273.0,1409341.0,246303.0
2020-08-10T17:00:00,98189.0,30673930.0,1421081.0,246902.0
2020-08-17T17:00:00,113949.0,32217908.0,1432935.0,247929.0
2020-08-24T17:00:00,153990.0,34586434.0,1446222.0,248229.0
2020-08-31T17:00:00,202935.0,37435316.0,1460940.0,248570.0
2020-09-07T17:00:00,250003.0,40291285.0,1483453.0,249090.0
2020-09-14T17:00:00,290560.0,42892928.0,1512688.0,249627.0
2020-09-21T17:00:00,329391.0,45642873.0,1551626.0,250455.0
2020-09-28T17:00:00,371855.0,48448096.0,1601345.0,251433.0
2020-10-05T17:00:00,471579.0,51592467.0,1654229.0,252593.0
2020-10-12T17:00:00,712152.0,55397558.0,1721117.0,254556.0
2020-10-19T17:00:00,1212911.0,60001703.0,1816922.0,258728.0
2020-10-26T17:00:00,2122723.0,65280008.0,1960673.0,266971.0
2020-11-02T17:00:00,3320527.0,71118752.0,2204899.0,281505.0
2020-11-09T17:00:00,4476707.0,77210665.0,2699665.0,304673.0
2020-11-16T17:00:00,5331302.0,83099199.0,3493760.0,334937.0
2020-11-23T17:00:00,5555749.0,88333219.0,4640163.0,369581.0
2020-11-30T17:00:00,5356805.0,93592393.0,5894433.0,405464.0
2020-12-07T17:00:00,4954588.0,96300871.0,7139865.0,438154.0
2020-12-14T17:00:00,4490195.0,99187223.0,8373920.0,469765.0
2020-12-21T17:00:00,4154574.0,101587669.0,9407016.0,495262.0
2020-12-28T17:00:00,4006283.0,104015412.0,10216259.0,518100.0
2021-01-04T17:00:00,4002549.0,106650950.0,10998630.0,541237.0
2021-01-11T17:00:00,3941332.0,109676541.0,11843202.0,565498.0
2021-01-18T17:00:00,3622869.0,113337226.0,12785179.0,588891.0
2021-01-25T17:00:00,3311777.0,117234310.0,13678864.0,611226.0
2021-02-01T17:00:00,3033529.0,121461026.0,14521624.0,631142.0
2021-02-08T17:00:00,2855071.0,126247477.0,15277991.0,648627.0
2021-02-15T17:00:00,2721115.0,130537142.0,15986825.0,663867.0
2021-02-22T17:00:00,2800424.0,135105434.0,16611200.0,678413.0
2021-03-01T17:00:00,3134333.0,140190975.0,17179766.0,692476.0
2021-03-08T17:00:00,3496484.0,145521690.0,17850982.0,708167.0
2021-03-15T17:00:00,3846654.0,150788073.0,18577544.0,726612.0
2021-03-22T17:00:00,3959685.0,156802677.0,19552148.0,747170.0
2021-03-29T17:00:00,3952412.0,161468807.0,20522981.0,768484.0
2021-04-05T17:00:00,3820419.0,165450559.0,21433580.0,790064.0
2021-04-12T17:00:00,3584977.0,169821994.0,22381489.0,811163.0
2021-04-19T17:00:00,3312238.0,174311375.0,23303369.0,828188.0
2021-04-26T17:00:00,3080159.0,179033936.0,24136333.0,843268.0
2021-05-03T17:00:00,2818916.0,183625759.0,24895653.0,855436.0
2021-05-10T17:00:00,2437277.0,188013237.0,25665948.0,865748.0
