Dates,Infected,Deaths,Tested,Population
2/1/2020,14,0,283,10257557
2/2/2020,15,0,306,10257557
2/3/2020,17,0,320,10257557
2/4/2020,17,0,323,10257557
2/5/2020,18,0,325,10257557
2/6/2020,18,0,327,10257557
2/7/2020,20,0,335,10257557
2/8/2020,21,0,384,10257557
2/9/2020,24,0,389,10257557
2/10/2020,26,0,390,10257557
2/11/2020,28,0,393,10257557
2/12/2020,29,0,394,10257557
2/13/2020,31,0,398,10257557
2/14/2020,36,0,403,10257557
2/15/2020,41,0,409,10257557
2/16/2020,44,0,411,10257557
2/17/2020,51,0,417,10257557
2/18/2020,54,0,420,10257557
2/19/2020,57,0,423,10257557
2/20/2020,63,0,433,10257557
2/21/2020,65,0,435,10257557
2/22/2020,67,0,438,10257557
2/23/2020,69,0,440,10257557
2/24/2020,78,0,442,10257557
2/25/2020,84,0,446,10257557
2/26/2020,99,0,449,10257557
2/27/2020,105,0,453,10257557
2/28/2020,118,0,473,10257557
2/29/2020,127,0,477,10257557
3/1/2020,155,0,494,10257557
3/2/2020,174,0,514,10257557
3/3/2020,189,0,533,10257557
3/4/2020,208,0,545,10257557
3/5/2020,243,0,582,10257557
3/6/2020,290,0,605,10257557
3/7/2020,333,0,632,10257557
3/8/2020,383,0,685,10257557
3/9/2020,475,0,873,10257557
3/10/2020,576,0,1069,10257557
3/11/2020,712,0,1431,10257557
3/12/2020,880,0,2267,10257557
3/13/2020,1040,0,3306,10257557
3/14/2020,1193,0,3946,10257557
3/15/2020,1371,0,4669,10257557
3/16/2020,1609,0,6635,10257557
3/17/2020,1843,0,9209,10257557
3/18/2020,2044,0,11480,10257557
3/19/2020,2283,4,14046,10257557
3/20/2020,2570,7,16889,10257557
3/21/2020,2795,11,18334,10257557
3/22/2020,3067,15,19540,10257557
3/23/2020,3390,22,23271,10257557
3/24/2020,3694,25,27003,10257557
3/25/2020,4144,32,30509,10257557
3/26/2020,4541,36,34025,10257557
3/27/2020,4942,45,38069,10257557
3/28/2020,5355,54,41283,10257557
3/29/2020,5740,70,42914,10257557
3/30/2020,6384,81,47655,10257557
3/31/2020,7036,98,52749,10257557
4/1/2020,7700,118,58382,10257557
4/2/2020,8353,142,64043,10257557
4/3/2020,9185,168,70167,10257557
4/4/2020,9800,189,73678,10257557
4/5/2020,10416,215,75884,10257557
4/6/2020,10985,232,79962,10257557
4/7/2020,11717,261,85099,10257557
4/8/2020,12366,302,91088,10257557
4/9/2020,12966,343,98690,10257557
4/10/2020,13593,376,106491,10257557
4/11/2020,14106,407,110564,10257557
4/12/2020,14576,449,112454,10257557
4/13/2020,15286,493,117406,10257557
4/14/2020,16000,544,123990,10257557
4/15/2020,16894,581,133554,10257557
4/16/2020,17715,645,142775,10257557
4/17/2020,18600,687,152480,10257557
4/18/2020,19243,729,159333,10257557
4/19/2020,19767,768,163606,10257557
4/20/2020,20763,819,172695,10257557
4/21/2020,21677,862,184246,10257557
4/22/2020,22537,913,193552,10257557
4/23/2020,23566,966,202518,10257557
4/24/2020,24626,1011,215118,10257557
4/25/2020,25558,1055,226414,10257557
4/26/2020,26192,1101,231659,10257557
4/27/2020,27341,1143,248257,10257557
4/28/2020,28358,1201,263434,10257557
4/29/2020,29422,1247,278912,10257557
4/30/2020,30398,1299,300890,10257557
5/1/2020,31405,1340,323263,10257557
5/2/2020,32159,1390,340246,10257557
5/3/2020,32687,1434,347958,10257557
5/4/2020,33670,1482,369510,10257557
5/5/2020,34970,1521,392536,10257557
5/6/2020,36038,1575,419623,10257557
5/7/2020,37041,1626,444543,10257557
5/8/2020,38163,1677,466791,10257557
5/9/2020,38892,1733,481951,10257557
5/10/2020,39515,1768,488207,10257557
5/11/2020,40775,1801,509864,10257557
5/12/2020,41953,1851,535515,10257557
5/13/2020,42949,1897,561583,10257557
5/14/2020,44259,1931,591643,10257557
5/15/2020,45435,1978,622505,10257557
5/16/2020,46222,2034,641430,10257557
5/17/2020,46799,2079,649081,10257557
5/18/2020,48033,2129,676968,10257557
5/19/2020,49054,2179,702935,10257557
5/20/2020,50261,2211,729776,10257557
5/21/2020,51258,2241,755103,10257557
5/22/2020,52297,2291,781628,10257557
5/23/2020,53090,2328,799445,10257557
5/24/2020,53631,2370,806233,10257557
5/25/2020,54645,2402,813347,10257557
5/26/2020,56460,2444,844686,10257557
5/27/2020,57927,2498,873103,10257557
5/28/2020,59305,2531,899883,10257557
5/29/2020,60883,2568,927346,10257557
5/30/2020,61839,2608,944557,10257557
5/31/2020,62375,2642,951547,10257557
6/1/2020,63664,2686,971650,10257557
