Dates,Infected,Tested,Recovered,Deaths
2020-02-24T18:00:00,166.0,0.0,0.0,6.0
2020-02-25T18:00:00,231.0,0.0,0.0,9.0
2020-02-26T18:00:00,249.0,0.0,0.0,9.0
2020-02-27T18:00:00,349.0,0.0,40.0,14.0
2020-02-28T18:00:00,474.0,0.0,40.0,17.0
2020-02-29T17:00:00,552.0,0.0,40.0,23.0
2020-03-01T17:00:00,887.0,0.0,73.0,24.0
2020-03-02T18:00:00,1077.0,0.0,139.0,38.0
2020-03-03T18:00:00,1326.0,0.0,139.0,55.0
2020-03-04T17:00:00,1497.0,0.0,250.0,73.0
2020-03-05T17:00:00,1777.0,0.0,376.0,98.0
2020-03-06T17:00:00,2008.0,0.0,469.0,135.0
2020-03-07T18:00:00,2742.0,0.0,524.0,154.0
2020-03-08T18:00:00,3372.0,0.0,550.0,267.0
2020-03-09T18:00:00,4490.0,0.0,646.0,333.0
2020-03-10T18:00:00,4427.0,0.0,896.0,468.0
2020-03-11T17:00:00,5763.0,0.0,900.0,617.0
2020-03-12T17:00:00,6896.0,0.0,1085.0,744.0
2020-03-13T17:00:00,7732.0,0.0,1198.0,890.0
2020-03-14T17:00:00,9059.0,0.0,1660.0,966.0
2020-03-15T17:00:00,10043.0,0.0,2011.0,1218.0
2020-03-16T17:00:00,10861.0,0.0,2368.0,1420.0
2020-03-17T17:00:00,12095.0,0.0,2485.0,1640.0
2020-03-18T17:00:00,12266.0,0.0,3488.0,1959.0
2020-03-19T17:00:00,13938.0,0.0,3778.0,2168.0
2020-03-20T17:00:00,15420.0,0.0,4295.0,2549.0
2020-03-21T17:00:00,17370.0,0.0,5050.0,3095.0
2020-03-22T17:00:00,17885.0,0.0,5865.0,3456.0
2020-03-23T17:00:00,18910.0,0.0,6075.0,3776.0
2020-03-24T17:00:00,19868.0,0.0,6657.0,4178.0
2020-03-25T17:00:00,20591.0,0.0,7281.0,4474.0
2020-03-26T17:00:00,22189.0,0.0,7839.0,4861.0
2020-03-27T17:00:00,23895.0,0.0,8001.0,5402.0
2020-03-28T17:00:00,24509.0,0.0,8962.0,5944.0
2020-03-29T17:00:00,25392.0,0.0,9255.0,6360.0
2020-03-30T17:00:00,25006.0,0.0,10337.0,6818.0
2020-03-31T17:00:00,25124.0,0.0,10885.0,7199.0
2020-04-01T17:00:00,25765.0,0.0,11415.0,7593.0
2020-04-02T17:00:00,25876.0,0.0,12229.0,7960.0
2020-04-03T17:00:00,26189.0,0.0,13020.0,8311.0
2020-04-04T17:00:00,27220.0,0.0,13242.0,8656.0
2020-04-05T17:00:00,28124.0,0.0,13426.0,8905.0
2020-04-06T17:00:00,28469.0,0.0,13863.0,9202.0
2020-04-07T17:00:00,28343.0,0.0,14498.0,9484.0
2020-04-08T17:00:00,28545.0,0.0,15147.0,9722.0
2020-04-09T17:00:00,29074.0,0.0,15706.0,10022.0
2020-04-10T17:00:00,29530.0,0.0,16280.0,10238.0
2020-04-11T17:00:00,30258.0,0.0,16823.0,10511.0
2020-04-12T17:00:00,31265.0,0.0,17166.0,10621.0
2020-04-13T17:00:00,31935.0,0.0,17478.0,10901.0
2020-04-14T17:00:00,32363.0,0.0,17821.0,11142.0
2020-04-15T17:00:00,32921.0,0.0,17855.0,11377.0
2020-04-16T17:00:00,33090.0,0.0,18396.0,11608.0
2020-04-17T17:00:00,33434.0,0.0,18850.0,11851.0
2020-04-18T17:00:00,34195.0,0.0,19136.0,12050.0
2020-04-19T17:00:00,34497.0,183757.0,19526.0,12213.0
2020-04-20T17:00:00,34587.0,173333.0,20008.0,12376.0
2020-04-21T17:00:00,33978.0,173333.0,21374.0,12579.0
2020-04-22T17:00:00,34242.0,184323.0,22110.0,12740.0
2020-04-23T17:00:00,33873.0,190451.0,23352.0,12940.0
2020-04-24T17:00:00,34368.0,196406.0,23782.0,13106.0
2020-04-25T17:00:00,34473.0,202827.0,24227.0,13269.0
2020-04-26T17:00:00,35166.0,208471.0,24398.0,13325.0
2020-04-27T17:00:00,35441.0,211523.0,24589.0,13449.0
2020-04-28T17:00:00,35744.0,216526.0,25029.0,13575.0
2020-04-29T17:00:00,36122.0,223952.0,25333.0,13679.0
2020-04-30T17:00:00,36211.0,229880.0,25749.0,13772.0
