Dates,Infected,Tested,Recovered,Deaths
2020-02-24T18:00:00,3.0,0.0,0.0,0.0
2020-02-25T18:00:00,3.0,0.0,0.0,0.0
2020-02-26T18:00:00,3.0,0.0,0.0,0.0
2020-02-27T18:00:00,2.0,0.0,0.0,0.0
2020-02-28T18:00:00,11.0,0.0,0.0,0.0
2020-02-29T17:00:00,11.0,0.0,0.0,0.0
2020-03-01T17:00:00,49.0,0.0,0.0,0.0
2020-03-02T18:00:00,51.0,0.0,0.0,0.0
2020-03-03T18:00:00,56.0,0.0,0.0,0.0
2020-03-04T17:00:00,82.0,0.0,0.0,0.0
2020-03-05T17:00:00,106.0,0.0,0.0,2.0
2020-03-06T17:00:00,139.0,0.0,0.0,4.0
2020-03-07T18:00:00,202.0,0.0,0.0,5.0
2020-03-08T18:00:00,355.0,0.0,0.0,5.0
2020-03-09T18:00:00,337.0,0.0,0.0,13.0
2020-03-10T18:00:00,436.0,0.0,0.0,17.0
2020-03-11T17:00:00,480.0,0.0,0.0,21.0
2020-03-12T17:00:00,554.0,0.0,0.0,26.0
2020-03-13T17:00:00,794.0,0.0,0.0,46.0
2020-03-14T17:00:00,814.0,0.0,0.0,59.0
2020-03-15T17:00:00,1030.0,0.0,0.0,81.0
2020-03-16T17:00:00,1405.0,0.0,0.0,111.0
2020-03-17T17:00:00,1764.0,0.0,0.0,133.0
2020-03-18T17:00:00,2187.0,0.0,0.0,154.0
2020-03-19T17:00:00,2754.0,0.0,3.0,175.0
2020-03-20T17:00:00,3244.0,0.0,8.0,209.0
2020-03-21T17:00:00,3506.0,0.0,8.0,238.0
2020-03-22T17:00:00,4127.0,0.0,10.0,283.0
2020-03-23T17:00:00,4529.0,0.0,17.0,315.0
2020-03-24T17:00:00,5124.0,0.0,17.0,374.0
2020-03-25T17:00:00,5556.0,0.0,19.0,449.0
2020-03-26T17:00:00,5950.0,0.0,135.0,449.0
2020-03-27T17:00:00,6347.0,0.0,176.0,569.0
2020-03-28T17:00:00,6851.0,0.0,203.0,617.0
2020-03-29T17:00:00,7268.0,0.0,254.0,684.0
2020-03-30T17:00:00,7655.0,0.0,308.0,749.0
2020-03-31T17:00:00,8082.0,0.0,365.0,854.0
2020-04-01T17:00:00,8470.0,0.0,439.0,886.0
2020-04-02T17:00:00,8799.0,0.0,571.0,983.0
2020-04-03T17:00:00,9130.0,0.0,723.0,1043.0
2020-04-04T17:00:00,9693.0,0.0,888.0,1128.0
2020-04-05T17:00:00,10177.0,0.0,1017.0,1168.0
2020-04-06T17:00:00,10545.0,0.0,1128.0,1251.0
2020-04-07T17:00:00,10704.0,0.0,1320.0,1319.0
2020-04-08T17:00:00,10989.0,0.0,1516.0,1378.0
2020-04-09T17:00:00,11336.0,0.0,1732.0,1454.0
2020-04-10T17:00:00,11576.0,0.0,1904.0,1532.0
2020-04-11T17:00:00,12170.0,0.0,2205.0,1633.0
2020-04-12T17:00:00,12505.0,0.0,2426.0,1729.0
2020-04-13T17:00:00,12765.0,0.0,2543.0,1826.0
2020-04-14T17:00:00,13055.0,0.0,2708.0,1927.0
2020-04-15T17:00:00,13195.0,0.0,3019.0,2015.0
2020-04-16T17:00:00,13783.0,0.0,3231.0,2094.0
2020-04-17T17:00:00,13998.0,0.0,3634.0,2171.0
2020-04-18T17:00:00,14223.0,0.0,3989.0,2252.0
2020-04-19T17:00:00,14470.0,71644.0,4256.0,2331.0
2020-04-20T17:00:00,14557.0,73192.0,4383.0,2409.0
2020-04-21T17:00:00,14811.0,76406.0,4659.0,2485.0
2020-04-22T17:00:00,15122.0,81176.0,5058.0,2559.0
2020-04-23T17:00:00,15152.0,84648.0,5358.0,2630.0
2020-04-24T17:00:00,15391.0,89392.0,5732.0,2699.0
2020-04-25T17:00:00,15502.0,93325.0,6157.0,2767.0
2020-04-26T17:00:00,15519.0,96977.0,6478.0,2823.0
2020-04-27T17:00:00,15508.0,99144.0,6712.0,2878.0
2020-04-28T17:00:00,15506.0,102514.0,7008.0,2936.0
2020-04-29T17:00:00,15521.0,106179.0,7337.0,3003.0
2020-04-30T17:00:00,15493.0,110157.0,7730.0,3066.0
2020-05-01T17:00:00,15562.0,114786.0,8025.0,3097.0
2020-05-02T17:00:00,15719.0,118814.0,8334.0,3126.0
2020-05-03T17:00:00,15638.0,121176.0,8640.0,3152.0
