Dates,Opening/Closure ,Notes,Link
3/15/2020,School Closure,Schools closed ,https://azgovernor.gov/governor/news/2020/12/governor-ducey-announces-latest-actions-fight-covid-19-increase-hospital
3/16/2020,Business Closed,"Released new guidance for dining establishments, child care providers, nursing homes, and additional social distancing measures. Recommends canceling or postponing gatherings of 10 or more people.",
3/30/2020,Stay at Home Order,Stay at home order ,
5/8/2020,Business Opened,Cosmologist and barber shops open for appointments ,
5/15/2020,Stay at Home Order Lifted,Stay at home order lifted ,
6/17/2020,Mask Mandate,"“Mask Up AZ”: Though there were mixed messages about the effectiveness of wearing masks to combat the virus, there were calls early on to put a mask mandate in place. 
Gov. Ducey eventually said he would leave it up to individual cities and counties to implement and enforce a mask mandate in public.",https://www.12news.com/article/news/local/arizona/timeline-of-coronavirus-in-arizona/75-69c216df-6773-4b25-a34d-5a397d049196
6/29/2020,Business Closed,"The pause of these business operations takes effect at 8:00 p.m. today, Monday, June 29 and is in effect for one month. In addition, the first day of school for in-person learning will be delayed until August 17, 2020. Schools will be able to conduct distance learning before then should they choose.",
7/9/2020,Business Closed,Restaurants with indoor seating must operate at less than 50%,
8/17/2020,School Opening,Schools open for fall semester if counties meet guideline (I think),
11/19/2020,Stay at Home Order,"“We ask that all Arizonans make responsible plans for Thanksgiving that include moving your celebrations outside, reducing the size of your gathering, celebrating virtually with loved ones who are higher risk, and more.”",
