Date,County,Link
3/13/2020,Monterey County,https://www.thecalifornian.com/story/news/2020/03/13/monterey-county-public-schools-closed-coronavirus-outbreak/5046277002/
3/13/2020,Riverside County,https://rivcoph.org/Public-Health-Order-History
3/13/2020,San Diego County,https://www.nbcsandiego.com/news/local/what-has-happened-in-a-year-a-month-by-month-look-back-at-the-coronavirus-pandemic-in-san-diego-county/2545774/
3/13/2020,San Mateo County,https://www.smchealth.org/sites/main/files/file-attachments/031320_english.pdf?1585787754
3/13/2020,Ventura County,https://www.vcstar.com/story/news/2020/04/01/coronavirus-ventura-county-california-schools-closed/5109695002/
3/14/2020,Fresno County,https://abc30.com/fresno-unified-schools-closed-is-coronavirus/6010981/
3/14/2020,Santa Barbara County,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/15/2020,Kern County,https://www.taftmidwaydriller.com/news/20200315/all-kern-county-schools-to-close
3/16/2020,Alameda County,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/16/2020,Los Angeles County,https://www.nbclosangeles.com/news/coronavirus/california-coronavirus-pandemic-timeline-key-events/2334100/
3/16/2020,Orange County,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/16/2020,Sacramento County,https://fox40.com/news/local-news/sacramento-city-unified-school-district-temporarily-closes-all-schools/
3/16/2020,San Francisco County,https://abc7news.com/san-francisco-unified-schools-district-school-closure-coronavirus-closures-covid-19/6007655/
3/16/2020,San Joaquin County,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/16/2020,Santa Clara County,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
3/16/2020,Solano County,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/16/2020,Sonoma County,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/17/2020,San Bernardino County,https://www.dailybulletin.com/2020/03/13/coronavirus-concerns-close-ontario-montclair-schools-through-april-5/
3/19/2020,Stanislaus County,https://www.modbee.com/news/local/education/article241696016.html
,Tulare County,
