Date,Opening/Closure,Notes,Link
"Mar 7, 2020",Closure,"The Elk Grove Unified School District, the largest in Northern California, is the first to close in the state after a student tests positive.",https://calmatters.org/health/coronavirus/2021/03/timeline-california-pandemic-year-key-points/
"Mar 11, 2020
",Closure,Newsom recommends gatherings not to exceed 250 people and extends paid family leave and disability benefits to those affected by the coronavirus.,
"Mar 12, 2020",Closure,"Succumbing to pressure from Newsom, Disneyland closes its Southern California parks. Most major sports leagues have suspended their seasons and the National College Athletic Association has cancelled March Madness.",
"Mar 13, 2020",Closure,"More than 5.7 million K-12 California children, including more than nine out of 10 public school students, are sent home from school starting Monday, March 16, after coronavirus concerns move districts to close. Newsom orders that public schools retain state funding even if they’re physically closed.",
"Mar 15, 2020
",Closure,Newsom asks seniors to stay home (and restricts senior home visits to end-of-life visits) and asks bars and restaurants to reduce capacity.,
"Mar 16, 2020",Closure,"Newsom requests that restaurants shift to to-go orders only and gyms, health clubs and movie theaters close. He also signs an order allowing local governments to halt some evictions and “slow” foreclosures.",
"Mar 19, 2020",Closure,"As the number of confirmed coronavirus cases continues to rise, the governor orders people to stay home.",
"Mar 23, 2020",Closure,Newsom closes parking lots to state beaches and parks to reduce gathering.,
"April 3, 2020",Closure,"The Federal Emergency Management Agency agrees to fund 75% of the cost of housing the homeless in hotels and motels. Under an initiative called “Project Roomkey,” California hopes to secure 15,000 rooms to help slow the spread of the virus",
"May 13, 2020",Opening,"Los Angeles County beaches reopen, although beachgoers must abide by certain rules like wearing masks on the sand (not in the water) and physically distancing from strangers.",
"May 25, 2020",Opening,"Newsom says that barbershops and hair salons may reopen, with restrictions. Nail salons are not allowed to reopen.",
"June 12, 2020",Opening,"The state says that if counties meet state guidelines, they can start reopening a variety of indoor businesses like restaurants, retail stores, bars, gyms, and religious services.",
"June 18, 2020",Closure,Californians ordered to wear masks,
"July 13, 2020",Closure,"Businesses ordered to close again: Newsom orders a stop to several kinds of business all over the state, including indoor dining and bars. The 30 counties on the state’s watch list have to close even more businesses, like gyms, churches and hair salons.",
8/28/2020,Opening,Stay at home order lifted ,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
"September 22, 2020",Opening,"Today, Health and Human Services Secretary Dr. Mark Ghaly says Caifornia will allow nail salons to reopen, with some modifications, even in counties with high rates of coronavirus transmission.",
"October 23, 2020",Opening,The California Department of Public Health issues updated guidelines allowing visitors to see loved ones in nursing homes under some circumstances.,
"November 16, 2020",Closure,"As coronavirus cases continue to rise across the state — case counts are at August levels, with nearly 10,000 per day — Newsom orders almost all nonessential businesses to close and that Californians must wear a mask whenever outside their home.",
"November 19, 2020",Closure,"Newsom says a statewide curfew, from 10 p.m. to 5 a.m., will go into effect on Nov. 21. The order is set to last until Dec. 21 and exempts essential businesses like grocery stores.",
"November 27, 2020",Closure,"Los Angeles County imposes a new stay-at-home order for residents, citing a surge in COVID-19 cases, hospitalizations, and deaths.",
"December 3, 2020",Closure,"Newsom issues an order creating a conditional stay-at-home order for different regions of the state. If one of the five regions has its ICU bed capacity dip below 15%, it triggers the order, with many restrictions similar to the statewide stay-at-home order in March, which lasts for three weeks.",
"December 9, 2020",Opening,"Under pressure from parents and legislators, the state backtracks on its inclusion of playgrounds under its most recent stay-at-home order restrictions.",
