Dates,Opening/Closure,Notes,Link
3/9/2020,Major Closure,Universities Suspend Classes,https://www.nbcconnecticut.com/news/coronavirus/timeline-a-look-at-the-impact-of-covid-19-on-connecticut/2441763/
3/13/2020,Minor Closure,Nursing Home Visits Restricted,
3/16/2020,Major Closure,Restaurants and Bars Close,
3/17/2020,Major Closure,All Schools and Casinos Close,
3/20/2020,Minor Closure,"Barbershops, Salons, and other Personal Services Shops Close",
3/23/2020,Major Closure,Stay Safe Stay Home Order Enacted,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
4/20/2020,Major Closure,Masks Required When Social Distancing Not Possible,
5/20/2020,Major Opening,Stay Safe Stay Home Order Lifted and Some Resturants Reopen,
6/1/2020,Minor Opening,"Hair Salons, Barberships, and Casinos Reopen",
6/17/2020,Major Opening,Hotels and Recreational Buisnesses Reopen,
6/25/2020,Minor Closure,Quarantine Required for Visitors from COVID Hotspots,
9/28/2020,Minor Opening,Visitors Allowed at Nursing Homes,
10/8/2020,Major Opening,99% of Economy Allowed to Reopen,
11/6/2020,Major Closure,Resturaunt and Buisness Capacity Reduced and Curfew is Reccomneded,
3/19/2021,Major Opening,Capacity Limits Lifted from Most Buisnesses and Gathering Sizes Expanded,
