Date ,Category ,Notes,Link
3/17/2020,School Closure,School closure ,https://www.nbcchicago.com/news/local/illinois-schools-closure-extended-through-april-7/2241306/
3/20/2020,Stay at Home Order,Stay at home order ,https://www.cookcountyil.gov/sites/default/files/president_executive_order_2020-10_extend_stay_at_home_order_extended_to_may_30_amending_executive_order_2020-3_2020-5_and_2020-07.pdf
5/1/2020,Mask Mandate,Statewide ,https://abc7chicago.com/illinois-face-mask-law-requirement-order-mandate/6132820/
5/29/2020,Stay at Home Order Lifted,State stay at home order lifted,"https://ballotpedia.org/Documenting_Illinois%27_path_to_recovery_from_the_coronavirus_(COVID-19)_pandemic,_2020-2021"
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/6/2020,Public Facility Opened,County facilities re-opened ,cookcountyil.gov/service/information-covid-19
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
11/16/2020,Stay at Home Order,Stay-at-home advisories took effect in Chicago and suburban Cook County,https://www.nbcchicago.com/news/coronavirus/illinois-coronavirus-updates-chicago-and-cook-county-stay-at-home-advisories-take-effect/2372449/
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/11/2021,School Opening,School in person for Pre K and special Education (Chicago Schools),https://www.chicagotribune.com/coronavirus/ct-covid-19-chicago-area-school-closings-illinois-20201117-joi2uwbgf5gklb3xu2nc7wfrf4-story.html
2/1/2021,School Opening,Schools in person K - 8th (Chicago Schools),https://www.chicagotribune.com/coronavirus/ct-covid-19-chicago-area-school-closings-illinois-20201117-joi2uwbgf5gklb3xu2nc7wfrf4-story.html
5/17/2021,Mask Mandate Lifted,For vaccinated people only ,https://news.wttw.com/2021/05/17/pritzker-lifts-mask-mandate-fully-vaccinated-residents-illinois
