Date,Category,Notes,Link
3/19/2020,Business Closed,California's 'stay at home' order: what it means for business,https://www.yourcentralvalley.com/news/california/californias-stay-at-home-order-what-it-means-for-business/
3/21/2020,Stay at Home Order,COVID 19 - Countywide California Orders 4813-4572-7671 v,https://www.pillsburylaw.com/images/content/1/2/v2/129130/COVID-19-Countywide-California-Orders-as-of-3-21-20.pdf
5/1/2020,Stay at Home Order,"Fresno's Shelter-In-Place Order Extended, And Now Requires",https://www.kvpr.org/post/fresnos-shelter-place-order-extended-and-now-requires-masks
5/21/2020,Business Opened,Restaurants in Fresno County get to reopen | KMPH,https://kmph.com/news/local/restaurants-in-fresno-county-get-to-reopen-tuesday-may-26th
6/18/2020,Stay at Home Order Lifted,Fresno Unified to reopen Aug. 17 for in-person or fully-digital,https://www.yourcentralvalley.com/news/education/fresno-unified-talks-reopening-plan/
6/18/2020,Mask Mandate,"California face mask order: Rules, enforcement, exemptions",https://www.sacbee.com/news/california/article243638862.html
6/26/2020,Stay at Home Order,CA Governor Gavin Newsom Reinstates Restrictions In Worst,https://deadline.com/2020/06/california-coronavirus-200000-cases-flood-of-new-infections-1202971077/
7/1/2020,Business Closed,Fresno Restaurants Ordered to Close Indoor Dining - GV Wire,https://gvwire.com/2020/07/01/fresno-restaurants-ordered-to-close-indoor-dining-again-over-covid-19-surge/
7/13/2020,Business Closed,California Closes Indoor Businesses Statewide As COVID-19,https://www.npr.org/sections/coronavirus-live-updates/2020/07/13/890602390/california-closes-indoor-businesses-statewide-as-covid-19-cases-surge
9/16/2020,School Closed,Judge says private school in California must stop in-person,https://www.asumag.com/covid-19/article/21141956/judge-says-private-school-in-california-must-stop-inperson-classes
12/3/2020,Stay at Home Order,California stay-at-home order: Newsom furthers COVID-19,https://www.desertsun.com/story/news/health/2020/12/03/california-stay-home-order-newsom-furthers-covid-19-restrictions/6477138002/
12/5/2020,Stay at Home Order,California's San Joaquin Valley enacts stay-home order | PBS,https://www.pbs.org/newshour/nation/californias-san-joaquin-valley-enacts-stay-home-order
2/26/2021,School Opened,Gov. Newsom: California plans for reopening schools are in,https://www.kget.com/health/coronavirus/gov-newsom-california-plans-for-reopening-schools-are-in-final-stages/
5/15/2021,Mask Mandate Lifted,Many are moving at their own pace as CDC lifts mask,https://www.yourcentralvalley.com/life-health/health/coronavirus/many-are-moving-at-their-own-pace-as-cdc-lifts-mask-mandate-for-fully-vaccinated-people/
